"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"apache/airflow","https://github.com/apache/airflow","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15413","mlops","1","1196.59","True","0.4583","0","1","0.7662","1","1","0.3333","topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets."
"apache/airflow","https://github.com/apache/airflow","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19174","mlops","2","983.29","True","0.2121","0","1","0.8136","1","1","0.3333","topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time."
"apache/airflow","https://github.com/apache/airflow","teamclairvoyant/airflow-maintenance-dags","https://github.com/teamclairvoyant/airflow-maintenance-dags","teamclairvoyant","Python","1767","mlops","3","958.32","True","0.1739","0","1","0.296","1","1","1","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50 | airflow language:Python stars:>=50","A series of DAGs/Workflows to help maintain the operation of Airflow"
"apache/airflow","https://github.com/apache/airflow","astronomer/astronomer-cosmos","https://github.com/astronomer/astronomer-cosmos","astronomer","Python","1193","mlops","4","950.52","True","0.1818","0","1","0.2107","1","1","1","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50 | airflow language:Python stars:>=50","Run your dbt Core or dbt Fusion projects as Apache Airflow DAGs and Task Groups with a few lines of code"
"apache/airflow","https://github.com/apache/airflow","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6988","mlops","5","934.03","True","0.2","0","1","0.5945","1","1","0.3333","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"apache/airflow","https://github.com/apache/airflow","san089/goodreads_etl_pipeline","https://github.com/san089/goodreads_etl_pipeline","san089","Python","1506","mlops","6","924.3","True","0.1429","0","1","0.2613","1","1","1","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50 | airflow language:Python stars:>=50","An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform."
"apache/airflow","https://github.com/apache/airflow","astronomer/dag-factory","https://github.com/astronomer/dag-factory","astronomer","Python","1429","mlops","7","922.31","True","0.1429","0","1","0.2499","1","1","1","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50 | airflow language:Python stars:>=50","Construct Apache Airflow DAGs Declaratively via YAML configuration files"
"apache/airflow","https://github.com/apache/airflow","elyra-ai/elyra","https://github.com/elyra-ai/elyra","elyra-ai","Python","1992","mlops","8","906.35","True","0.1111","0","1","0.322","1","1","1","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50 | airflow language:Python stars:>=50","Elyra extends JupyterLab with an AI centric approach."
"apache/airflow","https://github.com/apache/airflow","abhishek-ch/around-dataengineering","https://github.com/abhishek-ch/around-dataengineering","abhishek-ch","Python","1144","mlops","9","885.29","False","0.1667","0","1","0.2016","1","1","0.6667","topic:airflow language:Python stars:>=50 | airflow language:Python stars:>=50","A Data Engineering & Machine Learning Knowledge Hub"
"apache/airflow","https://github.com/apache/airflow","andreax79/airflow-code-editor","https://github.com/andreax79/airflow-code-editor","andreax79","Python","462","mlops","10","879.45","False","0.1429","0","1","0.005","1","1","1","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50 | airflow language:Python stars:>=50","A plugin for Apache Airflow that allows you to edit DAGs in browser"
