"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","apache/airflow","https://github.com/apache/airflow","apache","Python","45238","4/13/2015 11:04:58 AM","4/29/2026 4:35:31 PM","airflow;apache;apache-airflow;automation;dag;data-engineering;data-integration;data-orchestrator;data-pipelines;data-science;elt;etl;machine-learning;mlops;orchestration;python;scheduler;workflow;workflow-engine;workflow-orchestration","mlops","2031.05","1","1","1","0.9311","1","1","1","1","0","False","topic:machine-learning language:python stars:>=1000","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"2","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33528","7/3/2014 8:15:40 AM","4/29/2026 4:53:10 PM","ai;artificial-intelligence;cython;data-science;deep-learning;entity-linking;machine-learning;named-entity-recognition;natural-language-processing;neural-network;neural-networks;nlp;nlp-library;python;spacy;text-classification;tokenization","deep-learning","2023.9","1","1","1","0.9051","1","1","1","1","0","False","topic:machine-learning language:python stars:>=1000","ðŸ’« Industrial-strength Natural Language Processing (NLP) in Python"
"3","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160088","10/29/2018 6:56:00 AM","4/29/2026 4:45:02 PM","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","llm","2005","1","1","1","1","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","ðŸ¤— Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"4","pytorch/pytorch","https://github.com/pytorch/pytorch","pytorch","Python","99532","8/12/2016 10:26:41 PM","4/29/2026 4:25:57 PM","autograd;deep-learning;gpu;machine-learning;neural-network;numpy;python;tensor","deep-learning","2004.89","1","1","1","0.9996","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Tensors and Dynamic neural networks in Python with strong GPU acceleration"
"5","OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","OpenBB-finance","Python","66737","12/20/2020 2:46:38 AM","4/29/2026 4:34:57 PM","ai;crypto;derivatives;economics;equity;finance;fixed-income;machine-learning;openbb;options;python;quantitative-finance;stocks","reinforcement","1995.34","1","1","1","0.9649","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Financial data platform for analysts, quants and AI agents."
"6","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57313","5/17/2020 8:45:11 PM","4/29/2026 4:42:22 PM","coreml;deep-learning;ios;machine-learning;ml;object-detection;onnx;pytorch;tflite;ultralytics;yolo;yolov3;yolov5","deep-learning","1991.7","1","1","1","0.9517","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","YOLOv5 ðŸš€ in PyTorch > ONNX > CoreML > TFLite"
"7","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44398","8/23/2019 5:14:52 PM","4/29/2026 4:44:53 PM","data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit","deep-learning","1985.61","1","1","1","0.9295","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Streamlit â€” A faster way to build and share data apps."
"8","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42461","12/19/2018 12:24:04 AM","4/29/2026 2:56:37 PM","data-analysis;data-science;data-visualization;deep-learning;deploy;gradio;gradio-interface;interface;machine-learning;models;python;python-notebook;ui;ui-components","deep-learning","1984.54","1","1","1","0.9256","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Build and share delightful machine learning apps, all in Python. ðŸŒŸ Star to support our work!"
"9","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42369","10/25/2016 12:38:30 PM","4/29/2026 4:23:41 PM","data-science;deep-learning;deployment;distributed;hyperparameter-optimization;hyperparameter-search;large-language-models;llm;llm-inference;llm-serving;machine-learning;optimization;parallel;python;pytorch;ray;reinforcement-learning;rllib;serving;tensorflow","llm","1984.49","1","1","1","0.9254","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"10","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42219","1/23/2020 10:35:18 AM","4/29/2026 2:56:49 PM","billion-parameters;compression;data-parallelism;deep-learning;gpu;inference;machine-learning;mixture-of-experts;model-parallelism;pipeline-parallelism;pytorch;trillion-parameters;zero","deep-learning","1984.4","1","1","1","0.9251","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
