"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","apache/airflow","https://github.com/apache/airflow","apache","Python","45253","4/13/2015 6:04:58 PM","5/1/2026 7:33:35 PM","airflow;apache;apache-airflow;automation;dag;data-engineering;data-integration;data-orchestrator;data-pipelines;data-science;elt;etl;machine-learning;mlops;orchestration;python;scheduler;workflow;workflow-engine;workflow-orchestration","mlops","2031.06","1","1","1","0.9311","1","1","1","1","0","False","topic:machine-learning language:python stars:>=1000","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"2","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33534","7/3/2014 3:15:40 PM","5/1/2026 4:30:14 PM","ai;artificial-intelligence;cython;data-science;deep-learning;entity-linking;machine-learning;named-entity-recognition;natural-language-processing;neural-network;neural-networks;nlp;nlp-library;python;spacy;text-classification;tokenization","deep-learning","2023.9","1","1","1","0.9051","1","1","1","1","0","False","topic:machine-learning language:python stars:>=1000","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"3","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160148","10/29/2018 1:56:00 PM","5/1/2026 7:22:39 PM","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","llm","2005","1","1","1","1","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"4","pytorch/pytorch","https://github.com/pytorch/pytorch","pytorch","Python","99579","8/13/2016 5:26:41 AM","5/1/2026 7:20:35 PM","autograd;deep-learning;gpu;machine-learning;neural-network;numpy;python;tensor","deep-learning","2004.9","1","1","1","0.9996","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Tensors and Dynamic neural networks in Python with strong GPU acceleration"
"5","OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","OpenBB-finance","Python","66846","12/20/2020 10:46:38 AM","5/1/2026 7:14:16 PM","ai;crypto;derivatives;economics;equity;finance;fixed-income;machine-learning;openbb;options;python;quantitative-finance;stocks","reinforcement","1995.38","1","1","1","0.965","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Financial data platform for analysts, quants and AI agents."
"6","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57319","5/18/2020 3:45:11 AM","5/1/2026 11:00:55 AM","coreml;deep-learning;ios;machine-learning;ml;object-detection;onnx;pytorch;tflite;ultralytics;yolo;yolov3;yolov5","deep-learning","1991.71","1","1","1","0.9517","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite"
"7","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44419","8/24/2019 12:14:52 AM","5/1/2026 6:29:42 PM","data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit","deep-learning","1985.62","1","1","1","0.9295","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Streamlit — A faster way to build and share data apps."
"8","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42473","12/19/2018 8:24:04 AM","5/1/2026 7:41:35 AM","data-analysis;data-science;data-visualization;deep-learning;deploy;gradio;gradio-interface;interface;machine-learning;models;python;python-notebook;ui;ui-components","deep-learning","1984.55","1","1","1","0.9256","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
"9","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42393","10/25/2016 7:38:30 PM","5/1/2026 6:43:13 PM","data-science;deep-learning;deployment;distributed;hyperparameter-optimization;hyperparameter-search;large-language-models;llm;llm-inference;llm-serving;machine-learning;optimization;parallel;python;pytorch;ray;reinforcement-learning;rllib;serving;tensorflow","llm","1984.5","1","1","1","0.9255","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"10","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42233","1/23/2020 6:35:18 PM","5/1/2026 7:18:04 PM","billion-parameters;compression;data-parallelism;deep-learning;gpu;inference;machine-learning;mixture-of-experts;model-parallelism;pipeline-parallelism;pytorch;trillion-parameters;zero","deep-learning","1984.41","1","1","1","0.9251","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"11","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31406","2/5/2017 12:11:23 PM","5/1/2026 7:30:38 PM","data-mining;data-science;deep-learning;deep-reinforcement-learning;genetic-algorithm;machine-learning;machine-learning-from-scratch","deep-learning","1977.34","1","1","1","0.8994","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"12","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","3/31/2019 12:45:57 AM","5/1/2026 12:55:56 PM","ai;artificial-intelligence;data-science;deep-learning;machine-learning;python;pytorch","deep-learning","1977.11","1","1","1","0.8986","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"13","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29380","3/14/2020 11:46:39 AM","5/1/2026 7:38:48 AM","cnn;crnn;data-mining;deep-learning;easyocr;image-processing;information-retrieval;lstm;machine-learning;ocr;optical-character-recognition;python;pytorch;scene-text;scene-text-recognition","deep-learning","1975.74","1","1","1","0.8936","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"14","sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","sebastianruder","Python","22971","6/22/2018 5:43:55 PM","5/1/2026 2:43:48 PM","dialogue;machine-learning;machine-translation;named-entity-recognition;natural-language-processing;nlp-tasks","nlp","1969.87","1","1","1","0.8722","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks."
"15","serengil/deepface","https://github.com/serengil/deepface","serengil","Python","22658","2/8/2020 8:42:28 PM","5/1/2026 7:12:12 PM","age-prediction;arcface;deep-learning;deepface;deepid;emotion-recognition;face-analysis;face-recognition;facenet;facial-expression-recognition;facial-recognition;gender-prediction;machine-learning;openface;python;race-classification;vgg-face","deep-learning","1969.54","1","1","1","0.871","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python"
"16","jina-ai/serve","https://github.com/jina-ai/serve","jina-ai","Python","21877","2/13/2020 5:04:44 PM","5/1/2026 12:46:52 PM","cloud-native;cncf;deep-learning;docker;fastapi;framework;generative-ai;grpc;jaeger;kubernetes;llmops;machine-learning;microservice;mlops;multimodal;neural-search;opentelemetry;orchestration;pipeline;prometheus","llm","1968.7","1","1","1","0.868","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","☁️ Build multimodal AI applications with cloud-native stack"
