"Topic","Language","SeedQuery","AnchorRepo","AnchorRank","AnchorScore","AnchorOutput","FinalMatches","QualifiedCount","FinalCsv","RankedCsv"
"mlops","python","topic:mlops language:python stars:>=1000","apache/airflow","1","2031.06","./runs/2026-05-02-batch/mlops-python/apache-airflow","30","3","./runs/2026-05-02-batch/mlops-python/apache-airflow/30_Matches.csv","./runs/2026-05-02-batch/mlops-python/apache-airflow/ranked_matches.csv"
"mlops","python","topic:mlops language:python stars:>=1000","jina-ai/serve","2","1968.7","./runs/2026-05-02-batch/mlops-python/jina-ai-serve","30","3","./runs/2026-05-02-batch/mlops-python/jina-ai-serve/30_Matches.csv","./runs/2026-05-02-batch/mlops-python/jina-ai-serve/ranked_matches.csv"
"mlops","python","topic:mlops language:python stars:>=1000","dagster-io/dagster","3","1960.35","./runs/2026-05-02-batch/mlops-python/dagster-io-dagster","30","11","./runs/2026-05-02-batch/mlops-python/dagster-io-dagster/30_Matches.csv","./runs/2026-05-02-batch/mlops-python/dagster-io-dagster/ranked_matches.csv"
"mlops","javascript","topic:mlops language:javascript stars:>=1000","psalias2006/gpu-hot","1","1769.99","./runs/2026-05-02-batch/mlops-javascript/psalias2006-gpu-hot","30","2","./runs/2026-05-02-batch/mlops-javascript/psalias2006-gpu-hot/30_Matches.csv","./runs/2026-05-02-batch/mlops-javascript/psalias2006-gpu-hot/ranked_matches.csv"
"mlops","java","topic:mlops language:java stars:>=1000","logicalclocks/hopsworks","1","1901.17","./runs/2026-05-02-batch/mlops-java/logicalclocks-hopsworks","30","0","./runs/2026-05-02-batch/mlops-java/logicalclocks-hopsworks/30_Matches.csv","./runs/2026-05-02-batch/mlops-java/logicalclocks-hopsworks/ranked_matches.csv"
"mlops","java","topic:mlops language:java stars:>=1000","Netflix/maestro","2","1881.69","./runs/2026-05-02-batch/mlops-java/netflix-maestro","30","1","./runs/2026-05-02-batch/mlops-java/netflix-maestro/30_Matches.csv","./runs/2026-05-02-batch/mlops-java/netflix-maestro/ranked_matches.csv"
"nlp","python","topic:nlp language:python stars:>=1000","hankcs/HanLP","1","2025.79","./runs/2026-05-02-batch/nlp-python/hankcs-hanlp","30","3","./runs/2026-05-02-batch/nlp-python/hankcs-hanlp/30_Matches.csv","./runs/2026-05-02-batch/nlp-python/hankcs-hanlp/ranked_matches.csv"
"nlp","python","topic:nlp language:python stars:>=1000","explosion/spaCy","2","2023.91","./runs/2026-05-02-batch/nlp-python/explosion-spacy","30","22","./runs/2026-05-02-batch/nlp-python/explosion-spacy/30_Matches.csv","./runs/2026-05-02-batch/nlp-python/explosion-spacy/ranked_matches.csv"
"nlp","python","topic:nlp language:python stars:>=1000","huggingface/transformers","3","2005","./runs/2026-05-02-batch/nlp-python/huggingface-transformers","30","8","./runs/2026-05-02-batch/nlp-python/huggingface-transformers/30_Matches.csv","./runs/2026-05-02-batch/nlp-python/huggingface-transformers/ranked_matches.csv"
"nlp","javascript","topic:nlp language:javascript stars:>=1000","thisandagain/sentiment","1","1940.6","./runs/2026-05-02-batch/nlp-javascript/thisandagain-sentiment","30","0","./runs/2026-05-02-batch/nlp-javascript/thisandagain-sentiment/30_Matches.csv","./runs/2026-05-02-batch/nlp-javascript/thisandagain-sentiment/ranked_matches.csv"
"nlp","javascript","topic:nlp language:javascript stars:>=1000","axa-group/nlp.js","2","1939.94","./runs/2026-05-02-batch/nlp-javascript/axa-group-nlp.js","30","8","./runs/2026-05-02-batch/nlp-javascript/axa-group-nlp.js/30_Matches.csv","./runs/2026-05-02-batch/nlp-javascript/axa-group-nlp.js/ranked_matches.csv"
"nlp","javascript","topic:nlp language:javascript stars:>=1000","axa-group/Parsr","3","1938.49","./runs/2026-05-02-batch/nlp-javascript/axa-group-parsr","30","0","./runs/2026-05-02-batch/nlp-javascript/axa-group-parsr/30_Matches.csv","./runs/2026-05-02-batch/nlp-javascript/axa-group-parsr/ranked_matches.csv"
"nlp","java","topic:nlp language:java stars:>=1000","haifengl/smile","1","1984.22","./runs/2026-05-02-batch/nlp-java/haifengl-smile","30","0","./runs/2026-05-02-batch/nlp-java/haifengl-smile/30_Matches.csv","./runs/2026-05-02-batch/nlp-java/haifengl-smile/ranked_matches.csv"
"nlp","java","topic:nlp language:java stars:>=1000","datumbox/datumbox-framework","2","1941.97","./runs/2026-05-02-batch/nlp-java/datumbox-datumbox-framework","30","0","./runs/2026-05-02-batch/nlp-java/datumbox-datumbox-framework/30_Matches.csv","./runs/2026-05-02-batch/nlp-java/datumbox-datumbox-framework/ranked_matches.csv"
"nlp","java","topic:nlp language:java stars:>=1000","houbb/sensitive-word","3","1937","./runs/2026-05-02-batch/nlp-java/houbb-sensitive-word","30","0","./runs/2026-05-02-batch/nlp-java/houbb-sensitive-word/30_Matches.csv","./runs/2026-05-02-batch/nlp-java/houbb-sensitive-word/ranked_matches.csv"
"computer-vision","python","topic:computer-vision language:python stars:>=1000","davidsandberg/facenet","1","1980.66","./runs/2026-05-02-batch/computer-vision-python/davidsandberg-facenet","30","42","./runs/2026-05-02-batch/computer-vision-python/davidsandberg-facenet/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-python/davidsandberg-facenet/ranked_matches.csv"
"computer-vision","python","topic:computer-vision language:python stars:>=1000","junyanz/pytorch-CycleGAN-and-pix2pix","2","1971.99","./runs/2026-05-02-batch/computer-vision-python/junyanz-pytorch-cyclegan-and-pix2pix","30","62","./runs/2026-05-02-batch/computer-vision-python/junyanz-pytorch-cyclegan-and-pix2pix/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-python/junyanz-pytorch-cyclegan-and-pix2pix/ranked_matches.csv"
"computer-vision","python","topic:computer-vision language:python stars:>=1000","huggingface/datasets","3","1968.26","./runs/2026-05-02-batch/computer-vision-python/huggingface-datasets","30","31","./runs/2026-05-02-batch/computer-vision-python/huggingface-datasets/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-python/huggingface-datasets/ranked_matches.csv"
"computer-vision","javascript","topic:computer-vision language:javascript stars:>=1000","automeris-io/WebPlotDigitizer","1","1966.73","./runs/2026-05-02-batch/computer-vision-javascript/automeris-io-webplotdigitizer","30","1","./runs/2026-05-02-batch/computer-vision-javascript/automeris-io-webplotdigitizer/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-javascript/automeris-io-webplotdigitizer/ranked_matches.csv"
"computer-vision","javascript","topic:computer-vision language:javascript stars:>=1000","paperswithcode/ai-deadlines","2","1937.77","./runs/2026-05-02-batch/computer-vision-javascript/paperswithcode-ai-deadlines","30","12","./runs/2026-05-02-batch/computer-vision-javascript/paperswithcode-ai-deadlines/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-javascript/paperswithcode-ai-deadlines/ranked_matches.csv"
"computer-vision","javascript","topic:computer-vision language:javascript stars:>=1000","UniversalDataTool/universal-data-tool","3","1912.3","./runs/2026-05-02-batch/computer-vision-javascript/universaldatatool-universal-data-tool","30","1","./runs/2026-05-02-batch/computer-vision-javascript/universaldatatool-universal-data-tool/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-javascript/universaldatatool-universal-data-tool/ranked_matches.csv"
"computer-vision","java","topic:computer-vision language:java stars:>=1000","bytedeco/javacv","1","1990.58","./runs/2026-05-02-batch/computer-vision-java/bytedeco-javacv","30","4","./runs/2026-05-02-batch/computer-vision-java/bytedeco-javacv/30_Matches.csv","./runs/2026-05-02-batch/computer-vision-java/bytedeco-javacv/ranked_matches.csv"
