"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"bytedeco/javacv","https://github.com/bytedeco/javacv","PhotonVision/photonvision","https://github.com/PhotonVision/photonvision","PhotonVision","Java","409","computer-vision","1","935.66","True","0.25","0","1","0.3466","1","1","0.3333","topic:computer-vision language:Java stars:>=50","PhotonVision is the free, fast, and easy-to-use computer vision solution for the FIRST Robotics Competition."
"bytedeco/javacv","https://github.com/bytedeco/javacv","CrazyOrr/FFmpegRecorder","https://github.com/CrazyOrr/FFmpegRecorder","CrazyOrr","Java","205","computer-vision","2","929.5","True","0.3","0","1","0.1972","0.8","1","0.3333","topic:ffmpeg language:Java stars:>=50","An Android video recorder using JavaCV and FFmpeg."
"bytedeco/javacv","https://github.com/bytedeco/javacv","sum1re/caption_ocr_tool","https://github.com/sum1re/caption_ocr_tool","sum1re","Java","199","computer-vision","3","928.83","True","0.2727","0","1","0.1907","1","1","0.3333","topic:ffmpeg language:Java stars:>=50","视频硬字幕提取工具"
"bytedeco/javacv","https://github.com/bytedeco/javacv","GoogleContainerTools/jib","https://github.com/GoogleContainerTools/jib","GoogleContainerTools","Java","14385","computer-vision","4","904.14","True","0.1111","0","1","0.8808","1","1","0.3333","j language:Java stars:>=50","🏗 Build container images for your Java applications."
"bytedeco/javacv","https://github.com/bytedeco/javacv","tahaemara/real-time-distance-measurement","https://github.com/tahaemara/real-time-distance-measurement","tahaemara","Java","56","computer-vision","5","875","False","0.3333","0","1","0","0.4","1","0.3333","topic:computer-vision language:Java stars:>=50","Real-time Distance Measurement Using Single Image"
"bytedeco/javacv","https://github.com/bytedeco/javacv","exadel-inc/CompreFace","https://github.com/exadel-inc/CompreFace","exadel-inc","Java","7906","computer-vision","6","865.97","False","0.0476","0","1","0.9892","1","1","0.3333","topic:computer-vision language:Java stars:>=50","Leading free and open-source face recognition system"
"bytedeco/javacv","https://github.com/bytedeco/javacv","imagej/imagej2","https://github.com/imagej/imagej2","imagej","Java","1365","computer-vision","7","856.39","False","0.1111","0","1","0.608","1","1","0.3333","topic:computer-vision language:Java stars:>=50","Open scientific N-dimensional image processing :microscope: :sparkler:"
"bytedeco/javacv","https://github.com/bytedeco/javacv","CainKernel/CainCamera","https://github.com/CainKernel/CainCamera","CainKernel","Java","2960","computer-vision","8","845.79","False","0.0667","0","1","0.7759","1","1","0.3333","topic:ffmpeg language:Java stars:>=50","CainCamera is an Android Project to learn about development of beauty camera, image and short video"
"bytedeco/javacv","https://github.com/bytedeco/javacv","gabrielarchanjo/marvin-framework","https://github.com/gabrielarchanjo/marvin-framework","gabrielarchanjo","Java","116","computer-vision","9","843.01","False","0.2","0","1","0.0743","1","1","0.3333","topic:computer-vision language:Java stars:>=50","Marvin Image Processing Framework provides features for processing images and videos in real-time."
"bytedeco/javacv","https://github.com/bytedeco/javacv","imagej/ImageJ","https://github.com/imagej/ImageJ","imagej","Java","749","computer-vision","10","833.61","False","0.1111","0","1","0.4778","1","1","0.3333","topic:computer-vision language:Java stars:>=50","Public domain software for processing and analyzing scientific images"
