"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"featurecat/lizzie","https://github.com/featurecat/lizzie","featurecat","Java","1049","False","False","2/24/2018 9:39:00 PM","4/25/2026 4:14:42 PM","Lizzie - Leela Zero Interface","","interface language:Java stars:>=50"
"CainKernel/CainCamera","https://github.com/CainKernel/CainCamera","CainKernel","Java","2960","False","False","7/19/2017 1:44:55 AM","4/29/2026 5:19:27 PM","CainCamera is an Android Project to learn about development of beauty camera, image and short video","android;android-camera-surfaceview;egl;ffmpeg;imageeditor;onpreviewframe;opengles;videoeditor","topic:ffmpeg language:Java stars:>=50"
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","jeecgboot","Java","46068","False","False","11/26/2018 10:40:00 AM","5/2/2026 4:43:16 PM","AI低代码平台，支持「低代码 + 零代码」双模式：零代码 5 分钟搭建业务系统，低代码模式一键生成前后端代码。 内置AI 应用，支持AI聊天、知识库、流程编排、MCP与插件，支持各种模型。Skills能力实现：一句话画流程图、设计表单、生成系统。 引领 AI生成→在线配置→代码生成→手工合并的开发模式，解决Java项目80%的重复工作，快速提高效率，又不失灵活性。","activiti;agent;ai;antd;claude-code;cli;codegenerator;codex;flowable;langchain4j;llm;low-code;mcp;mybatis-plus;rag;skills;spring-ai;springboot;springcloud;vue3","j language:Java stars:>=50"
"binarywang/WxJava","https://github.com/binarywang/WxJava","binarywang","Java","32757","False","False","1/6/2016 8:24:05 AM","5/2/2026 3:36:44 PM","微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发","cp;hacktoberfest;java;miniapp;miniprogram;mp;open;sdk;weapp;wechat;wechat-sdk;weixin;weixin-sdk;wxjava;wxpay","topic:java language:Java stars:>=50 | j language:Java stars:>=50"
"microg/UnifiedNlp","https://github.com/microg/UnifiedNlp","microg","Java","1045","False","False","3/5/2014 8:26:21 PM","5/2/2026 6:28:38 AM","Alternative network location provider for Android, with plugin interface to easily integrate third-party location providers.","android;android-app;geolocation;java;microg;unifiednlp","interface language:Java stars:>=50"
"magicsih/AndroidScreenCaster","https://github.com/magicsih/AndroidScreenCaster","magicsih","Java","212","False","False","5/31/2017 6:07:42 AM","4/24/2026 1:50:10 PM","Efficient, low-latency Android screen casting with H.264 and WebM encoding via TCP and UDP.","android;avc;ffmpeg;ffplay;h264;mirroring;screencast;screensharing;screenshot;tcp;udp;vp8;webm","topic:ffmpeg language:Java stars:>=50"
"mars885/doc-skanner","https://github.com/mars885/doc-skanner","mars885","Java","128","False","False","11/9/2020 3:37:29 PM","4/26/2026 2:31:46 AM","An Android application that makes it possible to automatically scan and digitize documents from photos.","android;android-application;computer-vision;doc-scanner;document-scanner;opencv","topic:computer-vision language:Java stars:>=50"
"google-ai-edge/mediapipe","https://github.com/google-ai-edge/mediapipe","google-ai-edge","C++","35036","False","False","6/13/2019 7:16:41 PM","5/2/2026 2:41:15 PM","Cross-platform, customizable ML solutions for live and streaming media.","android;audio-processing;c-plus-plus;calculator;computer-vision;deep-learning;framework;graph-based;graph-framework;inference;machine-learning;mediapipe;mobile-development;perception;pipeline-framework;stream-processing;video-processing","topic:computer-vision stars:>=100"
"nerfstudio-project/nerfstudio","https://github.com/nerfstudio-project/nerfstudio","nerfstudio-project","Python","11507","False","False","5/31/2022 6:17:37 PM","5/2/2026 2:37:37 PM","A collaboration friendly studio for NeRFs","3d;3d-graphics;3d-reconstruction;computer-vision;deep-learning;gaussian-splatting;machine-learning;nerf;photogrammetry;pytorch","topic:computer-vision stars:>=100"
"colmap/colmap","https://github.com/colmap/colmap","colmap","C++","11588","False","False","8/16/2014 12:55:31 AM","5/2/2026 4:54:17 PM","COLMAP - Structure-from-Motion and Multi-View Stereo","computer-vision;geometry;multi-view-stereo;reconstruction;structure-from-motion","topic:computer-vision stars:>=100"
"kai-morich/SimpleUsbTerminal","https://github.com/kai-morich/SimpleUsbTerminal","kai-morich","Java","693","False","False","2/2/2019 1:54:36 PM","5/1/2026 4:59:42 PM","Android terminal app for devices with a serial / UART interface connected with a USB-to-serial-converter","android;serial;usb","interface language:Java stars:>=50"
"bravobit/FFmpeg-Android","https://github.com/bravobit/FFmpeg-Android","bravobit","Java","762","False","False","12/11/2017 12:15:34 PM","3/31/2026 5:46:54 PM","FFMpeg/FFprobe compiled for Android","android-library;armv7;ffmpeg;ffmpeg-android;ffprobe;x86","topic:ffmpeg language:Java stars:>=50"
"skylot/jadx","https://github.com/skylot/jadx","skylot","Java","48320","False","False","3/18/2013 5:08:21 PM","5/2/2026 4:42:13 PM","Dex to Java decompiler","android;decompiler;dex;java","topic:java language:Java stars:>=50 | j language:Java stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38292","False","False","11/28/2022 2:08:44 PM","5/2/2026 4:26:53 PM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:computer-vision stars:>=100"
"Saccubus/Saccubus1","https://github.com/Saccubus/Saccubus1","Saccubus","Java","87","False","False","2/20/2016 4:00:28 AM","3/23/2026 4:59:12 AM","さきゅばす1系のリポジトリです","comment-art;danmaku;ffmpeg;niconico;nicovideo","topic:ffmpeg language:Java stars:>=50"
"carla-simulator/carla","https://github.com/carla-simulator/carla","carla-simulator","C++","13910","False","False","10/24/2017 9:06:23 AM","5/2/2026 4:21:40 PM","Open-source simulator for autonomous driving research.","ai;artificial-intelligence;autonomous-driving;autonomous-vehicles;carla;carla-simulator;computer-vision;cross-platform;deep-learning;deep-reinforcement-learning;imitation-learning;research;ros;self-driving-car;simulator;ue4;unreal-engine-4","topic:computer-vision stars:>=100"
"dariuszseweryn/RxAndroidBle","https://github.com/dariuszseweryn/RxAndroidBle","dariuszseweryn","Java","3550","False","False","2/4/2016 1:42:02 PM","4/30/2026 2:58:45 PM","An Android Bluetooth Low Energy (BLE) Library with RxJava3 interface","android-bluetooth;android-library;ble;bluetooth-le;bluetooth-low-energy;rxjava;rxjava2;rxjava3","interface language:Java stars:>=50"
"fenjuly/ToggleExpandLayout","https://github.com/fenjuly/ToggleExpandLayout","fenjuly","Java","876","False","False","8/30/2015 9:37:43 AM","4/25/2026 9:27:34 AM","A togglelayout that can be used in setting interface","","interface language:Java stars:>=50"
"wkentaro/labelme","https://github.com/wkentaro/labelme","wkentaro","Python","15811","False","False","5/9/2016 12:30:26 PM","5/2/2026 5:08:26 PM","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation.","annotations;classification;computer-vision;deep-learning;image-annotation;instance-segmentation;python;semantic-segmentation;video-annotation","topic:computer-vision stars:>=100"
"mucommander/mucommander","https://github.com/mucommander/mucommander","mucommander","Java","1207","False","False","2/2/2014 8:07:35 PM","5/1/2026 5:41:58 PM","A lightweight, cross-platform file manager with a dual-pane interface","hacktoberfest","interface language:Java stars:>=50"
"java-decompiler/jd-gui","https://github.com/java-decompiler/jd-gui","java-decompiler","Java","15079","False","False","3/25/2015 5:28:41 AM","5/2/2026 2:00:15 PM","A standalone Java Decompiler GUI","","j language:Java stars:>=50"
"kestra-io/kestra","https://github.com/kestra-io/kestra","kestra-io","Java","26772","False","False","8/24/2019 1:56:15 PM","5/2/2026 4:49:58 PM","Event Driven Orchestration & Scheduling Platform for Mission Critical Applications","automation;data-orchestration;devops;hacktoberfest;high-availability;infrastructure-as-code;java;low-code;lowcode;orchestration;pipeline;pipeline-as-code;workflow","topic:java language:Java stars:>=50"
"neo4j/neo4j","https://github.com/neo4j/neo4j","neo4j","Java","16412","False","False","11/12/2012 8:46:15 AM","5/2/2026 5:44:11 AM","Graphs for Everyone","cypher;database;graph;graph-database;graphdb;neo4j;nosql","j language:Java stars:>=50"
"ThinkKeep/EvilsLive","https://github.com/ThinkKeep/EvilsLive","ThinkKeep","Java","416","False","False","1/6/2017 12:59:53 PM","2/2/2026 10:44:59 AM","This project is a  SDK about video stream live","android;camera;ffmpeg;livestream;rtmp","topic:ffmpeg language:Java stars:>=50"
"maimingliang/WxRecoderVideo","https://github.com/maimingliang/WxRecoderVideo","maimingliang","Java","590","False","False","9/26/2016 6:00:08 AM","4/17/2026 8:47:06 AM","基于VCamera，仿微信录制短视频","camer;ffmpeg;vcamera;video","topic:ffmpeg language:Java stars:>=50"
"PowerJob/PowerJob","https://github.com/PowerJob/PowerJob","PowerJob","Java","7731","False","False","3/16/2020 9:19:55 AM","5/1/2026 4:43:22 PM","Enterprise job scheduling middleware with distributed computing ability.","cron;distributed;java;job;job-scheduler;mapreduce;scheduler;workflow","j language:Java stars:>=50"
"ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56678","False","False","9/11/2022 4:39:45 PM","5/2/2026 5:45:42 PM","Ultralytics YOLO 🚀","cli;computer-vision;deep-learning;hub;image-classification;instance-segmentation;machine-learning;object-detection;pose-estimation;python;pytorch;rotated-object-detection;segment-anything;tracking;ultralytics;yolo;yolo-world;yolo11;yolo26;yolov8","topic:computer-vision stars:>=100"
"openjdk/jdk","https://github.com/openjdk/jdk","openjdk","Java","22839","False","False","9/17/2018 12:29:20 PM","5/2/2026 3:34:22 PM","JDK main-line development https://openjdk.org/projects/jdk","java;jvm;openjdk","topic:java language:Java stars:>=50 | j language:Java stars:>=50"
"jonathanyin12/Food.AI","https://github.com/jonathanyin12/Food.AI","jonathanyin12","Java","52","False","False","6/21/2020 8:06:21 PM","2/28/2026 10:32:21 AM","Real-time object detection on Android for easy calorie tracking.","android;computer-vision;deep-learning;object-detection;tensorflow","topic:computer-vision language:Java stars:>=50"
"TheAlgorithms/Java","https://github.com/TheAlgorithms/Java","TheAlgorithms","Java","65518","False","False","7/16/2016 10:21:02 AM","5/2/2026 4:58:14 PM","All Algorithms implemented in Java","algorithm;algorithm-challenges;algorithms;algorithms-datastructures;data-structures;hacktoberfest;java;search;sort;sorting-algorithms","topic:java language:Java stars:>=50 | j language:Java stars:>=50"
"iknow4x/Android-Video-Trimmer","https://github.com/iknow4x/Android-Video-Trimmer","iknow4x","Java","1172","False","False","8/29/2016 2:21:34 AM","4/17/2026 10:47:28 AM","The Android-Video-Trimmer project implements the selection of clips for long and short videos. It uses MediaMetadataRetriever to obtain video frames, and uses ffmpeg for video cropping and video compression.","android;android-video-editor;ffmpeg;ffmpeg-android;ffmpeg-android-java;ffmpeg-command;ffmpeg-libraries;ffmpeg-wrapper;trimmer;trimming;video;video-codec;video-croping;video-cut;video-edit;video-editor;video-trimmer","topic:ffmpeg language:Java stars:>=50"
"CoderLeixiaoshuai/java-eight-part","https://github.com/CoderLeixiaoshuai/java-eight-part","CoderLeixiaoshuai","Java","7102","False","False","10/16/2020 4:27:04 PM","4/30/2026 12:39:34 AM","『Java八股文』Java面试套路，Java进阶学习，打破内卷拿大厂Offer，升职加薪！","java;juc;kafka;mysql;redis;spring","j language:Java stars:>=50"
