"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"singerdmx/BulletJournal","https://github.com/singerdmx/BulletJournal","singerdmx","Java","164","False","False","1/2/2020 11:43:33 PM","2/21/2026 12:35:01 PM","An organizational system that helps you keep track of everything in your busy life","ant-design;docker;docker-compose;elasticsearch;firebase;firebase-messaging;golang;gradle;java;nodejs;postgresql;react;redis;redux;redux-saga;spring-boot;tyepscript;webrtc;websocket","topic:docker-compose language:Java stars:>=50"
"mostafacs/ecommerce-microservices-spring-reactive-webflux","https://github.com/mostafacs/ecommerce-microservices-spring-reactive-webflux","mostafacs","Java","209","False","False","5/20/2019 2:51:43 AM","4/2/2026 8:38:55 AM","E-commerce demo with spring reactive webflux and spring cloud microservice","docker;docker-compose;flyway;java;java-8;maven;microservices;microservices-architecture;postgresql;r2dbc;r2dbc-postgresql;reactive-streams;spring-boot;spring-cloud;spring-data-r2dbc;spring-security;spring-webflux","topic:docker-compose language:Java stars:>=50"
"rcherara/microservice-architecture","https://github.com/rcherara/microservice-architecture","rcherara","Java","121","False","False","2/12/2020 5:45:40 AM","4/17/2026 6:42:16 AM","Architecture Microservice with Spring Cloud and Best Practices","apache-kafka;architecture;auth-server;discovery-service;docker-compose;dockerfile;gateway-api;gateway-microservice;iaas;kubernetes-deployment;microservices-architecture;rabbitmq;reactjs;saas;spring-boot;spring-boot-admin;spring-cloud;spring-cloud-config;spring-cloud-eureka;swagger2","topic:docker-compose language:Java stars:>=50"
"bytedeco/javacv","https://github.com/bytedeco/javacv","bytedeco","Java","8308","False","False","4/21/2014 1:50:26 PM","5/2/2026 3:57:46 PM","Java interface to OpenCV, FFmpeg, and more","computer-vision;ffmpeg;java;javacv;maven;multimedia;opencv;opencv-java","topic:computer-vision language:Java stars:>=50"
"dockersamples/wordsmith","https://github.com/dockersamples/wordsmith","dockersamples","Java","289","False","False","1/9/2018 10:15:33 AM","5/1/2026 11:22:30 PM","Sample project with Docker containers running under Kubernetes","demo;docker;docker-compose;example;kubernetes;sample;swarm","topic:docker-compose language:Java stars:>=50"
"mars885/doc-skanner","https://github.com/mars885/doc-skanner","mars885","Java","128","False","False","11/9/2020 3:37:29 PM","4/26/2026 2:31:46 AM","An Android application that makes it possible to automatically scan and digitize documents from photos.","android;android-application;computer-vision;doc-scanner;document-scanner;opencv","topic:computer-vision language:Java stars:>=50"
"lilishop/lilishop","https://github.com/lilishop/lilishop","lilishop","Java","4171","False","False","5/14/2021 1:28:51 AM","5/2/2026 6:37:29 AM","开源商城 JAVA商城 多语言商城 分销商城  uniapp商城 小程序商城  SAAS商城 ","docker-compose;elasticsearch;elk;jwt;k8s;mall;mybatis-plus;redis;rocketmq;shop;spring-cloud;springboot;uniapp;vue;xxl-job","topic:docker-compose language:Java stars:>=50"
"macrozheng/mall-swarm","https://github.com/macrozheng/mall-swarm","macrozheng","Java","12930","False","False","11/25/2019 6:55:31 AM","5/2/2026 11:27:05 AM","mall-swarm是一套微服务商城系统，采用了 Spring Cloud Alibaba、Spring Boot 3.2、Sa-Token、MyBatis、Elasticsearch、Docker、Kubernetes等核心技术，同时提供了基于Vue的管理后台方便快速搭建系统。mall-swarm在电商业务的基础集成了注册中心、配置中心、监控中心、网关等系统功能。","docker;elasticsearch;java;k8s;kubernetes;mongodb;mybatis;mysql;rabbitmq;redis;spring-boot;spring-cloud;springboot;springcloud","topic:docker language:Java stars:>=50"
"ali-bouali/spring-boot-3-jwt-security","https://github.com/ali-bouali/spring-boot-3-jwt-security","ali-bouali","Java","2045","False","False","12/29/2022 1:21:52 PM","4/30/2026 11:42:23 AM","Sample project on how to implement JWT security based using Spring boot 3 and Spring security 6","authentication;docker;docker-compose;intellij-idea;jwt;jwt-authentication;postgressql;spring-boot;spring-security","topic:docker language:Java stars:>=50 | topic:docker-compose language:Java stars:>=50"
"however-yir/knowledgeops-agent","https://github.com/however-yir/knowledgeops-agent","however-yir","Java","205","False","False","3/30/2026 12:19:37 PM","5/2/2026 3:02:22 PM","Enterprise-ready Spring AI platform for RAG, tool calling, async ingestion, JWT/RBAC security, and observability.","ai-platform;backend;docker-compose;enterprise-ai;java;llm;multi-tenancy;multimodal;observability;pdf-rag;pgvector;rag;rbac;react-agent;spring-ai;spring-boot;tenant-isolation;tool-calling","topic:docker-compose language:Java stars:>=50"
