"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","wellflat/imageprocessing-labs","https://github.com/wellflat/imageprocessing-labs","wellflat","JavaScript","503","computer-vision","1","961.44","True","0.2","0","1","0.6082","0.8","1","0.6667","topic:computer-vision language:JavaScript stars:>=50 | computer language:JavaScript stars:>=50","computer vision, image processing and machine learning on the web browser or node."
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","CSAILVision/LabelMeAnnotationTool","https://github.com/CSAILVision/LabelMeAnnotationTool","CSAILVision","JavaScript","1462","computer-vision","2","896.93","False","0.1111","0","1","0.8396","1","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","Source code for the LabelMe annotation tool."
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","gabrielarchanjo/marvinj","https://github.com/gabrielarchanjo/marvinj","gabrielarchanjo","JavaScript","334","computer-vision","3","870.92","False","0.2","0","1","0.5195","0.6","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","Javascript Image Processing Framework based on Marvin Framework"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","opendatacam/opendatacam","https://github.com/opendatacam/opendatacam","opendatacam","JavaScript","1710","computer-vision","4","852.88","False","0.0556","0","1","0.8736","1","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","An open source tool to quantify the world"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","bensonruan/webcam-easy","https://github.com/bensonruan/webcam-easy","bensonruan","JavaScript","261","computer-vision","5","851.58","False","0.1333","0","1","0.4661","1","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","javascript access webcam stream and take photo"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","jenissimo/unfake.js","https://github.com/jenissimo/unfake.js","jenissimo","JavaScript","758","computer-vision","6","847","False","0.0833","0","1","0.6971","1","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","Fix AI pixel art and vector images right in your browser"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","foo123/HAAR.js","https://github.com/foo123/HAAR.js","foo123","JavaScript","344","computer-vision","7","832.03","False","0.1","0","1","0.5259","1","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","Feature Detection based on Haar Cascades in JavaScript (Viola-Jones-Lienhart et al Algorithm)"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","inspirit/jsfeat","https://github.com/inspirit/jsfeat","inspirit","JavaScript","2771","computer-vision","8","821.22","False","0","0","1","0.9784","1","1","0.3333","computer language:JavaScript stars:>=50","JavaScript Computer Vision library."
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","noahlevenson/stealing-ur-feelings","https://github.com/noahlevenson/stealing-ur-feelings","noahlevenson","JavaScript","921","computer-vision","9","812.72","False","0.037","0","1","0.7394","1","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","Winner of Mozilla's $50,000 prize for AI"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","foo123/FILTER.js","https://github.com/foo123/FILTER.js","foo123","JavaScript","398","computer-vision","10","810.06","False","0.0417","0","1","0.5575","0.8","1","0.6667","topic:computer-vision language:JavaScript stars:>=50 | computer language:JavaScript stars:>=50","Video and Image Processing and Computer Vision Library similar to OpenCV in pure JavaScript (Browser and Nodejs)"
