"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"w-m/3dgs-compression-survey","https://github.com/w-m/3dgs-compression-survey","w-m","JavaScript","235","False","False","5/27/2024 2:12:21 PM","4/28/2026 9:28:24 AM","An open survey on 3D Gaussian Splatting compression methods","3d-gaussian-splatting;3d-reconstruction;compression;computer-vision;gaussian-splatting;paper-survey","topic:computer-vision language:JavaScript stars:>=50"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","psalias2006","JavaScript","1518","False","False","10/5/2025 11:48:17 AM","5/1/2026 6:24:50 PM","🔥 Real-time NVIDIA GPU dashboard","charts;cuda;dashboard;devops;docker;flask;gpu;gpu-monitoring;llm;mlops;nvidia;nvidia-docker;nvidia-smi;python;real-time;real-time-monitoring;system-monitoring","topic:charts language:JavaScript stars:>=50"
"railsjazz/rails_charts","https://github.com/railsjazz/rails_charts","railsjazz","JavaScript","358","False","False","4/19/2022 7:20:56 PM","4/24/2026 2:05:44 PM","Rails Charts using eCharts from Apache","charts;rails","topic:charts language:JavaScript stars:>=50"
"antvis/F2","https://github.com/antvis/F2","antvis","JavaScript","7988","False","False","8/29/2016 6:26:23 AM","5/2/2026 3:49:12 PM","📱📈An elegant, interactive and flexible charting library for mobile.","antv;charts;data-visualisation;data-visualization;f2;grammar;html5-canvas;mobile;visualization","topic:charts language:JavaScript stars:>=50"
"sghall/resonance","https://github.com/sghall/resonance","sghall","JavaScript","999","False","False","1/16/2017 7:17:46 AM","4/18/2026 5:04:59 AM",":black_medium_small_square:Resonance | 5kb React animation library","animation;charts;d3;data;data-driven-transitions;graph;react;svg;visualization","topic:charts language:JavaScript stars:>=50"
"nerfstudio-project/nerfstudio","https://github.com/nerfstudio-project/nerfstudio","nerfstudio-project","Python","11507","False","False","5/31/2022 6:17:37 PM","5/2/2026 2:37:37 PM","A collaboration friendly studio for NeRFs","3d;3d-graphics;3d-reconstruction;computer-vision;deep-learning;gaussian-splatting;machine-learning;nerf;photogrammetry;pytorch","topic:computer-vision stars:>=100"
"sumn2u/annotate-lab","https://github.com/sumn2u/annotate-lab","sumn2u","JavaScript","125","False","False","5/25/2024 9:07:07 PM","4/28/2026 8:47:45 AM","Annotate-lab is an open-source image annotation tool for efficient dataset creation. With an intuitive interface and flexible export options, it streamlines your machine learning workflow. 🖼️✏️📑","annotation-tool;classification;collaborate;computer-vision;image-annotation;image-labeling;image-masking;image-segmentation;machine-learning;python;react;segmentation","topic:computer-vision language:JavaScript stars:>=50"
"junyanz/CycleGAN","https://github.com/junyanz/CycleGAN","junyanz","Lua","12856","False","False","3/30/2017 3:56:21 PM","4/29/2026 2:30:53 PM","Software that can generate photos from paintings,  turn horses into zebras,  perform style transfer, and more.","computer-graphics;computer-vision;cyclegan;deep-learning;gan;gans;generative-adversarial-network;image-generation;image-manipulation;pix2pix;torch","topic:computer-vision stars:>=100"
"lucylow/Deep-Learning-Mahjong---","https://github.com/lucylow/Deep-Learning-Mahjong---","lucylow","JavaScript","99","False","False","6/29/2019 5:35:01 PM","12/11/2025 12:15:28 PM","Reinforcement learning (RL) implementation of imperfect information game Mahjong using markov decision processes to predict future game states","battle-mahjong;computer-vision;deep-learning-mahjong;deep-neural-network;deep-q-network;game-development;game-play;game-theory;mahjong;markov-chain;markov-model;nlp;npc-generator;reactjs;reinforcement;reinforcement-learning;softmax;supervised-learning;supervised-machine-learning;tensorflow","topic:computer-vision language:JavaScript stars:>=50"
"highoncarbs/Hafta","https://github.com/highoncarbs/Hafta","highoncarbs","JavaScript","142","False","False","11/28/2018 7:33:25 AM","4/5/2026 11:24:38 AM","💸  Settle payrolls faster with Hafta.","attendance;attendance-management;attendance-system;bulma;business;business-intelligence;business-solutions;business-systems;charts;employee-management;employee-management-system;flask;hr;hrm;manufactoring;payroll;payroll-management-system;payroll-processing;python;vue","topic:charts language:JavaScript stars:>=50"
"Z-Siqi/Clash-for-Windows_Chinese","https://github.com/Z-Siqi/Clash-for-Windows_Chinese","Z-Siqi","JavaScript","28153","False","False","4/19/2021 8:13:23 AM","5/2/2026 2:18:55 PM","clash for windows汉化版. 提供clash for windows的汉化版, 汉化补丁及汉化版安装程序","chinese;clash;clash-chinese;shadowsocks;windows;zh-cn","w language:JavaScript stars:>=50"
"oslabs-beta/svend3r","https://github.com/oslabs-beta/svend3r","oslabs-beta","JavaScript","334","False","False","3/4/2022 3:03:31 PM","4/15/2026 5:19:06 PM","Interactive plug and play charting library for Svelte","charts;d3;javascript;svelte;sveltekit;tailwindcss","topic:charts language:JavaScript stars:>=50"
"riju/WebCamera","https://github.com/riju/WebCamera","riju","JavaScript","274","False","False","11/26/2018 4:10:36 PM","11/29/2025 11:36:23 PM","Camera controls for the Web","camera-controls;computer-vision;demos;getusermedia;hdr;hdr-image;opencv;opencv-js;webrtc","topic:computer-vision language:JavaScript stars:>=50"
"phillipi/pix2pix","https://github.com/phillipi/pix2pix","phillipi","Lua","10631","False","False","11/16/2016 10:48:50 PM","5/1/2026 5:52:12 AM","Image-to-image translation with conditional adversarial nets","computer-graphics;computer-vision;dcgan;deep-learning;gan;generative-adversarial-network;image-generation;image-manipulation;image-to-image-translation;pix2pix","topic:computer-vision stars:>=100"
"debkbanerji/lego-art-remix","https://github.com/debkbanerji/lego-art-remix","debkbanerji","JavaScript","390","False","False","8/8/2020 8:35:58 PM","4/21/2026 8:40:33 PM","Powerful computer vision assisted Lego mosaic creator · Over 1 million images created (so far!)","computer-vision;custom-pictures;deep-neural-network;javascript;lego;lego-art;lego-art-remix;lego-mosaic;onnx","topic:computer-vision language:JavaScript stars:>=50 | computer language:JavaScript stars:>=50"
"pablojim/highcharts-ng","https://github.com/pablojim/highcharts-ng","pablojim","JavaScript","1753","False","False","6/24/2013 9:03:15 PM","4/28/2026 10:46:04 AM","AngularJS directive for Highcharts","angularjs;charts;highcharts;highcharts-ng;highstock;javascript","topic:charts language:JavaScript stars:>=50"
"code-dot-org/code-dot-org","https://github.com/code-dot-org/code-dot-org","code-dot-org","JavaScript","892","False","False","9/20/2014 12:46:11 AM","5/1/2026 11:18:46 PM","The code powering code.org and studio.code.org","blockly;code;coding;computer;educational;learning;online;science;studio","computer language:JavaScript stars:>=50"
"jsplumb/community-edition","https://github.com/jsplumb/community-edition","jsplumb","JavaScript","360","False","False","10/10/2023 3:05:53 PM","4/13/2026 6:11:17 AM","The community edition of jsPlumb, versions 1.x - 6.x. This repository no longer receives updates.","angular;charts;diagram;html5;javascript;no-code;svg;typescript;visualization","topic:charts language:JavaScript stars:>=50"
"ro31337/bigoposter","https://github.com/ro31337/bigoposter","ro31337","JavaScript","1659","False","False","7/5/2016 2:19:01 AM","5/1/2026 6:58:25 AM","Big-O Complexities / Poster of common algorithms used in Computer Science","","computer language:JavaScript stars:>=50"
"Slava/label-tool","https://github.com/Slava/label-tool","Slava","JavaScript","352","False","False","3/18/2019 4:33:20 AM","3/4/2026 3:24:00 AM","Web application for image labeling and segmentation","boundingbox;computer-vision;computer-vision-tools;data-labeling;image-annotation;image-label;image-labeling;image-labeling-tool;labelme;machine-learning;segmentation;sematic-segmentation;training-data","topic:computer-vision language:JavaScript stars:>=50"
