"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","MrNothing/AI-Blocks","https://github.com/MrNothing/AI-Blocks","MrNothing","JavaScript","1860","deep-learning","1","1038.25","True","0.2308","0","1","0.7461","1","1","0.6667","topic:artificial-intelligence language:JavaScript stars:>=50 | topic:deep-learning language:JavaScript stars:>=50","A powerful and intuitive WYSIWYG interface that allows anyone to create Machine Learning models!"
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","cpury/lookie-lookie","https://github.com/cpury/lookie-lookie","cpury","JavaScript","374","deep-learning","2","994.68","True","0.25","0","1","0.3982","1","1","0.6667","topic:computer-vision language:JavaScript stars:>=50 | topic:deep-learning language:JavaScript stars:>=50","Learning to track eye movement in the browser"
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","poloclub/cnn-explainer","https://github.com/poloclub/cnn-explainer","poloclub","JavaScript","8938","deep-learning","3","989.81","True","0.2","0","1","0.9132","1","1","0.3333","topic:deep-learning language:JavaScript stars:>=50","Learning Convolutional Neural Networks with Interactive Visualization."
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","janhuenermann/neurojs","https://github.com/janhuenermann/neurojs","janhuenermann","JavaScript","4374","deep-learning","4","976.68","True","0.1818","0","1","0.9317","1","1","0.3333","topic:deep-learning language:JavaScript stars:>=50","A JavaScript deep learning and reinforcement learning library."
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","transcranial/keras-js","https://github.com/transcranial/keras-js","transcranial","JavaScript","4964","deep-learning","5","967.85","True","0.1667","0","1","0.9591","1","1","0.3333","topic:deep-learning language:JavaScript stars:>=50","Run Keras models in the browser, with GPU support using WebGL"
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","alexlenail/NN-SVG","https://github.com/alexlenail/NN-SVG","alexlenail","JavaScript","5664","deep-learning","6","961.32","True","0.1538","0","1","0.9878","1","1","0.3333","topic:deep-learning language:JavaScript stars:>=50","Publication-ready NN-architecture schematics. "
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","ml5js/ml5-library","https://github.com/ml5js/ml5-library","ml5js","JavaScript","6585","deep-learning","7","959.88","True","0.1538","0","1","0.9795","1","1","0.3333","topic:deep-learning language:JavaScript stars:>=50","Friendly machine learning for the web! 🤖 "
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","serengil/deepface-react-ui","https://github.com/serengil/deepface-react-ui","serengil","JavaScript","166","deep-learning","8","958.94","True","0.3","0","1","0.2225","1","1","0.3333","topic:computer-vision language:JavaScript stars:>=50","Deep Face Recognition UI With ReactJS"
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","ModelDepot/tfjs-yolo-tiny","https://github.com/ModelDepot/tfjs-yolo-tiny","ModelDepot","JavaScript","533","deep-learning","9","951.87","True","0.1875","0","1","0.4749","1","1","0.6667","topic:computer-vision language:JavaScript stars:>=50 | topic:deep-learning language:JavaScript stars:>=50","In-Browser Object Detection using Tiny YOLO on Tensorflow.js"
"paperswithcode/ai-deadlines","https://github.com/paperswithcode/ai-deadlines","tensorspace-team/tensorspace","https://github.com/tensorspace-team/tensorspace","tensorspace-team","JavaScript","5169","deep-learning","10","947.96","True","0.1429","0","1","0.9679","1","1","0.3333","topic:deep-learning language:JavaScript stars:>=50","Neural network 3D visualization framework, build interactive and intuitive model in browsers, support pre-trained deep learning models from TensorFlow, Keras, TensorFlow.js "
