"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","OvidijusParsiunas/myvision","https://github.com/OvidijusParsiunas/myvision","OvidijusParsiunas","JavaScript","608","deep-learning","1","907.21","True","0.1429","0","1","0.7351","1","1","0.3333","topic:annotation-tool language:JavaScript stars:>=50","Computer vision based ML training data generation tool :rocket:"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","stared/interactive-machine-learning-list","https://github.com/stared/interactive-machine-learning-list","stared","JavaScript","453","deep-learning","2","842.47","False","0.0833","0","1","0.6713","1","1","0.3333","collaborate language:JavaScript stars:>=50","A collaborative list of interactive Machine Learning, Deep Learning and Statistics websites"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","ESA-PhiLab/iris","https://github.com/ESA-PhiLab/iris","ESA-PhiLab","JavaScript","163","deep-learning","3","825.21","False","0.1071","0","1","0.4502","1","1","0.3333","topic:annotation-tool language:JavaScript stars:>=50","Semi-automatic tool for manual segmentation of multi-spectral and geo-spatial imagery."
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","lutzroeder/netron","https://github.com/lutzroeder/netron","lutzroeder","JavaScript","32832","deep-learning","4","772.78","False","0.0588","0","1","0.3991","1","1","0.3333","topic:deep-learning stars:>=100","Visualizer for neural network, deep learning and machine learning models"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","sumn2u/annotate-lab","https://github.com/sumn2u/annotate-lab","sumn2u","JavaScript","125","computer-vision","5","771.77","False","0.2308","0.0312","1","0.3929","1","0","0.6667","topic:annotation-tool language:JavaScript stars:>=50 | topic:classification language:JavaScript stars:>=50","Annotate-lab is an open-source image annotation tool for efficient dataset creation. With an intuitive interface and flexible export options, it streamlines your machine learning workflow. 🖼️✏️📑"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","alyssaxuu/screenity","https://github.com/alyssaxuu/screenity","alyssaxuu","JavaScript","18161","deep-learning","6","768.06","False","0.0286","0","1","0.5277","1","1","0.3333","topic:annotation-tool language:JavaScript stars:>=50","The free and privacy-friendly screen recorder with no limits 🎥"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38043","deep-learning","7","751.74","False","0.0417","0","1","0.3671","1","1","0.3333","topic:deep-learning stars:>=100","Pure Javascript OCR for more than 100 Languages 📖🎉🖥"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","digitallyinduced/thin-backend","https://github.com/digitallyinduced/thin-backend","digitallyinduced","JavaScript","1252","","8","665.83","False","0","0.1304","1","0.8917","1","0","0.3333","universal language:JavaScript stars:>=50","🔥 Thin Backend is a Blazing Fast, Universal Web App Backend for Making Realtime Single Page Apps"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","nemo/natural-synaptic","https://github.com/nemo/natural-synaptic","nemo","JavaScript","112","deep-learning","9","655.53","False","0.0455","0","1","0.3693","0.2","1","0.3333","topic:classification language:JavaScript stars:>=50","Javascript Natural Language Classifier"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","vanvalenlab/deepcell-label","https://github.com/vanvalenlab/deepcell-label","vanvalenlab","JavaScript","86","computer-vision","10","651.55","False","0.0769","0.1579","1","0.3125","1","0","0.3333","topic:annotate-images language:JavaScript stars:>=50","Cloud-based data annotation tools for biological images"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","fridays/next-routes","https://github.com/fridays/next-routes","fridays","JavaScript","2463","","11","631.49","False","0","0.0588","1","0.9614","1","0","0.3333","universal language:JavaScript stars:>=50","Universal dynamic routes for Next.js"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","DualSubs/Universal","https://github.com/DualSubs/Universal","DualSubs","JavaScript","1383","editor","12","631.26","False","0","0.0714","1","0.9133","1","0","0.3333","universal language:JavaScript stars:>=50","通用流媒体平台增强及双语字幕解决方案"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","faceyspacey/react-universal-component","https://github.com/faceyspacey/react-universal-component","faceyspacey","JavaScript","1692","","13","623.44","False","0","0.0476","1","0.9571","1","0","0.3333","universal language:JavaScript stars:>=50","🚀 The final answer to a React Universal Component: simultaneous SSR + Code Splitting"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","blenderskool/blaze","https://github.com/blenderskool/blaze","blenderskool","JavaScript","2455","","14","622.41","False","0.0323","0","1","0.9621","1","0","0.3333","collaborate language:JavaScript stars:>=50","⚡ File sharing progressive web app built using WebTorrent and WebSockets"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","vueuse/vue-demi","https://github.com/vueuse/vue-demi","vueuse","JavaScript","3135","","15","622.32","False","0","0.0588","1","0.9091","1","0","0.3333","universal language:JavaScript stars:>=50","🎩 Creates Universal Library for Vue 2 & 3"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","lquixada/cross-fetch","https://github.com/lquixada/cross-fetch","lquixada","JavaScript","1697","","16","622.15","False","0","0.0455","1","0.9577","1","0","0.3333","universal language:JavaScript stars:>=50","Universal WHATWG Fetch API for Node, Browsers and React Native."
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","kriasoft/isomorphic-style-loader","https://github.com/kriasoft/isomorphic-style-loader","kriasoft","JavaScript","1271","","17","618.53","False","0","0.0952","1","0.895","0.8","0","0.3333","universal language:JavaScript stars:>=50","CSS style loader for Webpack that is optimized for isomorphic (universal) web apps."
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator","https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator","LiberatedPixelCup","JavaScript","1258","","18","615.44","False","0","0.0526","1","0.8928","1","0","0.3333","universal language:JavaScript stars:>=50","Character Generator based on Universal-LPC-Spritesheet"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","vanila-io/wireflow","https://github.com/vanila-io/wireflow","vanila-io","JavaScript","4150","","19","612.56","False","0.0435","0","1","0.8482","1","0","0.3333","collaborate language:JavaScript stars:>=50","Wireflow - user flow chart real-time collaborative tool"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","spacedeck/spacedeck-open","https://github.com/spacedeck/spacedeck-open","spacedeck","JavaScript","1123","","20","605.18","False","0","0.0435","1","0.8681","1","0","0.3333","collaborate language:JavaScript stars:>=50","Spacedeck, a web based, real time, collaborative whiteboard application with rich media support"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","peaksandpies/universal-analytics","https://github.com/peaksandpies/universal-analytics","peaksandpies","JavaScript","961","","21","603.51","False","0","0.05","1","0.8343","1","0","0.3333","universal language:JavaScript stars:>=50","A node module for Google's Universal Analytics and Measurement Protocol"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","wooorm/franc","https://github.com/wooorm/franc","wooorm","JavaScript","4390","computer-vision","22","602.33","False","0.0345","0","1","0.836","1","0","0.3333","topic:classification language:JavaScript stars:>=50","Natural language detection"
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","DmytroVasin/DrawPen","https://github.com/DmytroVasin/DrawPen","DmytroVasin","JavaScript","847","","23","600.83","False","0.0385","0","1","0.8069","1","0","0.3333","topic:annotation-tool language:JavaScript stars:>=50","DrawPen is a simple screen annotation. Available on macOS, Windows & Linux."
"UniversalDataTool/universal-data-tool","https://github.com/UniversalDataTool/universal-data-tool","ericclemmons/react-resolver","https://github.com/ericclemmons/react-resolver","ericclemmons","JavaScript","1640","","24","598.8","False","0","0.05","1","0.9503","0.8","0","0.3333","universal language:JavaScript stars:>=50","Async rendering & data-fetching for universal React applications."
