"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"Wluper/matilda","https://github.com/Wluper/matilda","Wluper","JavaScript","149","False","False","4/10/2019 9:19:13 AM","5/25/2024 11:54:00 AM","MATILDA: Multi-AnnoTator multi-language Interactive Lightweight Dialogue Annotator","annotation-tool;dialogue-annotation;dialogue-systems;nlp;python","topic:annotation-tool language:JavaScript stars:>=50"
"cracker0dks/whiteboard","https://github.com/cracker0dks/whiteboard","cracker0dks","JavaScript","821","False","False","2/8/2018 3:52:49 PM","5/2/2026 12:58:29 PM","Lightweight collaborative Whiteboard / Sketchboard","collaborative;nodejs;sketchboard;whiteboard","collaborate language:JavaScript stars:>=50"
"spacedeck/spacedeck-open","https://github.com/spacedeck/spacedeck-open","spacedeck","JavaScript","1123","False","False","4/6/2017 11:00:04 PM","4/9/2026 10:10:15 AM","Spacedeck, a web based, real time, collaborative whiteboard application with rich media support","","collaborate language:JavaScript stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160179","False","False","10/29/2018 1:56:00 PM","5/2/2026 5:39:27 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:deep-learning stars:>=100"
"sumn2u/annotate-lab","https://github.com/sumn2u/annotate-lab","sumn2u","JavaScript","125","False","False","5/25/2024 9:07:07 PM","4/28/2026 8:47:45 AM","Annotate-lab is an open-source image annotation tool for efficient dataset creation. With an intuitive interface and flexible export options, it streamlines your machine learning workflow. 🖼️✏️📑","annotation-tool;classification;collaborate;computer-vision;image-annotation;image-labeling;image-masking;image-segmentation;machine-learning;python;react;segmentation","topic:annotation-tool language:JavaScript stars:>=50 | topic:classification language:JavaScript stars:>=50"
"Tapha/Custom-Highlight","https://github.com/Tapha/Custom-Highlight","Tapha","JavaScript","79","False","False","12/14/2015 10:02:23 AM","1/23/2025 2:47:49 PM","A simple, open source text highlighter that allows you to add custom functions to it. It basically lets you build your own 'Medium' style editor.","annotation-tool;annotations;annotator;javascript;jquery;jquery-plugin;medium;medium-article;medium-editor;tooltipster","topic:annotation-tool language:JavaScript stars:>=50"
"BoostIO/BoostNote-Legacy","https://github.com/BoostIO/BoostNote-Legacy","BoostIO","JavaScript","16939","False","False","3/6/2016 5:06:07 PM","4/30/2026 4:52:52 PM","This repository is outdated and new Boost Note app is available! We've launched a new Boost Note app which supports real-time collaborative writing. https://github.com/BoostIO/BoostNote-App","electron;linux;macos;open-source;react;stylus;windows","collaborate language:JavaScript stars:>=50"
"lquixada/cross-fetch","https://github.com/lquixada/cross-fetch","lquixada","JavaScript","1697","False","False","9/2/2017 6:36:08 PM","4/29/2026 4:43:20 AM","Universal WHATWG Fetch API for Node, Browsers and React Native.","cross-fetch;fetch;fetch-api;http;http-client;isomorphic;isomorphic-fetch;node-fetch;spec-compliant;whatwg-fetch","universal language:JavaScript stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38292","False","False","11/28/2022 2:08:44 PM","5/2/2026 4:26:53 PM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:deep-learning stars:>=100"
"alibaba/react-intl-universal","https://github.com/alibaba/react-intl-universal","alibaba","JavaScript","1352","False","False","6/14/2017 6:39:26 AM","3/26/2026 3:21:00 AM","Internationalize React apps. Not only for Component but also for Vanilla JS.","","universal language:JavaScript stars:>=50"
"jackwener/OpenCLI","https://github.com/jackwener/OpenCLI","jackwener","JavaScript","18495","False","False","3/14/2026 10:10:23 PM","5/2/2026 5:51:16 PM","Make Any Website & Tool Your CLI. A universal CLI Hub and AI-native runtime. Transform any website, Electron app, or local binary into a standardized command-line interface. Built for AI Agents to discover, learn, and execute tools seamlessly via a unified AGENT.md integration.","ai-agent;ai-agents;ai-tools;cli","universal language:JavaScript stars:>=50"
"yjs/yjs","https://github.com/yjs/yjs","yjs","JavaScript","21756","False","False","7/29/2014 7:29:45 PM","5/2/2026 4:55:32 PM","Shared data types for building collaborative software","collaboration;collaborative-editing;crdt;decentralized;offline-first;p2p;peer-to-peer;realtime;shared-editing;yjs","collaborate language:JavaScript stars:>=50"
"DmytroVasin/DrawPen","https://github.com/DmytroVasin/DrawPen","DmytroVasin","JavaScript","847","False","False","5/19/2024 7:01:42 AM","5/2/2026 2:20:04 PM","DrawPen is a simple screen annotation. Available on macOS, Windows & Linux.","annotation;annotation-tool;canvas;electron;macos;presentation;screen-annotation","topic:annotation-tool language:JavaScript stars:>=50"
"vueuse/vue-demi","https://github.com/vueuse/vue-demi","vueuse","JavaScript","3135","False","False","7/1/2020 3:57:40 AM","5/1/2026 4:58:38 AM","🎩 Creates Universal Library for Vue 2 & 3","vue;vue-composition-api;vue-demi;vue2;vue3","universal language:JavaScript stars:>=50"
"guymorita/recommendationRaccoon","https://github.com/guymorita/recommendationRaccoon","guymorita","JavaScript","815","False","False","7/29/2013 6:30:52 AM","5/1/2026 4:47:04 AM","A collaborative filtering based recommendation engine and NPM module built on top of Node.js and Redis. The engine uses the Jaccard coefficient to determine the similarity between users and k-nearest-neighbors to create recommendations. This module is useful for anyone with a database of users, a database of products/movies/items and the desire to give their users the ability to like/dislike and receive recommendations.","","collaborate language:JavaScript stars:>=50"
"LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator","https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator","LiberatedPixelCup","JavaScript","1258","False","False","2/18/2013 3:17:12 PM","5/2/2026 5:39:43 PM","Character Generator based on Universal-LPC-Spritesheet","","universal language:JavaScript stars:>=50"
"jsfiddle/togetherjs","https://github.com/jsfiddle/togetherjs","jsfiddle","JavaScript","7008","False","False","12/5/2012 12:15:41 AM","4/23/2026 11:49:00 PM","A service for your website that makes it surprisingly easy to collaborate in real-time.","","collaborate language:JavaScript stars:>=50"
"ericclemmons/react-resolver","https://github.com/ericclemmons/react-resolver","ericclemmons","JavaScript","1640","False","False","1/29/2015 4:15:48 PM","3/28/2026 4:23:01 AM","Async rendering & data-fetching for universal React applications.","","universal language:JavaScript stars:>=50"
"wooorm/franc","https://github.com/wooorm/franc","wooorm","JavaScript","4390","False","False","7/19/2014 2:50:53 PM","4/30/2026 6:07:42 PM","Natural language detection","classification;classify;detect;detection;javascript;language;language-detection;natural;natural-language;nlp","topic:classification language:JavaScript stars:>=50"
"leftmove/wallstreetlocal","https://github.com/leftmove/wallstreetlocal","leftmove","JavaScript","468","False","False","1/21/2023 11:03:29 PM","5/2/2026 12:25:18 PM","Free and open-source stock tracking website for America's biggest money managers.","13f;celery;collaborate;docker;fastapi;investment;javascript;meilisearch;mongodb;nextjs;nginx-proxy-manager;public-data;python;redis;redux;sec","collaborate language:JavaScript stars:>=50"
"nemo/natural-synaptic","https://github.com/nemo/natural-synaptic","nemo","JavaScript","112","False","False","12/23/2015 9:59:12 AM","9/10/2024 3:00:41 PM","Javascript Natural Language Classifier","classification;neural-network;nlp","topic:classification language:JavaScript stars:>=50"
"umdjs/umd","https://github.com/umdjs/umd","umdjs","JavaScript","7447","False","False","10/21/2011 2:08:25 PM","4/21/2026 1:00:47 PM","UMD (Universal Module Definition) patterns for JavaScript modules that work everywhere.","","universal language:JavaScript stars:>=50"
