"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","jeecgboot","Java","46068","11/26/2018 10:40:00 AM","5/2/2026 4:43:16 PM","activiti;agent;ai;antd;claude-code;cli;codegenerator;codex;flowable;langchain4j;llm;low-code;mcp;mybatis-plus;rag;skills;spring-ai;springboot;springcloud;vue3","llm","1986.49","1","1","1","0.9327","1","0.8","1","1","0","False","topic:llm language:java stars:>=1000","AI低代码平台，支持「低代码 + 零代码」双模式：零代码 5 分钟搭建业务系统，低代码模式一键生成前后端代码。 内置AI 应用，支持AI聊天、知识库、流程编排、MCP与插件，支持各种模型。Skills能力实现：一句话画流程图、设计表单、生成系统。 引领 AI生成→在线配置→代码生成→手工合并的开发模式，解决Java项目80%的重复工作，快速提高效率，又不失灵活性。"
"2","haifengl/smile","https://github.com/haifengl/smile","haifengl","Java","6368","11/20/2014 4:28:12 PM","5/1/2026 6:16:29 PM","classification;clustering;computer-algebra-system;computer-vision;data-science;dataframe;deep-learning;genetic-algorithm;interpolation;linear-algebra;llm;machine-learning;manifold-learning;multidimensional-scaling;nearest-neighbor-search;nlp;regression;statistics;visualization;wavelet","llm","1984.22","1","1","1","0.7608","1","1","1","1","0","False","topic:llm language:java stars:>=1000","Statistical Machine Intelligence & Learning Engine"
"3","lealone/Lealone","https://github.com/lealone/Lealone","lealone","Java","2559","1/8/2013 1:57:08 PM","5/2/2026 4:04:12 PM","acid;agent;ai;async;database;lealone;llm;microservice;newsql;oltp;orm;rdbms;replication;sharding;sql","llm","1962.45","1","1","1","0.6816","1","1","1","1","0","False","topic:llm language:java stars:>=1000","能安全适用于个人助理和氛围编程以及企业应用的全栈自进化通用智能体"
"4","apache/seatunnel","https://github.com/apache/seatunnel","apache","Java","9305","8/5/2017 9:14:47 AM","5/2/2026 9:17:30 AM","apache;batch;cdc;change-data-capture;data-ingestion;data-integration;elt;embeddings;high-performance;llm;multimodal;offline;real-time;streaming","llm","1948.28","1","1","1","0.7938","1","0.8","1","1","0","False","topic:llm language:java stars:>=1000","SeaTunnel is a multimodal, high-performance, distributed, massive data integration tool."
"5","apache/hertzbeat","https://github.com/apache/hertzbeat","apache","Java","7196","2/4/2022 2:48:56 PM","5/2/2026 8:18:35 AM","agent;ai;alerting;database;grafana;linux;llm;logs;metrics;monitor;monitoring;notifications;observability;prometheus;self-hosted;server;status;status-page;uptime;zabbix","llm","1897.14","1","1","1","0.7714","1","0.6","1","1","0","False","topic:llm language:java stars:>=1000","An AI-powered next-generation open source real-time observability system."
"6","tjake/Jlama","https://github.com/tjake/Jlama","tjake","Java","1279","7/31/2023 3:15:38 AM","5/1/2026 4:30:39 PM","ai;genai;gpt;huggingface;java;llama;llm;openai;simd;transformers","llm","1855.9","1","1","1","0.6214","1","0.6","1","1","0","False","topic:llm language:java stars:>=1000","Jlama is a modern LLM inference engine for Java"
"7","agents-flex/agents-flex","https://github.com/agents-flex/agents-flex","agents-flex","Java","1034","1/12/2024 8:23:40 AM","4/28/2026 2:14:53 AM","agent;ai;chatbot;chatgpt;gpt;langchain4j;llama3;llm;ollama;spring-ai","llm","1850.82","1","1","1","0.603","1","0.6","1","1","0","False","topic:llm language:java stars:>=1000","Agents-flex is A Lightweight Java AI Application Development Framework."
"8","zinja-coder/jadx-ai-mcp","https://github.com/zinja-coder/jadx-ai-mcp","zinja-coder","Java","1924","4/7/2025 5:28:54 PM","5/2/2026 2:20:52 PM","ai;java;llm;mcp;mcp-server;mcp-servers;mobile;model-context-protocol;model-context-protocol-servers;pentesting;reverse-engineering;sast;vapt","llm","1820.64","1","1","1","0.6569","1","0.4","1","1","0","False","topic:llm language:java stars:>=1000","Plugin for JADX to integrate MCP server"
"9","iflytek/astron-agent","https://github.com/iflytek/astron-agent","iflytek","Java","8838","9/19/2025 8:46:01 AM","5/2/2026 6:17:37 PM","agent;agentic-workflow;ai;enterprise;iflytek-astron;llm;low-code;mcp;multi-agent;next-gen;orchestration;python;superagent;workflow","llm","1812.05","1","1","1","0.7893","1","0.2","1","1","0","False","topic:llm language:java stars:>=1000","Enterprise-grade, commercial-friendly agentic workflow platform for building next-generation SuperAgents."
"10","iflytek/astron-rpa","https://github.com/iflytek/astron-rpa","iflytek","Java","5878","9/20/2025 8:51:40 AM","5/2/2026 2:20:43 AM","agent;ai;astron;automation;enterprise;iflytek-astron;llm;low-code;mcp;no-code;python;rpa","llm","1802.31","1","1","1","0.7539","1","0.2","1","1","0","False","topic:llm language:java stars:>=1000","Agent-ready RPA suite with out-of-the-box automation tools. Built for individuals and enterprises."
