"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"haifengl/smile","https://github.com/haifengl/smile","oracle/tribuo","https://github.com/oracle/tribuo","oracle","Java","1409","deep-learning","1","838.15","False","0.2727","0","1","0.6726","1","0","0.6667","topic:classification language:Java stars:>=50 | topic:clustering language:Java stars:>=50","Tribuo - A Java machine learning library"
"haifengl/smile","https://github.com/haifengl/smile","umano/AndroidSlidingUpPanel","https://github.com/umano/AndroidSlidingUpPanel","umano","Java","9467","llm","2","809.93","False","0","0","1","0.9139","1","1","0.3333","s language:Java stars:>=50","This library provides a simple way to add a draggable sliding up panel (popularized by Google Music and Google Maps) to your Android application. Brought to you by Umano."
"haifengl/smile","https://github.com/haifengl/smile","jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","jeecgboot","Java","46068","llm","3","772.88","False","0.0256","0","1","0.5703","1","1","0.3333","topic:llm stars:>=100","AI低代码平台，支持「低代码 + 零代码」双模式：零代码 5 分钟搭建业务系统，低代码模式一键生成前后端代码。 内置AI 应用，支持AI聊天、知识库、流程编排、MCP与插件，支持各种模型。Skills能力实现：一句话画流程图、设计表单、生成系统。 引领 AI生成→在线配置→代码生成→手工合并的开发模式，解决Java项目80%的重复工作，快速提高效率，又不失灵活性。"
"haifengl/smile","https://github.com/haifengl/smile","alibaba/Alink","https://github.com/alibaba/Alink","alibaba","Java","3616","nlp","4","760.85","False","0.1471","0","1","0.8771","1","0","0.6667","topic:classification language:Java stars:>=50 | topic:clustering language:Java stars:>=50","Alink is the Machine Learning algorithm platform based on Flink, developed by the PAI team of Alibaba computing platform. "
"haifengl/smile","https://github.com/haifengl/smile","datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","datumbox","Java","1085","nlp","5","696.42","False","0.1818","0","1","0.6159","1","0","0.3333","statistical language:Java stars:>=50","Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications."
"haifengl/smile","https://github.com/haifengl/smile","elki-project/elki","https://github.com/elki-project/elki","elki-project","Java","831","computer-vision","6","635.15","False","0.125","0","1","0.558","1","0","0.3333","topic:clustering language:Java stars:>=50","ELKI Data Mining Toolkit "
"haifengl/smile","https://github.com/haifengl/smile","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42401","llm","7","602.96","False","0.1111","0","0","0.5883","1","1","0.3333","topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"haifengl/smile","https://github.com/haifengl/smile","Waikato/moa","https://github.com/Waikato/moa","Waikato","Java","655","computer-vision","8","585.62","False","0.08","0","1","0.5064","1","0","0.3333","topic:clustering language:Java stars:>=50","MOA is an open source framework for Big Data stream mining. It includes a collection of machine learning algorithms (classification, regression, clustering, outlier detection, concept drift detection and recommender systems) and tools for evaluation."
"haifengl/smile","https://github.com/haifengl/smile","alibaba/spring-ai-alibaba","https://github.com/alibaba/spring-ai-alibaba","alibaba","Java","9448","reinforcement","9","585.01","False","0","0","1","0.9143","1","0","0.3333","s language:Java stars:>=50","Agentic AI Framework for Java Developers"
"haifengl/smile","https://github.com/haifengl/smile","spring-projects/spring-security","https://github.com/spring-projects/spring-security","spring-projects","Java","9501","","10","584.8","False","0","0","1","0.9131","1","0","0.3333","s language:Java stars:>=50","Spring Security"
