"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","iflytek/astron-agent","https://github.com/iflytek/astron-agent","iflytek","Java","8838","llm","1","1017.43","True","0.1724","0","1","0.6415","1","1","1","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50 | mcp language:Java stars:>=50","Enterprise-grade, commercial-friendly agentic workflow platform for building next-generation SuperAgents."
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","ageerle/ruoyi-ai","https://github.com/ageerle/ruoyi-ai","ageerle","Java","5213","llm","2","1013.63","True","0.1905","0","1","0.5269","1","1","1","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50 | mcp language:Java stars:>=50","面向企业级市场的一站式AI应用开发框架，支持多厂商大模型统一接入与管理，具备安全可控的企业知识库与高精度检索优化能力，提供可视化流程编排、自主决策智能体与多智能体协同调度，兼容主流 Agent Skill 协议，帮助企业与开发者零门槛快速构建安全、高效、可落地的AI智能体应用与行业解决方案。"
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","iflytek/astron-rpa","https://github.com/iflytek/astron-rpa","iflytek","Java","5878","llm","3","1013.43","True","0.1852","0","1","0.5529","1","1","1","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50 | mcp language:Java stars:>=50","Agent-ready RPA suite with out-of-the-box automation tools. Built for individuals and enterprises."
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","nageoffer/ragent","https://github.com/nageoffer/ragent","nageoffer","Java","1859","llm","4","1007.58","True","0.2273","0","1","0.3031","1","1","1","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50 | mcp language:Java stars:>=50","企业级 Agentic RAG 智能体 - 全链路覆盖文档解析、多路检索、意图识别、问题重写、会话记忆、MCP 工具调用与深度思考。面向真实业务场景，从 0 到 1 完整工程实现。"
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","liyupi/yu-ai-agent","https://github.com/liyupi/yu-ai-agent","liyupi","Java","2190","llm","5","966.95","True","0.2308","0","1","0.3386","1","1","0.6667","topic:ai language:Java stars:>=50 | mcp language:Java stars:>=50","编程导航 2025 年 AI 开发实战新项目，基于 Spring Boot 3 + Java 21 + Spring AI 构建 AI 恋爱大师应用和 ReAct 模式自主规划智能体YuManus，覆盖 AI 大模型接入、Spring AI 核心特性、Prompt 工程和优化、RAG 检索增强、向量数据库、Tool Calling 工具调用、MCP 模型上下文协议、AI Agent 开发（Manas Java 实现）、Cursor AI 工具等核心知识。用一套教程将程序员必知必会的 AI 技术一网打尽，帮你成为 AI 时代企业的香饽饽，给你的简历和求职大幅增加竞争力。"
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","alibaba/nacos","https://github.com/alibaba/nacos","alibaba","Java","32906","llm","6","944.03","True","0.0909","0","1","0.9269","1","1","0.6667","topic:agent language:Java stars:>=50 | mcp language:Java stars:>=50","an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications."
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","agents-flex/agents-flex","https://github.com/agents-flex/agents-flex","agents-flex","Java","1034","llm","7","910.76","True","0.2","0","1","0.1758","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","Agents-flex is A Lightweight Java AI Application Development Framework."
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","agentscope-ai/agentscope-java","https://github.com/agentscope-ai/agentscope-java","agentscope-ai","Java","2817","llm","8","891.55","False","0.1364","0","1","0.3933","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","AgentScope Java: Agent-Oriented Programming for Building LLM Applications"
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","apache/hertzbeat","https://github.com/apache/hertzbeat","apache","Java","7196","llm","9","877.43","False","0.0811","0","1","0.5969","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","An AI-powered next-generation open source real-time observability system."
"jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","Canner/wren-engine","https://github.com/Canner/wren-engine","Canner","Java","659","llm","10","876.16","False","0.125","0","1","0.0781","1","1","1","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50 | mcp language:Java stars:>=50","The open context engine for AI agents support 15+ data sources. Built on Rust and Apache DataFusion."
