"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"lealone/Lealone","https://github.com/lealone/Lealone","agentscope-ai/agentscope-java","https://github.com/agentscope-ai/agentscope-java","agentscope-ai","Java","2817","llm","1","1030.17","True","0.1765","0","1","0.9791","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","AgentScope Java: Agent-Oriented Programming for Building LLM Applications"
"lealone/Lealone","https://github.com/lealone/Lealone","nageoffer/ragent","https://github.com/nageoffer/ragent","nageoffer","Java","1859","llm","2","1004.97","True","0.1579","0","1","0.9306","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","企业级 Agentic RAG 智能体 - 全链路覆盖文档解析、多路检索、意图识别、问题重写、会话记忆、MCP 工具调用与深度思考。面向真实业务场景，从 0 到 1 完整工程实现。"
"lealone/Lealone","https://github.com/lealone/Lealone","agents-flex/agents-flex","https://github.com/agents-flex/agents-flex","agents-flex","Java","1034","llm","3","963.31","True","0.1364","0","1","0.8034","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","Agents-flex is A Lightweight Java AI Application Development Framework."
"lealone/Lealone","https://github.com/lealone/Lealone","Canner/wren-engine","https://github.com/Canner/wren-engine","Canner","Java","659","llm","4","956.82","True","0.1481","0","1","0.7057","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","The open context engine for AI agents support 15+ data sources. Built on Rust and Apache DataFusion."
"lealone/Lealone","https://github.com/lealone/Lealone","iflytek/astron-rpa","https://github.com/iflytek/astron-rpa","iflytek","Java","5878","llm","5","955.91","True","0.125","0","1","0.8195","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","Agent-ready RPA suite with out-of-the-box automation tools. Built for individuals and enterprises."
"lealone/Lealone","https://github.com/lealone/Lealone","apache/hertzbeat","https://github.com/apache/hertzbeat","apache","Java","7196","llm","6","951.85","True","0.129","0","1","0.7755","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","An AI-powered next-generation open source real-time observability system."
"lealone/Lealone","https://github.com/lealone/Lealone","ageerle/ruoyi-ai","https://github.com/ageerle/ruoyi-ai","ageerle","Java","5213","llm","7","947.97","True","0.1111","0","1","0.8455","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","面向企业级市场的一站式AI应用开发框架，支持多厂商大模型统一接入与管理，具备安全可控的企业知识库与高精度检索优化能力，提供可视化流程编排、自主决策智能体与多智能体协同调度，兼容主流 Agent Skill 协议，帮助企业与开发者零门槛快速构建安全、高效、可落地的AI智能体应用与行业解决方案。"
"lealone/Lealone","https://github.com/lealone/Lealone","google/adk-java","https://github.com/google/adk-java","google","Java","1528","llm","8","945.41","True","0.1","0","1","0.8881","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","An open-source, code-first Java toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
"lealone/Lealone","https://github.com/lealone/Lealone","iflytek/astron-agent","https://github.com/iflytek/astron-agent","iflytek","Java","8838","llm","9","931.76","True","0.1154","0","1","0.7309","1","1","0.6667","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50","Enterprise-grade, commercial-friendly agentic workflow platform for building next-generation SuperAgents."
"lealone/Lealone","https://github.com/lealone/Lealone","jeecgboot/JeecgBoot","https://github.com/jeecgboot/JeecgBoot","jeecgboot","Java","46068","llm","10","899.55","False","0.0938","0","1","0.3724","1","1","1","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50 | topic:llm stars:>=100","AI低代码平台，支持「低代码 + 零代码」双模式：零代码 5 分钟搭建业务系统，低代码模式一键生成前后端代码。 内置AI 应用，支持AI聊天、知识库、流程编排、MCP与插件，支持各种模型。Skills能力实现：一句话画流程图、设计表单、生成系统。 引领 AI生成→在线配置→代码生成→手工合并的开发模式，解决Java项目80%的重复工作，快速提高效率，又不失灵活性。"
"lealone/Lealone","https://github.com/lealone/Lealone","mymagicpower/AIAS","https://github.com/mymagicpower/AIAS","mymagicpower","Java","976","llm","11","894.28","False","0.1176","0","1","0.7908","1","1","0.3333","topic:ai language:Java stars:>=50","提供产品级IOCR自定义模板识别，以图搜图，人像搜索等，免费，可商用，Java AI 人工智能一站式解决方案，为工作减负，为产品研发加速。项目类别包括：以及Java版 Pytorch 训练引擎，AI SDK，web应用等。"
"lealone/Lealone","https://github.com/lealone/Lealone","zinja-coder/jadx-ai-mcp","https://github.com/zinja-coder/jadx-ai-mcp","zinja-coder","Java","1924","llm","12","883.4","False","0.0769","0","1","0.9381","1","1","0.3333","topic:ai language:Java stars:>=50","Plugin for JADX to integrate MCP server"
"lealone/Lealone","https://github.com/lealone/Lealone","weibocom/rill-flow","https://github.com/weibocom/rill-flow","weibocom","Java","409","llm","13","878.12","False","0.1364","0","1","0.6023","1","1","0.3333","topic:agent language:Java stars:>=50"," Rill Flow is a high-performance, scalable workflow orchestration engine for distributed workloads and LLMs"
"lealone/Lealone","https://github.com/lealone/Lealone","tjake/Jlama","https://github.com/tjake/Jlama","tjake","Java","1279","llm","14","876.92","False","0.087","0","1","0.8495","1","1","0.3333","topic:ai language:Java stars:>=50","Jlama is a modern LLM inference engine for Java"
"lealone/Lealone","https://github.com/lealone/Lealone","liyupi/yu-ai-agent","https://github.com/liyupi/yu-ai-agent","liyupi","Java","2190","llm","15","853.7","False","0.0385","0","1","0.9662","1","1","0.3333","topic:ai language:Java stars:>=50","编程导航 2025 年 AI 开发实战新项目，基于 Spring Boot 3 + Java 21 + Spring AI 构建 AI 恋爱大师应用和 ReAct 模式自主规划智能体YuManus，覆盖 AI 大模型接入、Spring AI 核心特性、Prompt 工程和优化、RAG 检索增强、向量数据库、Tool Calling 工具调用、MCP 模型上下文协议、AI Agent 开发（Manas Java 实现）、Cursor AI 工具等核心知识。用一套教程将程序员必知必会的 AI 技术一网打尽，帮你成为 AI 时代企业的香饽饽，给你的简历和求职大幅增加竞争力。"
"lealone/Lealone","https://github.com/lealone/Lealone","aress31/burpgpt","https://github.com/aress31/burpgpt","aress31","Java","2290","llm","16","852.92","False","0.0357","0","1","0.9759","1","1","0.3333","topic:ai language:Java stars:>=50","A Burp Suite extension that integrates OpenAI's GPT to perform an additional passive scan for discovering highly bespoke vulnerabilities and enables running traffic-based analysis of any type."
"lealone/Lealone","https://github.com/lealone/Lealone","Aitenry/IIMS-By-AI","https://github.com/Aitenry/IIMS-By-AI","Aitenry","Java","312","llm","17","838.24","False","0.1034","0","1","0.5437","1","1","0.3333","topic:agent language:Java stars:>=50","IIMS delivers a modern full-stack solution via Spring Boot 3.5 (Java 17) and Vue 3 (TypeScript), featuring RBAC/JWT authentication, Milvus RAG, Spring AI (Ollama/DeepSeek/OpenAI), MyBatis Plus, MySQL, Redis, MinIO, Element Plus, Pinia, Vditor, Mermaid, plus dedicated EAS and DMS modules."
"lealone/Lealone","https://github.com/lealone/Lealone","bytechefhq/bytechef","https://github.com/bytechefhq/bytechef","bytechefhq","Java","754","llm","18","833.14","False","0.0606","0","1","0.7349","1","1","0.3333","topic:ai language:Java stars:>=50","Open-source, AI-native, low-code platform for API orchestration, workflow automation, and AI agent integration across internal systems and SaaS products."
"lealone/Lealone","https://github.com/lealone/Lealone","liyupi/yu-auto-reply","https://github.com/liyupi/yu-auto-reply","liyupi","Java","889","llm","19","832.22","False","0.0526","0","1","0.7706","1","1","0.3333","topic:ai language:Java stars:>=50","AI 自动回复工具，支持灵活配置多个平台的监控和回答。目前已支持知识星球自动回复、OpenAI（ChatGPT）自动回答"
"lealone/Lealone","https://github.com/lealone/Lealone","flyun/chatAir","https://github.com/flyun/chatAir","flyun","Java","797","llm","20","821.61","False","0.0455","0","1","0.7469","1","1","0.3333","topic:ai language:Java stars:>=50","☁️A native Android app for ChatGPT, Gemini, Claude, and DeepSeek  ☁️ChatGPT、Gemini、Claude 和 DeepSeek 的原生安卓应用程序"
"lealone/Lealone","https://github.com/lealone/Lealone","vespa-engine/vespa","https://github.com/vespa-engine/vespa","vespa-engine","Java","6904","llm","21","819.44","False","0.0357","0","1","0.7845","1","1","0.3333","topic:ai language:Java stars:>=50","AI + Data, online. https://vespa.ai"
"lealone/Lealone","https://github.com/lealone/Lealone","CraftJarvis/JARVIS-1","https://github.com/CraftJarvis/JARVIS-1","CraftJarvis","Java","395","llm","22","807.02","False","0.0588","0","1","0.5947","1","1","0.3333","topic:agent language:Java stars:>=50","JARVIS-1: Open-world Multi-task Agents with Memory-Augmented Multimodal Language Models"
