"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"uber-common/jvm-profiler","https://github.com/uber-common/jvm-profiler","uber-common","Java","1807","False","False","1/5/2018 10:19:29 PM","4/5/2026 12:39:28 PM","JVM Profiler Sending Metrics to Kafka, Console Output or Custom Reporter","agent;java;performance;profiler","topic:agent language:Java stars:>=50"
"logisim-evolution/logisim-evolution","https://github.com/logisim-evolution/logisim-evolution","logisim-evolution","Java","7056","False","False","9/19/2014 5:23:24 AM","5/2/2026 4:16:54 PM","Digital logic design tool and simulator","circuit;circuits;digital-circuit;digital-circuits;digital-logic;digital-logic-design;education;fpga;logic;logisim;logisim-evolution;simulator;timing-diagram;verilog;vhdl","l language:Java stars:>=50"
"opennars/opennars","https://github.com/opennars/opennars","opennars","Java","416","False","False","7/18/2014 6:36:28 PM","4/18/2026 1:52:23 PM","OpenNARS for Research 3.0+","agent;agi;ai;aikr;artificial-general-intelligence;database;graph;inference;java;learning;logic;nal;nars;realtime;reasoner;reasoning;reinforcement;rl;semantic;solver","topic:agent language:Java stars:>=50"
"scwang90/SmartRefreshLayout","https://github.com/scwang90/SmartRefreshLayout","scwang90","Java","25163","False","False","6/2/2017 9:52:50 AM","5/2/2026 10:00:39 AM","🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。","android;android-ui;footer;header;overscroll;pull-to-refresh;pulltorefresh;refreshlayout","l language:Java stars:>=50"
"didi/KnowAgent","https://github.com/didi/KnowAgent","didi","Java","277","False","False","6/22/2021 1:06:35 PM","3/19/2026 8:23:55 AM","基于日志模板构建，采集任务动态管控、数据质量精确度量，一站式日志采集平台","agent;filebeat;fluentd;log;logagent;logtail","topic:agent language:Java stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160181","False","False","10/29/2018 1:56:00 PM","5/2/2026 6:13:27 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:llm stars:>=100"
"Canner/wren-engine","https://github.com/Canner/wren-engine","Canner","Java","659","False","False","5/9/2022 7:07:45 AM","5/1/2026 4:27:48 AM","The open context engine for AI agents support 15+ data sources. Built on Rust and Apache DataFusion.","agent;agentic-ai;ai;business-intelligence;data;data-analysis;data-analytics;data-lake;data-warehouse;hacktoberfest;llm;mcp;mcp-server;semantic;semantic-layer;sql","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50"
"airbnb/lottie-android","https://github.com/airbnb/lottie-android","airbnb","Java","35610","False","False","10/6/2016 10:42:42 PM","5/2/2026 1:04:10 PM","Render After Effects animations natively on Android and iOS, Web, and React Native","after-effects;airbnb;android;animation;lottie","l language:Java stars:>=50"
"ageerle/ruoyi-ai","https://github.com/ageerle/ruoyi-ai","ageerle","Java","5213","False","False","1/16/2024 4:16:41 AM","5/2/2026 4:07:13 PM","面向企业级市场的一站式AI应用开发框架，支持多厂商大模型统一接入与管理，具备安全可控的企业知识库与高精度检索优化能力，提供可视化流程编排、自主决策智能体与多智能体协同调度，兼容主流 Agent Skill 协议，帮助企业与开发者零门槛快速构建安全、高效、可落地的AI智能体应用与行业解决方案。","agent;ai;knowledge;mcp;rag","topic:agent language:Java stars:>=50 | topic:ai language:Java stars:>=50"
"ikew0ng/SwipeBackLayout","https://github.com/ikew0ng/SwipeBackLayout","ikew0ng","Java","6098","False","False","8/25/2013 3:36:12 AM","4/29/2026 5:23:05 PM","An Android library that help you to build app with swipe back gesture.","","l language:Java stars:>=50"
"qunarcorp/bistoury","https://github.com/qunarcorp/bistoury","qunarcorp","Java","4085","False","False","8/1/2019 7:54:25 AM","4/29/2026 8:40:39 PM","Bistoury是去哪儿网的java应用生产问题诊断工具，提供了一站式的问题诊断方案","agent;bistoury;cpu;debug;debugging;java;jvm;monitor;trouble-shooting","topic:agent language:Java stars:>=50"
"trello-archive/RxLifecycle","https://github.com/trello-archive/RxLifecycle","trello-archive","Java","7661","False","False","7/20/2015 1:32:23 PM","5/2/2026 9:59:58 AM","Lifecycle handling APIs for Android apps using RxJava","","l language:Java stars:>=50"
"orhanobut/logger","https://github.com/orhanobut/logger","orhanobut","Java","13862","False","False","3/20/2015 10:30:12 PM","5/2/2026 9:59:49 AM","✔️ Simple, pretty and powerful logger for android","android;java;json-logging;log;logcat;logger;pretty-printer;timber","l language:Java stars:>=50"
