"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"NoriSte/cypress-wait-until","https://github.com/NoriSte/cypress-wait-until","NoriSte","JavaScript","699","False","False","4/27/2019 8:27:56 AM","4/1/2026 3:55:46 AM","Add the Cypress waiting power to virtually everything 🎉","cypress;cypress-plugin;javascript;wait","everything language:JavaScript stars:>=50"
"agent-sh/agentsys","https://github.com/agent-sh/agentsys","agent-sh","JavaScript","776","False","False","1/15/2026 9:33:05 AM","5/2/2026 3:18:57 AM","AI writes code. This automates everything else · 20 plugins · 49 agents · 41 skills · for Claude Code, OpenCode, Codex, Cursor, Kiro.","agent;ai;anthropic;automation;autonomous-agents;claude;claude-code;cli;code-review;codex;cursor;devtools;openai;opencode;plugins;productivity;skills;slash-commands;vibe-coding;workflow","topic:anthropic language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50 | everything language:JavaScript stars:>=50"
"cjo4m06/mcp-shrimp-task-manager","https://github.com/cjo4m06/mcp-shrimp-task-manager","cjo4m06","JavaScript","2092","False","False","4/12/2025 8:59:07 AM","5/2/2026 2:33:05 PM","Shrimp Task Manager is a task tool built for AI Agents, emphasizing chain-of-thought, reflection, and style consistency. It converts natural language into structured dev tasks with dependency tracking and iterative refinement, enabling agent-like developer behavior in reasoning AI systems.","agent;ai;codeagent;coding-assistant;cursor-ai;cursorai;mcp;mcp-server;roocode;task-list;task-manager;tasks;thought-processes;windsurf;windsurf-ai","agent language:JavaScript stars:>=50"
"firecrawl/firecrawl-mcp-server","https://github.com/firecrawl/firecrawl-mcp-server","firecrawl","JavaScript","6198","False","False","12/6/2024 7:50:27 AM","5/2/2026 5:55:30 PM","🔥 Official Firecrawl MCP Server - Adds powerful web scraping and search to Cursor, Claude and any other LLM clients.","batch-processing;claude;content-extraction;data-collection;firecrawl;firecrawl-ai;javascript-rendering;llm-tools;mcp;mcp-server;model-context-protocol;search-api;web-crawler;web-scraping","topic:claude language:JavaScript stars:>=50"
"askalf/dario","https://github.com/askalf/dario","askalf","JavaScript","178","False","False","4/8/2026 4:08:01 PM","5/2/2026 6:25:16 PM","Local LLM router. One endpoint for Claude Max/Pro, OpenAI, OpenRouter, Groq, Ollama, LiteLLM, any OpenAI-compat URL — your tools don't need to change. OAuth for Claude subscriptions, multi-account pool, MCP server. Zero runtime deps.","ai;anthropic;api;claude;claude-max;claude-pro;cli;developer-tools;groq;litellm;llm;llm-router;multi-provider;oauth;ollama;openai;openai-compat;openrouter;proxy","topic:anthropic language:JavaScript stars:>=50"
"dkmaker/mcp-rest-api","https://github.com/dkmaker/mcp-rest-api","dkmaker","JavaScript","93","False","False","12/21/2024 5:39:37 PM","4/28/2026 2:34:49 AM","A TypeScript-based MCP server that enables testing of REST APIs through Cline. This tool allows you to test and interact with any REST API endpoints directly from your development environment.","anthropic;claude-code;claude-code-mcp;cline;mcp;mcp-server;mcp-servers","topic:anthropic language:JavaScript stars:>=50"
"andrepimenta/claude-code-chat","https://github.com/andrepimenta/claude-code-chat","andrepimenta","JavaScript","1035","False","False","6/16/2025 4:22:55 PM","5/2/2026 6:16:20 PM","Beautiful Claude Code Chat Interface for VS Code","ai;ai-agents;claude;claude-code;vibe-coding;vscode;vscode-extension","topic:ai-agents language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50"
"blackjk3/react-form-builder","https://github.com/blackjk3/react-form-builder","blackjk3","JavaScript","657","False","False","8/21/2015 1:22:22 PM","3/24/2026 9:33:37 AM","A complete react form builder that interfaces with a json endpoint to load and save generated forms. The toolbox contains 16 items for gathering data. Everything from star ratings to signature boxes!","","everything language:JavaScript stars:>=50"
"1337hero/faster-chat","https://github.com/1337hero/faster-chat","1337hero","JavaScript","139","False","False","1/18/2025 7:25:52 AM","5/1/2026 2:39:31 PM","A blazingly fast, privacy first & OPEN AI Chat Interface","ai;anthropic;javascript;llm;llm-inference;llm-ui;ollama;ollama-gui;open-source;openai;openai-api;openapi;react;reactjs;self-hosted;tailwind;tailwindcss;vercel-ai-sdk","topic:anthropic language:JavaScript stars:>=50"
"jo-inc/camofox-browser","https://github.com/jo-inc/camofox-browser","jo-inc","JavaScript","3872","False","False","1/26/2026 7:31:13 AM","5/2/2026 6:07:12 PM","Stealth headless browser for AI agents — bypass Cloudflare, bot detection, and anti-scraping. Drop-in Puppeteer/Playwright replacement.","ai-agent;anti-bot;antidetect-browser;automation;bot-detection;browser-automation;cloudflare-bypass;headless-browser;javascript;nodejs;playwright;puppeteer;scraping;stealth-browser;web-scraping","agent language:JavaScript stars:>=50"
