"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","xu-xiang/everything-claude-code-zh","https://github.com/xu-xiang/everything-claude-code-zh","xu-xiang","JavaScript","497","llm","1","1554.78","True","0.8","0.1304","1","0","1","1","1","topic:ai-agents language:JavaScript stars:>=50 | topic:anthropic language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50 | everything language:JavaScript stars:>=50","everything-claude-code 中文翻译项目：完整的 Claude Code 配置集合（agents, skills, hooks, commands, rules, MCPs）。源自 Anthropic 黑客松获胜者的实战配置，助力中文工程师高效理解与使用 Claude Code。"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","jarrodwatts/claude-delegator","https://github.com/jarrodwatts/claude-delegator","jarrodwatts","JavaScript","949","llm","2","1086.36","True","0.3636","0.0909","1","0","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50","Delegate tasks to Codex and Gemini directly from within Claude Code."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","Vvkmnn/claude-emporium","https://github.com/Vvkmnn/claude-emporium","Vvkmnn","JavaScript","105","llm","3","979.55","True","0.3333","0.0455","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","🏛 [UNDER CONSTRUCTION] A (roman) claude plugin marketplace "
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","waybarrios/opencode-power-pack","https://github.com/waybarrios/opencode-power-pack","waybarrios","JavaScript","198","llm","4","974.38","True","0.2857","0.1034","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","Eleven Claude Code skills ported to OpenCode: code-review, security-review, feature-dev, frontend-design + 7 more. One config line, one plugin."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","grab/cursor-talk-to-figma-mcp","https://github.com/grab/cursor-talk-to-figma-mcp","grab","JavaScript","6720","llm","5","958.9","True","0.1579","0.1","1","0.296","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | agent language:JavaScript stars:>=50","TalkToFigma: MCP integration between AI Agent (Cursor, Claude Code) and Figma, allowing Agentic AI to communicate with Figma for reading designs and modifying them programmatically."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","ykdojo/claude-code-tips","https://github.com/ykdojo/claude-code-tips","ykdojo","JavaScript","8060","llm","6","950.81","True","0.25","0.0263","1","0.3354","1","1","0.3333","topic:claude language:JavaScript stars:>=50","45 tips for getting the most out of Claude Code, from basics to advanced - includes a custom status line script, cutting the system prompt in half, using Gemini CLI as Claude Code's minion, and Claude Code running itself in a container. Also includes the dx plugin."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","Mintplex-Labs","JavaScript","59413","llm","7","947.11","True","0.125","0","1","0.7692","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | topic:llm stars:>=100","The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","shinpr/claude-code-workflows","https://github.com/shinpr/claude-code-workflows","shinpr","JavaScript","327","llm","8","923.67","True","0.2353","0.0952","1","0","1","1","0.3333","topic:ai-agents language:JavaScript stars:>=50","Production-ready development workflows for Claude Code, powered by specialized AI agents."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","sammcj/mcp-llm","https://github.com/sammcj/mcp-llm","sammcj","JavaScript","77","llm","9","901.92","True","0.3077","0","1","0","0.8","1","0.3333","topic:anthropic language:JavaScript stars:>=50"," An MCP server that provides LLMs access to other LLMs"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","cporter202/agentic-ai-apis","https://github.com/cporter202/agentic-ai-apis","cporter202","JavaScript","302","llm","10","892.11","False","0.25","0.0263","1","0","1","1","0.3333","topic:ai-agents language:JavaScript stars:>=50","The ultimate collection of APIs for building autonomous AI agents — 2,036 production-ready APIs across Agents, AI Models, and MCP Servers. Stop wasting weeks building infrastructure. Plug these in and ship your agent today."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","growthxai/output","https://github.com/growthxai/output","growthxai","JavaScript","283","llm","11","889.47","False","0.2105","0","1","0","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50","The open-source TypeScript framework for building AI workflows and agents. Designed for Claude Code describe what you want, Claude builds it, with all the best practices already in place."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","liyupi/ai-guide","https://github.com/liyupi/ai-guide","liyupi","JavaScript","12936","llm","12","884.68","False","0.12","0","1","0.4382","1","1","0.6667","topic:claude language:JavaScript stars:>=50 | agent language:JavaScript stars:>=50","程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cursor / Claude Code / TRAE / Codex / Copilot）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档，已升级为鱼皮 AI 导航网站"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","pguso/ai-agents-from-scratch","https://github.com/pguso/ai-agents-from-scratch","pguso","JavaScript","3459","llm","13","875.45","False","0.1429","0.0312","1","0.1518","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | agent language:JavaScript stars:>=50","Demystify AI agents by building them yourself. Local LLMs, no black boxes, real understanding of function calling, memory, and ReAct patterns."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","jarrodwatts/claude-hud","https://github.com/jarrodwatts/claude-hud","jarrodwatts","JavaScript","21492","reinforcement","14","868.38","False","0.25","0.0345","1","0.5484","1","0","1","topic:anthropic language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50 | agent language:JavaScript stars:>=50","A Claude Code plugin that shows what's happening - context usage, active tools, running agents, and todo progress"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","covibes/zeroshot","https://github.com/covibes/zeroshot","covibes","JavaScript","1448","llm","15","863.64","False","0.1818","0","1","0","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50","Your autonomous engineering team in a CLI. Point Zeroshot at an issue, walk away, and return to production-grade code. Supports Claude Code, OpenAI Codex, OpenCode, and Gemini CLI."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","jontsai/openclaw-command-center","https://github.com/jontsai/openclaw-command-center","jontsai","JavaScript","229","llm","16","863.64","False","0.1818","0","1","0","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | topic:anthropic language:JavaScript stars:>=50","🤖 AI assistant command and control dashboard — Spawn more Overlords!"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","Fast-Editor/Lynkr","https://github.com/Fast-Editor/Lynkr","Fast-Editor","JavaScript","415","llm","17","861.76","False","0.2353","0","1","0","1","1","0.3333","topic:claude language:JavaScript stars:>=50","Streamline your workflow with Lynkr, a CLI tool that acts as an HTTP proxy for efficient code interactions using Claude Code CLI."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","Piebald-AI/claude-code-system-prompts","https://github.com/Piebald-AI/claude-code-system-prompts","Piebald-AI","JavaScript","9838","llm","18","856.28","False","0.1","0.0769","1","0.3787","1","1","0.3333","agent language:JavaScript stars:>=50","All parts of Claude Code's system prompt, 24 builtin tool descriptions, sub agent prompts (Plan/Explore/Task), utility prompts (CLAUDE.md, compact,  statusline, magic docs, WebFetch, Bash cmd, security review, agent creation).  Updated for each Claude Code version."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","touwaeriol/claude-code-plus","https://github.com/touwaeriol/claude-code-plus","touwaeriol","JavaScript","148","llm","19","853.65","False","0.1765","0.069","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","🖥️ GUI Plugin for Claude Code / Codex CLI / Gemini CLI in JetBrains IDEs - Run AI coding assistants with a beautiful visual interface"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","NousResearch/hermes-agent","https://github.com/NousResearch/hermes-agent","NousResearch","Python","129482","llm","20","835.27","False","0.2632","0.0526","0","0.9384","1","1","0.3333","topic:llm stars:>=100","The agent that grows with you"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","firecrawl/firecrawl-mcp-server","https://github.com/firecrawl/firecrawl-mcp-server","firecrawl","JavaScript","6198","llm","21","833.55","False","0.1","0.069","1","0.2784","1","1","0.3333","topic:claude language:JavaScript stars:>=50","🔥 Official Firecrawl MCP Server - Adds powerful web scraping and search to Cursor, Claude and any other LLM clients."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","songquanpeng/one-api","https://github.com/songquanpeng/one-api","songquanpeng","JavaScript","32812","llm","22","828.71","False","0.0556","0.0256","1","0.6403","1","1","0.3333","topic:claude language:JavaScript stars:>=50","LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","HKUDS/nanobot","https://github.com/HKUDS/nanobot","HKUDS","Python","41521","llm","23","820.99","False","0.3333","0","0","0.6914","1","1","0.3333","topic:llm stars:>=100","""🐈 nanobot: The Ultra-Lightweight Personal AI Agent"""
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","rohitg00/pro-workflow","https://github.com/rohitg00/pro-workflow","rohitg00","JavaScript","2040","mlops","24","817.3","False","0.2273","0.125","1","0.0372","1","0","1","topic:ai-agents language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50 | agent language:JavaScript stars:>=50","Claude Code learns from your corrections: self-correcting memory that compounds over 50+ sessions. Context engineering, parallel worktrees, agent teams, and 17 battle-tested skills."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","Explosion-Scratch/claude-unofficial-api","https://github.com/Explosion-Scratch/claude-unofficial-api","Explosion-Scratch","JavaScript","743","llm","25","816.72","False","0.1538","0.0435","1","0","1","1","0.3333","topic:claude language:JavaScript stars:>=50","Unofficial API for Claude-2 via Claude Web (Also CLI)"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","jerhadf/linear-mcp-server","https://github.com/jerhadf/linear-mcp-server","jerhadf","JavaScript","344","llm","26","813.64","False","0.1818","0","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","A server that integrates Linear's project management system with the Model Context Protocol (MCP) to allow LLMs to interact with Linear."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","memodb-io/Acontext","https://github.com/memodb-io/Acontext","memodb-io","JavaScript","3358","llm","27","811.15","False","0.0952","0","1","0.1454","1","1","0.6667","topic:anthropic language:JavaScript stars:>=50 | agent language:JavaScript stars:>=50","Agent Skills as a Memory Layer"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","Vasco0x4/AIDA","https://github.com/Vasco0x4/AIDA","Vasco0x4","JavaScript","352","llm","28","808.82","False","0.1765","0","1","0","1","1","0.3333","topic:claude language:JavaScript stars:>=50","Turn any LLM into an autonomous pentester. You define the scope, the agent does the work, you review the findings."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","dipampaul17/AgentGuard","https://github.com/dipampaul17/AgentGuard","dipampaul17","JavaScript","159","llm","29","808.82","False","0.1765","0","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","Real-time guardrail that shows token spend & kills runaway LLM/agent loops."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","askalf/dario","https://github.com/askalf/dario","askalf","JavaScript","178","llm","30","806.52","False","0.1739","0","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","Local LLM router. One endpoint for Claude Max/Pro, OpenAI, OpenRouter, Groq, Ollama, LiteLLM, any OpenAI-compat URL — your tools don't need to change. OAuth for Claude subscriptions, multi-account pool, MCP server. Zero runtime deps."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","adoslabsproject-gif/nothumanallowed","https://github.com/adoslabsproject-gif/nothumanallowed","adoslabsproject-gif","JavaScript","81","llm","0","806.52","False","0.1739","0","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","Security-first platform for AI agents. 38 specialized agents, 15 AI-powered extensions, zero-knowledge multi-agent orchestration. SENTINEL WAF, Ed25519 auth, 2.6M grounding facts."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","BinaryBeastMaster/chat-relay","https://github.com/BinaryBeastMaster/chat-relay","BinaryBeastMaster","JavaScript","139","llm","0","804.71","False","0.1538","0.025","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","Chat Relay is a system that allows Cline/RooCode to communicate with web-based AI chat interfaces (like Gemini, AI Studio, ChatGPT, and Claude) through an OpenAI-compatible API. This enables using models that may not have public APIs through their web interfaces."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","rtk-ai/rtk","https://github.com/rtk-ai/rtk","rtk-ai","Rust","39921","llm","0","800.75","False","0.3125","0","0","0.6829","1","1","0.3333","topic:llm stars:>=100","CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","Anil-matcha/Open-Poe-AI","https://github.com/Anil-matcha/Open-Poe-AI","Anil-matcha","JavaScript","225","llm","0","797.69","False","0.1429","0.0294","1","0","1","1","0.3333","topic:anthropic language:JavaScript stars:>=50","Open-source self-hosted alternative to Poe AI — chat with GPT, Claude, Gemini, Llama and other LLMs from a single interface. Bring your own API keys."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","shareAI-lab/learn-claude-code","https://github.com/shareAI-lab/learn-claude-code","shareAI-lab","TypeScript","57820","llm","0","794.83","False","0.2","0.125","0","0.7633","1","1","0.3333","topic:llm stars:>=100","Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","brightdata/brightdata-mcp","https://github.com/brightdata/brightdata-mcp","brightdata","JavaScript","2336","llm","0","790.22","False","0.1429","0","1","0.0666","1","1","0.3333","topic:ai-agents language:JavaScript stars:>=50","A powerful Model Context Protocol (MCP) server that provides an all-in-one solution for public web access."
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","yoshiko-pg/o3-search-mcp","https://github.com/yoshiko-pg/o3-search-mcp","yoshiko-pg","JavaScript","286","llm","0","788.64","False","0.1818","0","1","0","0.8","1","0.3333","topic:claude language:JavaScript stars:>=50","MCP server for OpenAI o3 web search"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","JuliusBrussee/caveman","https://github.com/JuliusBrussee/caveman","JuliusBrussee","Python","52402","llm","0","786.98","False","0.2857","0","0","0.7419","1","1","0.3333","topic:llm stars:>=100","🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","santifer/career-ops","https://github.com/santifer/career-ops","santifer","JavaScript","41784","reinforcement","0","777.47","False","0.1765","0.0345","1","0.6928","1","0","0.6667","topic:anthropic language:JavaScript stars:>=50 | topic:claude language:JavaScript stars:>=50","AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, batch processing."
