"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"alexpinel/Dot","https://github.com/alexpinel/Dot","tetherto/qvac","https://github.com/tetherto/qvac","tetherto","JavaScript","158","llm","1","884.48","False","0.1154","0","1","0.4608","1","1","0.6667","topic:embeddings language:JavaScript stars:>=50 | text-to-speech language:JavaScript stars:>=50","QVAC - Local AI SDK and libraries for building private, cross-platform, peer-to-peer AI applications. Run LLMs, speech-to-text, translation, and more locally on Linux, macOS, Windows, Android, and iOS."
"alexpinel/Dot","https://github.com/alexpinel/Dot","ConardLi/easy-dataset","https://github.com/ConardLi/easy-dataset","ConardLi","JavaScript","14127","llm","2","848.86","False","0.1111","0","1","0.5649","1","1","0.3333","d language:JavaScript stars:>=50","A powerful tool for creating datasets for LLM fine-tuning 、RAG and Eval"
"alexpinel/Dot","https://github.com/alexpinel/Dot","gradio-app/fastrtc","https://github.com/gradio-app/fastrtc","gradio-app","JavaScript","4587","llm","3","832.51","False","0.0455","0","1","0.8091","1","1","0.3333","text-to-speech language:JavaScript stars:>=50","The python library for real-time communication"
"alexpinel/Dot","https://github.com/alexpinel/Dot","supershaneski/openai-whisper-talk","https://github.com/supershaneski/openai-whisper-talk","supershaneski","JavaScript","163","llm","4","808.28","False","0.0294","0","1","0.4675","1","1","0.6667","topic:embeddings language:JavaScript stars:>=50 | text-to-speech language:JavaScript stars:>=50","openai-whisper-talk is a sample voice conversation application powered by OpenAI technologies such as Whisper, Completions, Embeddings, and the latest Text-to-Speech. The application is built using Nuxt, a Javascript framework based on Vue.js."
"alexpinel/Dot","https://github.com/alexpinel/Dot","jparkerweb/semantic-chunking","https://github.com/jparkerweb/semantic-chunking","jparkerweb","JavaScript","138","llm","5","807.34","False","0.0909","0","1","0.4316","1","1","0.3333","topic:embeddings language:JavaScript stars:>=50","🍱 semantic-chunking ⇢ semantically create chunks from large document for passing to LLM workflows"
"alexpinel/Dot","https://github.com/alexpinel/Dot","bennyschmidt/next-token-prediction","https://github.com/bennyschmidt/next-token-prediction","bennyschmidt","JavaScript","143","llm","6","793.53","False","0.0741","0","1","0.4392","1","1","0.3333","topic:embeddings language:JavaScript stars:>=50","Next-token prediction in JavaScript — build fast language and diffusion models."
"alexpinel/Dot","https://github.com/alexpinel/Dot","babycommando/entity-db","https://github.com/babycommando/entity-db","babycommando","JavaScript","290","llm","7","789.6","False","0.04","0","1","0.592","1","1","0.3333","topic:embeddings language:JavaScript stars:>=50","EntityDB is an in-browser vector database wrapping indexedDB and Transformers.js over WebAssembly"
"alexpinel/Dot","https://github.com/alexpinel/Dot","FaustoNisida/Chatbot-Long-Short-Term-Memory","https://github.com/FaustoNisida/Chatbot-Long-Short-Term-Memory","FaustoNisida","JavaScript","164","llm","8","765.37","False","0.037","0","1","0.4688","1","1","0.3333","topic:embeddings language:JavaScript stars:>=50","GPT-3 Chatbot with Long and Short Term Memory and advanced logic built in javascript with openai API - short and long memory, KYC, embeddings, openai, database, flexible, gpt-3.5-turbo, react"
"alexpinel/Dot","https://github.com/alexpinel/Dot","activeloopai/hivemind","https://github.com/activeloopai/hivemind","activeloopai","JavaScript","64","llm","9","754.7","False","0.0645","0","1","0.2665","1","1","0.3333","topic:embeddings language:JavaScript stars:>=50","One brain for all your agents"
"alexpinel/Dot","https://github.com/alexpinel/Dot","zaarheed/transvribe","https://github.com/zaarheed/transvribe","zaarheed","JavaScript","85","llm","10","754.65","False","0.0526","0","1","0.3273","1","1","0.3333","topic:embeddings language:JavaScript stars:>=50",""
"alexpinel/Dot","https://github.com/alexpinel/Dot","intelligentnode/IntelliNode","https://github.com/intelligentnode/IntelliNode","intelligentnode","JavaScript","273","llm","11","753.59","False","0.0303","0","1","0.5789","0.8","1","0.3333","topic:embeddings language:JavaScript stars:>=50","Access the latest AI models like ChatGPT, LLaMA, Deepseek, Diffusion, Hugging face, and beyond through a unified prompt layer and performance evaluation"
"alexpinel/Dot","https://github.com/alexpinel/Dot","Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","Mintplex-Labs","JavaScript","59414","llm","12","750.52","False","0.0625","0","1","0.253","1","1","0.3333","topic:llm stars:>=100","The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration."
"alexpinel/Dot","https://github.com/alexpinel/Dot","aws-samples/amazon-sumerian-hosts","https://github.com/aws-samples/amazon-sumerian-hosts","aws-samples","JavaScript","211","llm","13","741.56","False","0","0","1","0.5232","1","1","0.3333","text-to-speech language:JavaScript stars:>=50","Amazon Sumerian Hosts (Hosts) is an experimental open source project that aims to make it easy to create interactive animated 3D characters for Babylon.js, three.js, and other web 3D frameworks. It leverages AWS services including Amazon Polly (text-to-speech) and Amazon Lex (chatbot)."
"alexpinel/Dot","https://github.com/alexpinel/Dot","dropzone/dropzone","https://github.com/dropzone/dropzone","dropzone","JavaScript","18386","llm","14","738.85","False","0","0","1","0.5077","1","1","0.3333","d language:JavaScript stars:>=50","Dropzone is an easy to use drag'n'drop library. It supports image previews and shows nice progress bars."
"alexpinel/Dot","https://github.com/alexpinel/Dot","Shopify/draggable","https://github.com/Shopify/draggable","Shopify","JavaScript","18452","llm","15","738.71","False","0","0","1","0.5069","1","1","0.3333","d language:JavaScript stars:>=50","The JavaScript Drag & Drop library your grandparents warned you about."
"alexpinel/Dot","https://github.com/alexpinel/Dot","bgstaal/multipleWindow3dScene","https://github.com/bgstaal/multipleWindow3dScene","bgstaal","JavaScript","18988","llm","16","737.62","False","0","0","1","0.5007","1","1","0.3333","d language:JavaScript stars:>=50","A quick example of how one can ""synchronize"" a 3d scene across multiple windows using three.js and localStorage"
"alexpinel/Dot","https://github.com/alexpinel/Dot","albirrkarim/react-speech-highlight-demo","https://github.com/albirrkarim/react-speech-highlight-demo","albirrkarim","JavaScript","188","llm","17","737.2","False","0","0","1","0.4983","1","1","0.3333","text-to-speech language:JavaScript stars:>=50","React / Vanilla JS Text to Speech with highlighting the words and sentences that are being spoken using audio files, text to speech API, and web speech synthesis API"
"alexpinel/Dot","https://github.com/alexpinel/Dot","SortableJS/Vue.Draggable","https://github.com/SortableJS/Vue.Draggable","SortableJS","JavaScript","20615","llm","18","734.5","False","0","0","1","0.4828","1","1","0.3333","d language:JavaScript stars:>=50","Vue drag-and-drop component based on Sortable.js"
"alexpinel/Dot","https://github.com/alexpinel/Dot","bevacqua/dragula","https://github.com/bevacqua/dragula","bevacqua","JavaScript","22184","llm","19","731.71","False","0","0","1","0.4669","1","1","0.3333","d language:JavaScript stars:>=50",":ok_hand: Drag and drop so simple it hurts"
"alexpinel/Dot","https://github.com/alexpinel/Dot","squarecat/doc-buddy","https://github.com/squarecat/doc-buddy","squarecat","JavaScript","173","llm","20","729.06","False","0.05","0","1","0.4803","0.6","1","0.3333","topic:embeddings language:JavaScript stars:>=50","GPT chatbot that will learn documents and instruction manuals uploaded to it"
