"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","171986","llm","1","947.11","True","0.125","0","1","0.7692","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | topic:llm stars:>=100","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","brightdata/brightdata-mcp","https://github.com/brightdata/brightdata-mcp","brightdata","JavaScript","2336","llm","2","896.43","False","0.129","0.0435","1","0.2974","1","1","0.6667","topic:ai-agents language:JavaScript stars:>=50 | all-in-one language:JavaScript stars:>=50","A powerful Model Context Protocol (MCP) server that provides an all-in-one solution for public web access."
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","liyupi/ai-guide","https://github.com/liyupi/ai-guide","liyupi","JavaScript","12936","llm","3","869.93","False","0.1143","0","1","0.669","1","1","0.3333","topic:deepseek language:JavaScript stars:>=50","程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cursor / Claude Code / TRAE / Codex / Copilot）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档，已升级为鱼皮 AI 导航网站"
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","dataease/SQLBot","https://github.com/dataease/SQLBot","dataease","JavaScript","6027","llm","4","850.55","False","0.125","0","1","0.5031","1","1","0.3333","topic:deepseek language:JavaScript stars:>=50","🔥 基于大模型和 RAG 的智能问数系统，对话式数据分析神器。Text-to-SQL Generation via LLMs using RAG."
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","grab/cursor-talk-to-figma-mcp","https://github.com/grab/cursor-talk-to-figma-mcp","grab","JavaScript","6720","llm","5","832.19","False","0.1","0","1","0.5268","1","1","0.3333","topic:ai-agents language:JavaScript stars:>=50","TalkToFigma: MCP integration between AI Agent (Cursor, Claude Code) and Figma, allowing Agentic AI to communicate with Figma for reading designs and modifying them programmatically."
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","papersgpt/papersgpt-for-zotero","https://github.com/papersgpt/papersgpt-for-zotero","papersgpt","JavaScript","2323","llm","6","804.69","False","0.1143","0","1","0.2962","1","1","0.3333","topic:deepseek language:JavaScript stars:>=50","A powerful Zotero AI and MCP plugin with ChatGPT, Gemini 3.1, Claude, DeepSeek V4, Grok, OpenRouter, Kimi 2.5, GLM 5, SiliconFlow, GPT-oss, Gemma 4, Qwen 3.5"
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","ariya/ask-llm","https://github.com/ariya/ask-llm","ariya","JavaScript","76","llm","7","800.69","False","0.1471","0.0667","1","0","0.8","1","0.3333","topic:deepseek language:JavaScript stars:>=50","Interact with any LLM service"
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","u14app/deep-research","https://github.com/u14app/deep-research","u14app","JavaScript","4574","llm","8","794.24","False","0.0741","0","1","0.4433","1","1","0.3333","topic:deepseek language:JavaScript stars:>=50","Use any LLMs (Large Language Models) for Deep Research. Support SSE API and MCP server."
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","pguso/ai-agents-from-scratch","https://github.com/pguso/ai-agents-from-scratch","pguso","JavaScript","3459","llm","9","788.95","False","0.08","0","1","0.3826","1","1","0.3333","topic:ai-agents language:JavaScript stars:>=50","Demystify AI agents by building them yourself. Local LLMs, no black boxes, real understanding of function calling, memory, and ReAct patterns."
"Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","pguso/rag-from-scratch","https://github.com/pguso/rag-from-scratch","pguso","JavaScript","1389","llm","10","786.14","False","0.1154","0","1","0.1846","1","1","0.3333","topic:ai-agents language:JavaScript stars:>=50","Demystify RAG by building it from scratch. Local LLMs, no black boxes - real understanding of embeddings, vector search, retrieval, and context-augmented generation."
