"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","Mintplex-Labs/anything-llm","https://github.com/Mintplex-Labs/anything-llm","Mintplex-Labs","JavaScript","59413","6/4/2023 2:29:14 AM","5/2/2026 6:10:23 PM","ai-agents;custom-ai-agents;deepseek;kimi;llama3;llm;lmstudio;local-llm;localai;mcp;mcp-servers;moonshot;multimodal;no-code;ollama;qwen3;rag;vector-database;web-scraping","llm","1947.56","1","1","1","0.9548","1","0.6","1","1","0","False","topic:llm language:javascript stars:>=1000","The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration."
"2","affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","171986","1/18/2026 12:51:51 AM","5/2/2026 6:24:30 PM","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","llm","1870","1","1","1","1","1","0.2","1","1","0","False","topic:llm language:javascript stars:>=1000","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
"3","alexpinel/Dot","https://github.com/alexpinel/Dot","alexpinel","JavaScript","1904","3/15/2024 3:08:45 PM","4/27/2026 2:16:26 AM","document-chat;embeddings;faiss;langchain;llamacpp;llm;local;phi-3;privategpt;rag;self-hosted;standalone;standalone-app;tts;whisper-cpp","llm","1865.39","1","1","1","0.656","1","0.6","1","1","0","False","topic:llm language:javascript stars:>=1000","Text-To-Speech, RAG, and LLMs. All local!"
"4","RahulSChand/gpu_poor","https://github.com/RahulSChand/gpu_poor","RahulSChand","JavaScript","1399","9/12/2023 10:41:29 AM","4/15/2026 8:33:57 PM","ggml;gpu;huggingface;language-model;llama;llama2;llamacpp;llm;pytorch;quantization","llm","1858.04","1","1","1","0.6292","1","0.6","1","1","0","False","topic:llm language:javascript stars:>=1000","Calculate token/s & GPU memory requirement for any LLM.  Supports llama.cpp/ggml/bnb/QLoRA quantization"
"5","poloclub/transformer-explainer","https://github.com/poloclub/transformer-explainer","poloclub","JavaScript","7252","5/16/2024 9:42:10 PM","5/2/2026 2:13:18 PM","deep-learning;generative-ai;gpt;langauge-model;llm;visualization","llm","1852.33","1","1","1","0.7721","1","0.4","1","1","0","False","topic:llm language:javascript stars:>=1000","Transformer Explained Visually: Learn How LLM Transformer Models Work with Interactive Visualization"
"6","BruceMacD/chatd","https://github.com/BruceMacD/chatd","BruceMacD","JavaScript","1084","10/20/2023 3:25:26 AM","4/28/2026 1:49:37 PM","chat;desktop;electron;llama2;llm;mistral;mistral-7b;ollama;rag","llm","1851.95","1","1","1","0.6071","1","0.6","1","1","0","False","topic:llm language:javascript stars:>=1000","Chat with your documents using local AI"
"7","InternLM/MindSearch","https://github.com/InternLM/MindSearch","InternLM","JavaScript","6847","7/28/2024 3:54:50 AM","5/2/2026 2:09:44 PM","ai-search-engine;gpt;llm;llms;multi-agent-systems;perplexity-ai;search;searchgpt;transformer;web-search","llm","1850.96","1","1","1","0.7671","1","0.4","1","1","0","False","topic:llm language:javascript stars:>=1000","🔍 An LLM-based Multi-agent Framework of Web Search Engine (like Perplexity.ai Pro and SearchGPT)"
"8","grab/cursor-talk-to-figma-mcp","https://github.com/grab/cursor-talk-to-figma-mcp","grab","JavaScript","6720","3/16/2025 4:45:37 PM","5/2/2026 4:59:01 PM","agent;agentic;agentic-ai;ai;ai-agents;automation;cursor;design;figma;generative-ai;llm;llms;mcp;model-context-protocol","llm","1850.51","1","1","1","0.7655","1","0.4","1","1","0","False","topic:llm language:javascript stars:>=1000","TalkToFigma: MCP integration between AI Agent (Cursor, Claude Code) and Figma, allowing Agentic AI to communicate with Figma for reading designs and modifying them programmatically."
"9","dataease/SQLBot","https://github.com/dataease/SQLBot","dataease","JavaScript","6027","4/21/2025 5:33:53 AM","5/2/2026 5:05:51 PM","chatbi;deepseek;llm;nl2sql;rag;sqlbot;text-to-sql;text2sql","llm","1847.91","1","1","1","0.756","1","0.4","1","1","0","False","topic:llm language:javascript stars:>=1000","🔥 基于大模型和 RAG 的智能问数系统，对话式数据分析神器。Text-to-SQL Generation via LLMs using RAG."
"10","brightdata/brightdata-mcp","https://github.com/brightdata/brightdata-mcp","brightdata","JavaScript","2336","4/15/2025 10:55:56 AM","5/1/2026 9:33:04 PM","ai-agents;ai-integrations;anti-bot-detection;browser-automation;data-collection;data-extraction;llm;mcp;mcp-server;modelcontextprotocol;scraping;scraping-tools;structured-data;web-crawling;web-data;web-scraping","llm","1825.28","1","1","1","0.6737","1","0.4","1","1","0","False","topic:llm language:javascript stars:>=1000","A powerful Model Context Protocol (MCP) server that provides an all-in-one solution for public web access."
