"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160181","10/29/2018 1:56:00 PM","5/2/2026 6:13:27 PM","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","llm","2005","1","1","1","1","1","0.8","1","1","0","False","topic:llm language:python stars:>=1000","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"2","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42401","10/25/2016 7:38:30 PM","5/2/2026 3:14:53 PM","data-science;deep-learning;deployment;distributed;hyperparameter-optimization;hyperparameter-search;large-language-models;llm;llm-inference;llm-serving;machine-learning;optimization;parallel;python;pytorch;ray;reinforcement-learning;rllib;serving;tensorflow","llm","1984.51","1","1","1","0.9255","1","0.8","1","1","0","False","topic:llm language:python stars:>=1000","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"3","microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22112","7/23/2019 4:15:28 AM","5/2/2026 11:52:18 AM","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","llm","1968.96","1","1","1","0.8689","1","0.8","1","1","0","False","topic:llm language:python stars:>=1000","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
"4","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21481","3/26/2020 9:23:22 AM","5/2/2026 3:54:32 PM","ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow","llm","1968.26","1","1","1","0.8664","1","0.8","1","1","0","False","topic:llm language:python stars:>=1000","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"5","Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","Significant-Gravitas","Python","183941","3/16/2023 9:21:07 AM","5/2/2026 6:03:19 PM","agentic-ai;agents;ai;artificial-intelligence;autonomous-agents;claude;gpt;llama-api;llm;openai;python","llm","1960","1","1","1","1","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
"6","langchain-ai/langchain","https://github.com/langchain-ai/langchain","langchain-ai","Python","135634","10/17/2022 2:58:36 AM","5/2/2026 6:11:52 PM","agents;ai;ai-agents;anthropic;chatgpt;deepagents;enterprise;framework;gemini;generative-ai;langchain;langgraph;llm;multiagent;open-source;openai;pydantic;python;rag","llm","1960","1","1","1","1","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","The agent engineering platform"
"7","open-webui/open-webui","https://github.com/open-webui/open-webui","open-webui","Python","135218","10/6/2023 10:08:27 PM","5/2/2026 6:12:03 PM","ai;llm;llm-ui;llm-webui;llms;mcp;ollama;ollama-webui;open-webui;openai;openapi;rag;self-hosted;ui;webui","llm","1960","1","1","1","1","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
"8","vllm-project/vllm","https://github.com/vllm-project/vllm","vllm-project","Python","78859","2/9/2023 11:23:20 AM","5/2/2026 5:35:32 PM","amd;blackwell;cuda;deepseek;deepseek-v3;gpt;gpt-oss;inference;kimi;llama;llm;llm-serving;model-serving;moe;openai;pytorch;qwen;qwen3;tpu;transformer","llm","1954.33","1","1","1","0.9794","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","A high-throughput and memory-efficient inference and serving engine for LLMs"
"9","OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72513","3/13/2024 3:33:31 AM","5/2/2026 6:16:06 PM","agent;artificial-intelligence;chatgpt;claude-ai;cli;developer-tools;gpt;llm;openai","llm","1952.32","1","1","1","0.9721","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","🙌 OpenHands: AI-Driven Development"
"10","hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","70844","5/28/2023 10:09:12 AM","5/2/2026 6:00:59 PM","agent;ai;deepseek;fine-tuning;gemma;gpt;instruction-tuning;large-language-models;llama;llama3;llm;lora;moe;nlp;peft;qlora;quantization;qwen;rlhf;transformers","llm","1951.77","1","1","1","0.9701","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)"
"11","unslothai/unsloth","https://github.com/unslothai/unsloth","unslothai","Python","63462","11/29/2023 4:50:09 PM","5/2/2026 5:59:03 PM","agent;deepseek;fine-tuning;gemma;gemma3;gpt-oss;llama;llama3;llm;llms;mistral;openai;qwen;reinforcement-learning;self-hosted;text-to-speech;tts;ui;unsloth","llm","1949.14","1","1","1","0.9605","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","Web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally."
"12","mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54604","6/20/2023 8:58:36 AM","5/2/2026 5:22:42 PM","agents;ai;ai-agents;application;chatbots;chatgpt;genai;llm;long-term-memory;memory;memory-management;python;rag;state-management","llm","1945.55","1","1","1","0.9474","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","Universal memory layer for AI Agents"
"13","run-llama/llama_index","https://github.com/run-llama/llama_index","run-llama","Python","49099","11/2/2022 4:24:54 AM","5/2/2026 6:17:25 PM","agents;application;data;fine-tuning;framework;llamaindex;llm;multi-agents;rag;vector-database","llm","1943.01","1","1","1","0.9382","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","LlamaIndex is the leading document agent and OCR platform"
"14","zhayujie/CowAgent","https://github.com/zhayujie/CowAgent","zhayujie","Python","43972","8/7/2022 8:33:41 AM","5/2/2026 5:55:22 PM","ai;ai-agent;chatgpt-on-wechat;claude;deepseek;dingtalk;feishu-bot;gemini;kimi;linkai;llm;mcp;multi-agent;openai;openclaw;python3;qwen;skills;wechat;weixin","llm","1940.38","1","1","1","0.9286","1","0.6","1","1","0","False","topic:llm language:python stars:>=1000","CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。"
