"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"daimajia/AndroidViewHover","https://github.com/daimajia/AndroidViewHover","daimajia","Java","3260","False","False","8/8/2014 12:04:43 PM","4/25/2026 9:43:12 AM","An elegant way to show your menu or messages.","","h language:Java stars:>=50"
"apache/hertzbeat","https://github.com/apache/hertzbeat","apache","Java","7196","False","False","2/4/2022 2:48:56 PM","5/2/2026 8:18:35 AM","An AI-powered next-generation open source real-time observability system.","agent;ai;alerting;database;grafana;linux;llm;logs;metrics;monitor;monitoring;notifications;observability;prometheus;self-hosted;server;status;status-page;uptime;zabbix","h language:Java stars:>=50"
"zfdang/Android-Touch-Helper","https://github.com/zfdang/Android-Touch-Helper","zfdang","Java","5301","False","False","10/16/2020 12:58:41 AM","5/1/2026 2:03:28 AM","AdSkip — an Android assistant for automatically skipping app launch ads","accessibility;activity;ad;android;auto;click;screen;skip;splash;start;startup","h language:Java stars:>=50"
"rubensousa/GravitySnapHelper","https://github.com/rubensousa/GravitySnapHelper","rubensousa","Java","4995","False","False","8/31/2016 7:25:23 AM","4/14/2026 3:53:29 AM","A SnapHelper that snaps a RecyclerView to an edge.","android;recyclerview;snapping","h language:Java stars:>=50"
"apache/hadoop","https://github.com/apache/hadoop","apache","Java","15536","False","False","8/28/2014 7:00:08 AM","5/2/2026 7:45:09 AM","Apache Hadoop","hadoop","h language:Java stars:>=50"
"datacleaner/DataCleaner","https://github.com/datacleaner/DataCleaner","datacleaner","Java","650","False","False","2/20/2014 8:37:25 PM","4/8/2026 12:13:53 PM","The premier open source Data Quality solution","data;data-analysis;data-science;database;datacleaner;dataquality;desktop;etl;mdm;profiling","topic:data-science language:Java stars:>=50"
"HMCL-dev/HMCL","https://github.com/HMCL-dev/HMCL","HMCL-dev","Java","9185","False","False","6/22/2015 8:06:03 AM","5/2/2026 3:55:05 PM","A Minecraft Launcher which is multi-functional, cross-platform and popular","javafx;minecraft;minecraft-launcher","h language:Java stars:>=50"
"Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19174","False","False","2/18/2022 3:55:45 PM","5/1/2026 2:50:32 PM","Turns Data and AI algorithms into production-ready web applications in no time.","automation;data-engineering;data-integration;data-ops;data-visualization;datascience;developer-tools;hacktoberfest;hacktoberfest2023;job-scheduler;mlops;orchestration;pipeline;pipelines;python;scenario;scenario-analysis;taipy-core;taipy-gui;workflow","topic:mlops stars:>=100"
"CategoricalData/CQL","https://github.com/CategoricalData/CQL","CategoricalData","Java","336","False","False","3/13/2019 4:31:46 AM","5/2/2026 11:49:58 AM","Categorical Query Language IDE","category-theory;cql;data-exchange;data-integration;data-migratation;data-science;etl;functional-programming","topic:data-science language:Java stars:>=50"
"microsoft/HydraLab","https://github.com/microsoft/HydraLab","microsoft","Java","1026","False","False","4/28/2022 9:18:16 AM","4/28/2026 12:22:10 AM","Intelligent cloud testing made easy.","azure;chatgpt;cloud-testing;cross-platform;developer-tools;device-farm;e2e-testing;mobile-development;performance-testing;platform-engineering;spring-boot;test-automation;testgpt;testing;testing-framework;ui-testing","topic:azure language:Java stars:>=50"
"Giskard-AI/giskard-oss","https://github.com/Giskard-AI/giskard-oss","Giskard-AI","Python","5318","False","False","3/6/2022 9:45:37 PM","5/2/2026 1:19:53 PM","🐢 Open-Source Evaluation & Testing library for LLM Agents","agent-evaluation;ai-red-team;ai-security;ai-testing;fairness-ai;llm;llm-eval;llm-evaluation;llm-security;llmops;ml-testing;ml-validation;mlops;rag-evaluation;red-team-tools;responsible-ai;trustworthy-ai","topic:mlops stars:>=100"
"Azure-Samples/agent-openai-java-banking-assistant","https://github.com/Azure-Samples/agent-openai-java-banking-assistant","Azure-Samples","Java","153","False","False","9/11/2024 10:13:54 AM","4/23/2026 1:56:24 PM","Multi-agent banking assistant with Java and Langchain4j","agent;ai-azd-templates;azd-templates;azure;gpt-4o;gpt-4o-mini;java;openai","topic:azure language:Java stars:>=50"
"jenkinsci/azure-vm-agents-plugin","https://github.com/jenkinsci/azure-vm-agents-plugin","jenkinsci","Java","51","False","False","12/5/2016 9:03:04 PM","4/13/2026 2:17:34 AM","This repo is for azure vm agents plugin for jenkins. Azure devops CICD is the team which owns it for now","agent;azure;cloud;hacktoberfest","topic:azure language:Java stars:>=50"
"SeldonIO/seldon-server","https://github.com/SeldonIO/seldon-server","SeldonIO","Java","1479","False","False","2/11/2015 1:49:35 PM","4/14/2026 6:09:16 PM","Machine Learning Platform and Recommendation Engine built on Kubernetes","aws;azure;cloud;deep-learning;deployment;docker;gcp;java;kafka;kafka-streams;kubernetes;machine-learning;microservices;prediction;python;recommendation-engine;recommender-system;seldon;spark;tensorflow","topic:aws language:Java stars:>=50 | topic:azure language:Java stars:>=50"
"aws/serverless-java-container","https://github.com/aws/serverless-java-container","aws","Java","1556","False","False","12/5/2016 8:04:57 PM","4/29/2026 8:31:02 AM","A Java wrapper to run Spring, Spring Boot, Jersey, and other apps inside AWS Lambda.","api;api-gateway;api-server;aws;aws-lambda;jersey;rest-api;serverless;sparkjava;sparkjava-framework;spring","topic:aws language:Java stars:>=50"
"ReChronoRain/HyperCeiler","https://github.com/ReChronoRain/HyperCeiler","ReChronoRain","Java","4753","False","False","10/27/2023 5:17:42 PM","5/2/2026 5:00:42 PM","HyperOS enhancement module - Make HyperOS Great Again!","xposed;xposed-module","h language:Java stars:>=50"
"flyteorg/flyte","https://github.com/flyteorg/flyte","flyteorg","Go","6976","False","False","10/21/2019 5:40:04 PM","5/2/2026 4:06:02 AM","Dynamic, resilient AI orchestration. Coordinate data, models, and compute as you build AI workflows.","agentic;ai-agents;ai-development-tools;data-analysis;data-science;declarative;fine-tuning;flyte;golang;grpc;hacktoberfest;kubernetes;llm;machine-learning;mlops;orchestration-engine;production;python;scale;workflow","topic:mlops stars:>=100"
"kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10860","False","False","4/18/2019 10:29:56 AM","5/2/2026 7:53:46 AM","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.","experiment-tracking;hacktoberfest;kedro;machine-learning;machine-learning-engineering;mlops;pipeline;python","topic:mlops stars:>=100"
"yanzhenjie/NoHttp","https://github.com/yanzhenjie/NoHttp","yanzhenjie","Java","3740","False","False","7/29/2015 6:11:12 AM","4/29/2026 11:55:01 PM",":lemon: Android实现Http标准协议框架，支持多种缓存模式，底层可动态切换OkHttp、URLConnection。","httpurlconnection;nohttp;okhttp;restful","h language:Java stars:>=50"
"emilsjolander/StickyListHeaders","https://github.com/emilsjolander/StickyListHeaders","emilsjolander","Java","5475","False","False","3/11/2012 6:29:18 PM","4/29/2026 5:23:58 PM","An android library for section headers that stick to the top","","h language:Java stars:>=50"
