"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"Netflix/maestro","https://github.com/Netflix/maestro","apache/airflow","https://github.com/apache/airflow","apache","Python","45254","mlops","1","1020.54","True","0.6","0","0","0.4602","1","1","0.3333","topic:mlops stars:>=100","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"Netflix/maestro","https://github.com/Netflix/maestro","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15424","mlops","2","881.44","False","0.4","0","0","0.6939","1","1","0.3333","topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets."
"Netflix/maestro","https://github.com/Netflix/maestro","kestra-io/kestra","https://github.com/kestra-io/kestra","kestra-io","Java","26772","mlops","3","874.62","False","0.1379","0","1","0.5742","1","1","0.3333","topic:automation language:Java stars:>=50","Event Driven Orchestration & Scheduling Platform for Mission Critical Applications"
"Netflix/maestro","https://github.com/Netflix/maestro","smooks/smooks","https://github.com/smooks/smooks","smooks","Java","417","mlops","4","837.87","False","0.1071","0","1","0.5225","1","1","0.3333","topic:analytics language:Java stars:>=50","An extensible Java framework for building event-driven applications that break up XML and non-XML data into chunks for data integration"
"Netflix/maestro","https://github.com/Netflix/maestro","mixpanel/mixpanel-android","https://github.com/mixpanel/mixpanel-android","mixpanel","Java","1044","mlops","5","810.88","False","0.0385","0","1","0.7215","1","1","0.3333","topic:analytics language:Java stars:>=50","Official Android Tracking Library for Mixpanel Analytics"
"Netflix/maestro","https://github.com/Netflix/maestro","DerekYRC/mini-spring","https://github.com/DerekYRC/mini-spring","DerekYRC","Java","6357","mlops","6","805.12","False","0","0","1","0.8864","1","1","0.3333","m language:Java stars:>=50","mini-spring is a simplified version of the Spring framework that helps you quickly familiarize yourself with Spring source code and master Spring's core principles. It extracts Spring's core logic with extremely simplified code while preserving Spring's core functionality."
"Netflix/maestro","https://github.com/Netflix/maestro","orhanobut/tracklytics","https://github.com/orhanobut/tracklytics","orhanobut","Java","429","mlops","7","753.52","False","0.04","0","1","0.5287","0.8","1","0.3333","topic:analytics language:Java stars:>=50","✔️ Annotation based tracking handler with aspect oriented programming"
"Netflix/maestro","https://github.com/Netflix/maestro","matomo-org/matomo-java-tracker","https://github.com/matomo-org/matomo-java-tracker","matomo-org","Java","79","mlops","8","728.61","False","0.0556","0","1","0.1635","1","1","0.3333","topic:analytics language:Java stars:>=50","Official Java implementation of the Matomo Tracking HTTP API."
"Netflix/maestro","https://github.com/Netflix/maestro","argoproj/argo-workflows","https://github.com/argoproj/argo-workflows","argoproj","Go","16655","mlops","9","721.75","False","0.2258","0","0","0.6773","1","1","0.3333","topic:mlops stars:>=100","Workflow Engine for Kubernetes"
"Netflix/maestro","https://github.com/Netflix/maestro","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6996","mlops","10","689.94","False","0.1538","0","0","0.8656","1","1","0.3333","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"Netflix/maestro","https://github.com/Netflix/maestro","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19174","mlops","11","671.99","False","0.1765","0","0","0.6467","1","1","0.3333","topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time."
"Netflix/maestro","https://github.com/Netflix/maestro","iflytek/astron-agent","https://github.com/iflytek/astron-agent","iflytek","Java","8836","llm","12","654.7","False","0.0968","0","1","0.8149","1","0","0.3333","topic:agentic-workflow language:Java stars:>=50","Enterprise-grade, commercial-friendly agentic workflow platform for building next-generation SuperAgents."
"Netflix/maestro","https://github.com/Netflix/maestro","ModelEngine-Group/app-platform","https://github.com/ModelEngine-Group/app-platform","ModelEngine-Group","Java","1433","reinforcement","13","638.29","False","0.0833","0","1","0.7902","1","0","0.3333","topic:agentic-workflow language:Java stars:>=50","AppPlatform 是一个前沿的大模型应用工程，旨在通过集成的声明式编程和低代码配置工具，简化和优化大模型的训练与推理应用的开发过程。本工程为软件工程师和产品经理提供一个强大的、可扩展的环境，以支持从概念到部署的全流程 AI 应用开发。"
"Netflix/maestro","https://github.com/Netflix/maestro","SeldonIO/seldon-core","https://github.com/SeldonIO/seldon-core","SeldonIO","Go","4746","mlops","14","635.45","False","0.0769","0","0","0.9498","1","1","0.3333","topic:mlops stars:>=100","An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models"
"Netflix/maestro","https://github.com/Netflix/maestro","hamibot/hamibot","https://github.com/hamibot/hamibot","hamibot","Java","3056","","15","631.18","False","0.0435","0","1","0.9546","1","0","0.3333","topic:automation language:Java stars:>=50","安卓平台自动化工具，无需 root。"
"Netflix/maestro","https://github.com/Netflix/maestro","trinodb/trino","https://github.com/trinodb/trino","trinodb","Java","12775","data-science","16","628.6","False","0.0833","0","1","0.7349","1","0","0.3333","topic:analytics language:Java stars:>=50","Official repository of Trino, the distributed SQL query engine for big data, formerly known as PrestoSQL (https://trino.io)"
"Netflix/maestro","https://github.com/Netflix/maestro","opensearch-project/OpenSearch","https://github.com/opensearch-project/OpenSearch","opensearch-project","Java","12850","","17","628.38","False","0.0833","0","1","0.7336","1","0","0.3333","topic:analytics language:Java stars:>=50","🔎 Open source distributed and RESTful search engine."
"Netflix/maestro","https://github.com/Netflix/maestro","appium/java-client","https://github.com/appium/java-client","appium","Java","1282","","18","625.73","False","0.0741","0","1","0.7661","1","0","0.3333","topic:automation language:Java stars:>=50","Java language binding for writing Appium Tests, conforms to W3C WebDriver Protocol"
"Netflix/maestro","https://github.com/Netflix/maestro","prolificinteractive/material-calendarview","https://github.com/prolificinteractive/material-calendarview","prolificinteractive","Java","5918","","19","621.97","False","0.0435","0","1","0.9019","1","0","0.3333","m language:Java stars:>=50","A Material design back port of Android's CalendarView"
"Netflix/maestro","https://github.com/Netflix/maestro","SuperMonster003/AutoJs6","https://github.com/SuperMonster003/AutoJs6","SuperMonster003","Java","5763","","20","619.85","False","0.04","0","1","0.9077","1","0","0.3333","topic:automation language:Java stars:>=50","安卓平台 JavaScript 自动化工具 (Auto.js 二次开发项目)"
"Netflix/maestro","https://github.com/Netflix/maestro","crate/crate","https://github.com/crate/crate","crate","Java","4389","","21","617.27","False","0.0256","0","1","0.9668","1","0","0.3333","topic:analytics language:Java stars:>=50","CrateDB is a distributed and scalable SQL database for storing and analyzing massive amounts of data in near real-time, even with complex queries. It is PostgreSQL-compatible, and based on Lucene."
"Netflix/maestro","https://github.com/Netflix/maestro","micronaut-projects/micronaut-core","https://github.com/micronaut-projects/micronaut-core","micronaut-projects","Java","6402","reinforcement","22","615.85","False","0.04","0","1","0.8849","1","0","0.3333","m language:Java stars:>=50","Micronaut Application Framework"
"Netflix/maestro","https://github.com/Netflix/maestro","alipay/SoloPi","https://github.com/alipay/SoloPi","alipay","Java","6165","","23","613.43","False","0.0357","0","1","0.8931","1","0","0.3333","topic:automation language:Java stars:>=50","SoloPi 自动化测试工具"
"Netflix/maestro","https://github.com/Netflix/maestro","jagrosh/MusicBot","https://github.com/jagrosh/MusicBot","jagrosh","Java","5736","","24","613.06","False","0.0323","0","1","0.9087","1","0","0.3333","m language:Java stars:>=50","🎶 A Discord music bot that's easy to set up and run yourself!"
"Netflix/maestro","https://github.com/Netflix/maestro","MinecraftForge/MinecraftForge","https://github.com/MinecraftForge/MinecraftForge","MinecraftForge","Java","7600","","25","612.46","False","0.0435","0","1","0.8476","1","0","0.3333","m language:Java stars:>=50","Modifications to the Minecraft base files to assist in compatibility between mods. New Discord: https://discord.minecraftforge.net/"
"Netflix/maestro","https://github.com/Netflix/maestro","iflytek/astron-rpa","https://github.com/iflytek/astron-rpa","iflytek","Java","5878","llm","26","612.13","False","0.0323","0","1","0.9034","1","0","0.3333","topic:automation language:Java stars:>=50","Agent-ready RPA suite with out-of-the-box automation tools. Built for individuals and enterprises."
"Netflix/maestro","https://github.com/Netflix/maestro","bytechefhq/bytechef","https://github.com/bytechefhq/bytechef","bytechefhq","Java","754","llm","27","611.88","False","0.0811","0","1","0.6509","1","0","0.3333","topic:automation language:Java stars:>=50","Open-source, AI-native, low-code platform for API orchestration, workflow automation, and AI agent integration across internal systems and SaaS products."
"Netflix/maestro","https://github.com/Netflix/maestro","repeats/Repeat","https://github.com/repeats/Repeat","repeats","Java","1101","","28","611.35","False","0.0645","0","1","0.733","1","0","0.3333","topic:automation language:Java stars:>=50","Cross-platform mouse/keyboard record/replay and automation hotkeys/macros creation, and more advanced automation features."
"Netflix/maestro","https://github.com/Netflix/maestro","dropwizard/metrics","https://github.com/dropwizard/metrics","dropwizard","Java","7849","","29","611.24","False","0.0435","0","1","0.8406","1","0","0.3333","m language:Java stars:>=50",":chart_with_upwards_trend: Capturing JVM- and application-level metrics. So you know what's going on."
"Netflix/maestro","https://github.com/Netflix/maestro","torodb/stampede","https://github.com/torodb/stampede","torodb","Java","1756","editor","30","608.51","False","0.0417","0","1","0.8343","1","0","0.3333","topic:analytics language:Java stars:>=50","The ToroDB solution to provide better analytics on top of MongoDB and make it easier to migrate from MongoDB to SQL "
