"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"railsjazz/rails_charts","https://github.com/railsjazz/rails_charts","railsjazz","JavaScript","358","False","False","4/19/2022 7:20:56 PM","4/24/2026 2:05:44 PM","Rails Charts using eCharts from Apache","charts;rails","topic:charts language:JavaScript stars:>=50"
"mescon/Muximux","https://github.com/mescon/Muximux","mescon","JavaScript","1177","False","False","1/7/2016 7:36:09 AM","5/1/2026 5:08:21 AM","A self-hosted homelab dashboard with an optional built-in reverse proxy that makes stubborn apps work in iframes","caddy;dashboard;docker;golang;grafana;health-monitoring;homelab;htpc;iframe;plex;radarr;reverse-proxy;self-hosted;sonarr;svelte","topic:dashboard language:JavaScript stars:>=50"
"realopslabs/kubeledger","https://github.com/realopslabs/kubeledger","realopslabs","JavaScript","478","False","False","1/12/2019 10:14:46 PM","4/30/2026 7:42:30 AM","The System of Record for Kubernetes Accounting. Tracks CPU/RAM/GPU usage per namespace. Reveals hidden overhead. Get Insights for cost optimization. (Formerly Kube-Opex-Analytics).","accounting;cost-optimization;finops;gpu;greenops;kubernetes;monitoring;observability;rrdtool","gpu language:JavaScript stars:>=50"
"antvis/F2","https://github.com/antvis/F2","antvis","JavaScript","7988","False","False","8/29/2016 6:26:23 AM","5/2/2026 3:49:12 PM","📱📈An elegant, interactive and flexible charting library for mobile.","antv;charts;data-visualisation;data-visualization;f2;grammar;html5-canvas;mobile;visualization","topic:charts language:JavaScript stars:>=50"
"sghall/resonance","https://github.com/sghall/resonance","sghall","JavaScript","999","False","False","1/16/2017 7:17:46 AM","4/18/2026 5:04:59 AM",":black_medium_small_square:Resonance | 5kb React animation library","animation;charts;d3;data;data-driven-transitions;graph;react;svg;visualization","topic:charts language:JavaScript stars:>=50"
"BoostIO/BoostNote-Legacy","https://github.com/BoostIO/BoostNote-Legacy","BoostIO","JavaScript","16939","False","False","3/6/2016 5:06:07 PM","4/30/2026 4:52:52 PM","This repository is outdated and new Boost Note app is available! We've launched a new Boost Note app which supports real-time collaborative writing. https://github.com/BoostIO/BoostNote-App","electron;linux;macos;open-source;react;stylus;windows","real-time language:JavaScript stars:>=50"
"OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72512","False","False","3/13/2024 3:33:31 AM","5/2/2026 4:53:51 PM","🙌 OpenHands: AI-Driven Development","agent;artificial-intelligence;chatgpt;claude-ai;cli;developer-tools;gpt;llm;openai","topic:llm stars:>=100"
"baidu/NoahV","https://github.com/baidu/NoahV","baidu","JavaScript","631","False","False","3/7/2019 9:54:59 AM","4/14/2026 12:54:55 AM","An efficient front-end application framework based on vue.js","aiops;dashboard;devops;efficient;framework;monitor;noahv;scaffold;template;visualization;vue;vuejs","topic:dashboard language:JavaScript stars:>=50"
"gpujs/gpu.js","https://github.com/gpujs/gpu.js","gpujs","JavaScript","15368","False","False","2/9/2016 9:13:37 AM","4/30/2026 3:57:52 AM","GPU Accelerated JavaScript","glsl;gpgpu;gpu;javascript;math;nodejs;webgl","gpu language:JavaScript stars:>=50"
"highoncarbs/Hafta","https://github.com/highoncarbs/Hafta","highoncarbs","JavaScript","142","False","False","11/28/2018 7:33:25 AM","4/5/2026 11:24:38 AM","💸  Settle payrolls faster with Hafta.","attendance;attendance-management;attendance-system;bulma;business;business-intelligence;business-solutions;business-systems;charts;employee-management;employee-management-system;flask;hr;hrm;manufactoring;payroll;payroll-management-system;payroll-processing;python;vue","topic:charts language:JavaScript stars:>=50"
