"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"weiji14/zen3geo","https://github.com/weiji14/zen3geo","weiji14","Python","85","False","False","6/4/2022 2:11:39 AM","3/29/2026 6:27:22 PM","The 🌏 data science library you've been waiting for~","analysis-ready-data;cloud-native;cloud-optimized-geotiff;composition;data-science;datapipe;earth-observation;foss4g;geospatial;machine-learning-ready-data;stac;torch;torchdata;zarr;zen","topic:cloud-native language:Python stars:>=50"
"scrapy/scrapy","https://github.com/scrapy/scrapy","scrapy","Python","61527","False","False","2/22/2010 2:01:14 AM","5/2/2026 4:53:45 PM","Scrapy, a fast high-level web crawling & scraping framework for Python.","crawler;crawling;framework;hacktoberfest;python;scraping;web-scraping;web-scraping-python","s language:Python stars:>=50"
"taylanbakircioglu/haproxy-openmanager","https://github.com/taylanbakircioglu/haproxy-openmanager","taylanbakircioglu","Python","188","False","False","10/24/2025 3:28:23 PM","5/1/2026 5:13:46 PM","Centralized HAProxy management, monitoring, and configuration platform for multi-cluster environments","acme;certificate-management;cloud-native;devops;haproxy;haproxy-configuration;haproxy-management;haproxy-ui;high-availability;keepalived;kubernetes;lets-encrypt;load-balancer;monitoring;multi-cluster;openshift;proxy;reverse-proxy;ssl-termination;tls","topic:cloud-native language:Python stars:>=50"
"Fosowl/agenticSeek","https://github.com/Fosowl/agenticSeek","Fosowl","Python","26159","False","False","2/19/2025 6:03:06 PM","5/2/2026 5:12:23 PM","Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)","agentic-ai;agents;ai;autonomous-agents;deepseek-r1;llm;llm-agents;voice-assistant","s language:Python stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160178","False","False","10/29/2018 1:56:00 PM","5/2/2026 5:19:18 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:deep-learning language:Python stars:>=50 | topic:llm stars:>=100"
"hpcaitech/Open-Sora","https://github.com/hpcaitech/Open-Sora","hpcaitech","Python","28926","False","False","2/20/2024 3:01:34 AM","5/2/2026 4:27:32 PM","Open-Sora: Democratizing Efficient Video Production for All","","s language:Python stars:>=50"
"argoproj-labs/hera","https://github.com/argoproj-labs/hera","argoproj-labs","Python","896","False","False","10/4/2021 3:44:47 PM","4/25/2026 3:40:44 PM","Hera makes Python code easy to orchestrate on Argo Workflows through native Python integrations. It lets you construct and submit your Workflows entirely in Python. ⭐️ Remember to star!","argo;argo-events;argo-workflows;cloud-native;hera;kubernetes;library;machine-learning;pypi;python;sdk;workflow-automation;workflow-management;workflows","topic:cloud-native language:Python stars:>=50"
"spotDL/spotify-downloader","https://github.com/spotDL/spotify-downloader","spotDL","Python","24617","False","False","7/6/2016 6:19:20 PM","5/2/2026 4:17:40 PM","Download your Spotify playlists and songs along with album art and metadata (from YouTube if a match is found).","download-music;hacktoberfest;mp3;music;playlists;python;song;song-lyrics;spotdl;spotdl-cli;spotify;youtube-music","s language:Python stars:>=50"
"terrytangyuan/distributed-ml-patterns","https://github.com/terrytangyuan/distributed-ml-patterns","terrytangyuan","Python","501","False","False","1/15/2021 7:51:37 PM","4/22/2026 11:11:50 AM","Distributed Machine Learning Patterns from Manning Publications by Yuan Tang https://bit.ly/2RKv8Zo","argo;argo-workflows;book;cloud-computing;cloud-native;data-science;devops;distributed-machine-learning;distributed-systems;kubeflow;kubernetes;large-scale-machine-learning;machine-learning;machine-learning-pipelines;manning-publications;mlops;python;tensorflow","topic:cloud-native language:Python stars:>=50"
"MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50760","False","False","4/5/2026 1:12:07 AM","5/2/2026 5:19:20 PM","The best-benchmarked open-source AI memory system. And it's free.","ai;chromadb;llm;mcp;memory;python","s language:Python stars:>=50 | topic:llm stars:>=100"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38292","False","False","11/28/2022 2:08:44 PM","5/2/2026 4:26:53 PM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:deep-learning language:Python stars:>=50 | s language:Python stars:>=50"
