"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","apache/airflow","https://github.com/apache/airflow","apache","Python","45254","4/13/2015 6:04:58 PM","5/2/2026 3:59:16 PM","airflow;apache;apache-airflow;automation;dag;data-engineering;data-integration;data-orchestrator;data-pipelines;data-science;elt;etl;machine-learning;mlops;orchestration;python;scheduler;workflow;workflow-engine;workflow-orchestration","mlops","2031.06","1","1","1","0.9311","1","1","1","1","0","False","topic:mlops language:python stars:>=1000","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"2","jina-ai/serve","https://github.com/jina-ai/serve","jina-ai","Python","21873","2/13/2020 5:04:44 PM","5/2/2026 4:19:05 PM","cloud-native;cncf;deep-learning;docker;fastapi;framework;generative-ai;grpc;jaeger;kubernetes;llmops;machine-learning;microservice;mlops;multimodal;neural-search;opentelemetry;orchestration;pipeline;prometheus","llm","1968.7","1","1","1","0.868","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","☁️ Build multimodal AI applications with cloud-native stack"
"3","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15424","4/30/2018 4:30:04 PM","5/2/2026 5:11:59 PM","analytics;dagster;data-engineering;data-integration;data-orchestrator;data-pipelines;data-science;etl;metadata;mlops;orchestration;python;scheduler;workflow;workflow-automation","mlops","1960.35","1","1","1","0.8376","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","An orchestration platform for the development, production, and observation of data assets."
"4","great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","great-expectations","Python","11458","9/11/2017 12:18:46 AM","5/2/2026 3:43:26 PM","cleandata;data-engineering;data-profilers;data-profiling;data-quality;data-science;data-unit-tests;datacleaner;datacleaning;dataquality;dataunittest;eda;exploratory-analysis;exploratory-data-analysis;exploratorydataanalysis;mlops;pipeline;pipeline-debt;pipeline-testing;pipeline-tests","mlops","1953.25","1","1","1","0.8118","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","Always know what to expect from your data."
"5","wandb/wandb","https://github.com/wandb/wandb","wandb","Python","11040","3/24/2017 5:46:23 AM","5/2/2026 9:01:07 AM","ai;collaboration;data-science;data-versioning;deep-learning;experiment-track;hyperparameter-optimization;hyperparameter-search;hyperparameter-tuning;jax;keras;machine-learning;ml-platform;mlops;model-versioning;pytorch;reinforcement-learning;reproducibility;tensorflow","deep-learning","1952.37","1","1","1","0.8086","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production."
"6","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10860","4/18/2019 10:29:56 AM","5/2/2026 7:53:46 AM","experiment-tracking;hacktoberfest;kedro;machine-learning;machine-learning-engineering;mlops;pipeline;python","mlops","1951.97","1","1","1","0.8072","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular."
"7","Netflix/metaflow","https://github.com/Netflix/metaflow","Netflix","Python","10071","9/17/2019 5:48:25 PM","5/2/2026 7:55:12 AM","agents;ai;aws;azure;cost-optimization;datascience;distributed-training;gcp;generative-ai;high-performance-computing;kubernetes;llm;llmops;machine-learning;ml;ml-infrastructure;ml-platform;mlops;model-management;python","llm","1950.17","1","1","1","0.8006","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","Build, Manage and Deploy AI/ML Systems"
"8","pycaret/pycaret","https://github.com/pycaret/pycaret","pycaret","Python","9754","11/23/2019 6:40:48 PM","5/2/2026 9:16:05 AM","anomaly-detection;automl;classification;clustering;data-science;fastapi;machine-learning;ml;mlops;open-source;pycaret;python;react;regression;scikit-learn","computer-vision","1949.41","1","1","1","0.7978","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","Open-source, low-code AutoML platform for Python. PyCaret 4.0: sklearn-native engine + React control plane."
"9","bentoml/BentoML","https://github.com/bentoml/BentoML","bentoml","Python","8620","4/2/2019 1:39:27 AM","5/1/2026 1:46:28 PM","ai-inference;deep-learning;generative-ai;inference-platform;llm;llm-inference;llm-serving;llmops;machine-learning;ml-engineering;mlops;model-inference-service;model-serving;multimodal;python","llm","1946.46","1","1","1","0.7871","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!"
"10","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6996","12/10/2018 7:20:15 AM","5/2/2026 5:35:56 AM","big-data;data-engineering;data-quality;data-science;feature-store;features;machine-learning;ml;mlops;python","mlops","1941.47","1","1","1","0.769","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","The Open Source Feature Store for AI/ML"
"11","clearml/clearml","https://github.com/clearml/clearml","clearml","Python","6655","6/10/2019 8:18:32 AM","5/2/2026 6:15:13 PM","ai;clearml;control;deep-learning;deeplearning;devops;experiment;experiment-manager;k8s;machine-learning;machinelearning;mlops;trains;trainsai;version;version-control","llm","1940.28","1","1","1","0.7646","1","0.8","1","1","0","False","topic:mlops language:python stars:>=1000","ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution"
