"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","haifengl/smile","https://github.com/haifengl/smile","haifengl","Java","6368","11/20/2014 4:28:12 PM","5/1/2026 6:16:29 PM","classification;clustering;computer-algebra-system;computer-vision;data-science;dataframe;deep-learning;genetic-algorithm;interpolation;linear-algebra;llm;machine-learning;manifold-learning;multidimensional-scaling;nearest-neighbor-search;nlp;regression;statistics;visualization;wavelet","llm","1984.22","1","1","1","0.7608","1","1","1","1","0","False","topic:nlp language:java stars:>=1000","Statistical Machine Intelligence & Learning Engine"
"2","datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","datumbox","Java","1085","10/18/2014 6:10:08 PM","4/13/2026 11:31:09 PM","big-data;data-science;java;machine-learning;nlp;statistics","nlp","1941.97","1","1","1","0.6072","1","1","1","1","0","False","topic:nlp language:java stars:>=1000","Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications."
"3","houbb/sensitive-word","https://github.com/houbb/sensitive-word","houbb","Java","5802","1/7/2020 3:10:44 AM","5/2/2026 8:24:18 AM","dfa;dirty-word;filter;java;nlp;pinyin;search;sensitive;sensitive-word;sensitive-word-filter;string-matching;textfliter;trie-tree","nlp","1937","1","1","1","0.7527","1","0.8","1","1","0","False","topic:nlp language:java stars:>=1000"," 👮‍♂️The sensitive word tool for java.(敏感词/违禁词/违法词/脏词。基于 DFA 算法实现的高性能 java 敏感词过滤工具框架。内置支持单词标签分类分级。请勿发布涉及政治、广告、营销、翻墙、违反国家法律法规等内容。高性能敏感词检测过滤组件，附带繁体简体互换，支持全角半角互换，汉字转拼音，模糊搜索等功能。)"
"4","stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","stanfordnlp","Java","10070","6/27/2013 9:13:49 PM","5/1/2026 7:40:06 PM","named-entity-recognition;natural-language-processing;nlp;nlp-parsing;stanford-nlp","computer-vision","1920.17","0.8333","1","1","0.8006","1","1","1","1","0","False","topic:nlp language:java stars:>=1000","CoreNLP: A Java suite of core NLP tools for tokenization, sentence segmentation, NER, parsing, coreference, sentiment analysis, etc."
"5","oracle/tribuo","https://github.com/oracle/tribuo","oracle","Java","1409","6/16/2020 9:59:48 AM","4/29/2026 8:40:44 PM","classification;clustering;deep-learning;java;machine-learning;ml;nlp;regression","deep-learning","1903.21","1","1","1","0.6298","1","0.8","1","1","0","False","topic:nlp language:java stars:>=1000","Tribuo - A Java machine learning library"
"6","shibing624/similarity","https://github.com/shibing624/similarity","shibing624","Java","1576","11/9/2016 2:02:01 AM","4/24/2026 9:39:51 AM","java;nlp;semantic;sentiment;sim-scores;similarity","nlp","1882.96","1","1","1","0.6396","1","0.8","0.9167","1","0","False","topic:nlp language:java stars:>=1000","similarity: Text similarity calculation Toolkit for Java. 文本相似度计算工具包，java编写，可用于文本相似度计算、情感分析等任务，开箱即用。"
"7","NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","NLPchina","Java","6533","9/5/2012 5:56:24 AM","4/29/2026 9:40:27 AM","ansj;chinese;java;nlp","nlp","1743.17","0.6667","1","1","0.763","1","1","0.6667","1","0","False","topic:nlp language:java stars:>=1000","ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典"
"8","ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp","ahmetaa","Java","1323","6/3/2013 6:04:14 AM","5/1/2026 8:50:34 PM","language;morphology;nlp;turkish;zemberek-nlp","nlp","1695.87","0.8333","0.6","1","0.6244","1","1","0.8333","1","0","False","topic:nlp language:java stars:>=1000","NLP tools for Turkish."
"9","apache/opennlp","https://github.com/apache/opennlp","apache","Java","1591","11/9/2011 8:00:09 AM","5/2/2026 2:58:49 PM","apache;compling;languagetechnology;nlp;opennlp;textprocessing","nlp","1622.36","1","0.2","1","0.6404","1","1","0.75","1","0","False","topic:nlp language:java stars:>=1000","Apache OpenNLP"
"10","NLPchina/nlp-lang","https://github.com/NLPchina/nlp-lang","NLPchina","Java","1513","3/30/2014 1:38:45 PM","4/24/2026 7:04:43 AM","java;nlp;nlp-lang;tire","nlp","1555.32","0.6667","0.6","1","0.636","1","1","0.5833","1","0","False","topic:nlp language:java stars:>=1000","这个项目是一个基本包.封装了大多数nlp项目中常用工具"
