"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"xkcoding/spring-boot-demo","https://github.com/xkcoding/spring-boot-demo","xkcoding","Java","34100","False","False","11/10/2017 6:27:29 AM","5/2/2026 2:18:56 PM","🚀一个用来深入学习并实战 Spring Boot 的项目。","demo;in-action;java;spring;spring-boot;spring-boot-2;spring-boot-demo;web;xkcoding","s language:Java stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","171981","False","False","1/18/2026 12:51:51 AM","5/2/2026 5:38:43 PM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"cansik/deep-vision-processing","https://github.com/cansik/deep-vision-processing","cansik","Java","104","False","False","2/23/2020 10:57:12 AM","3/12/2026 4:54:48 AM","Deep computer-vision algorithms for the Processing framework.","classification;computer-vision;cuda-support;deep-neural-networks;inference-engine;machine-learning;pose-estimation;processing","topic:classification language:Java stars:>=50"
"IHTSDO/snomed-owl-toolkit","https://github.com/IHTSDO/snomed-owl-toolkit","IHTSDO","Java","107","False","False","2/6/2018 2:30:22 PM","4/27/2026 9:54:45 AM","The official SNOMED CT OWL Toolkit. OWL conversion, classification and authoring support.","classification;java;owl-ontology;snomed-ct","topic:classification language:Java stars:>=50"
"perwendel/spark","https://github.com/perwendel/spark","perwendel","Java","9662","False","False","5/5/2011 11:52:05 AM","4/21/2026 12:04:55 PM","A simple expressive web framework for java. Spark has a kotlin DSL https://github.com/perwendel/spark-kotlin","","s language:Java stars:>=50"
"open-webui/open-webui","https://github.com/open-webui/open-webui","open-webui","Python","135215","False","False","10/6/2023 10:08:27 PM","5/2/2026 5:40:51 PM","User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","ai;llm;llm-ui;llm-webui;llms;mcp;ollama;ollama-webui;open-webui;openai;openapi;rag;self-hosted;ui;webui","topic:llm stars:>=100"
"ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42401","False","False","10/25/2016 7:38:30 PM","5/2/2026 3:14:53 PM","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.","data-science;deep-learning;deployment;distributed;hyperparameter-optimization;hyperparameter-search;large-language-models;llm;llm-inference;llm-serving;machine-learning;optimization;parallel;python;pytorch;ray;reinforcement-learning;rllib;serving;tensorflow","topic:llm stars:>=100"
"codecentric/spring-boot-admin","https://github.com/codecentric/spring-boot-admin","codecentric","Java","12829","False","False","7/25/2014 11:39:13 AM","5/2/2026 1:24:57 PM","Admin UI for administration of spring boot applications","java;spring;spring-boot;spring-boot-admin;spring-cloud","s language:Java stars:>=50"
"Tencent/VasSonic","https://github.com/Tencent/VasSonic","Tencent","Java","11870","False","False","8/1/2017 8:35:13 AM","4/29/2026 5:20:54 PM","VasSonic is a lightweight and high-performance Hybrid framework developed by tencent VAS team, which is intended to speed up the first screen of websites working on Android and iOS platform. ","android-sdk;h5;hybrid;ios-sdk;web;webview","s language:Java stars:>=50"
"LuckSiege/PictureSelector","https://github.com/LuckSiege/PictureSelector","LuckSiege","Java","13594","False","False","1/4/2017 7:47:39 AM","5/1/2026 4:42:43 AM","Picture Selector Library for Android or 图片选择器","android;android-image-selector;camera;compress;glide;image-compression;image-picker;images;multi-selector;photo;photoview;picker;picture-selector;video","s language:Java stars:>=50"
"sharewire/google-maps-clustering","https://github.com/sharewire/google-maps-clustering","sharewire","Java","293","False","False","11/12/2017 7:58:11 PM","3/10/2026 9:29:23 AM","Fast marker clustering library for Google Maps Android API.","android;clustering;google-maps","topic:clustering language:Java stars:>=50"
"openmainframeproject/ade","https://github.com/openmainframeproject/ade","openmainframeproject","Java","91","False","False","2/17/2016 7:42:39 PM","3/20/2026 2:36:23 PM","ADE detects anomalous time slices and messages in Linux logs (either RFC3164 or RFC5424 format) using statistical learning. ","","statistical language:Java stars:>=50"
"JeffLi1993/springboot-learning-example","https://github.com/JeffLi1993/springboot-learning-example","JeffLi1993","Java","16579","False","False","2/6/2017 7:02:25 AM","5/2/2026 5:20:34 AM","spring boot 实践学习案例，是 spring boot 初学者及核心技术巩固的最佳实践。","dubbo;elasticsearch;jpa;mybatis;redis;springboot;webflux","s language:Java stars:>=50"
"alibaba/Sentinel","https://github.com/alibaba/Sentinel","alibaba","Java","23101","False","False","4/4/2018 6:37:33 AM","5/2/2026 11:08:54 AM","A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)","alibaba;circuit-breaker;cloud-native;java;microservice;microservices;rate-limiting;reliability;resiliency","s language:Java stars:>=50"
"firecrawl/firecrawl","https://github.com/firecrawl/firecrawl","firecrawl","TypeScript","114134","False","False","4/15/2024 9:02:29 PM","5/2/2026 5:41:32 PM","🔥 The API to search, scrape, and interact with the web for AI","ai;ai-agents;ai-crawler;ai-scraping;ai-search;crawler;data-extraction;html-to-markdown;llm;markdown;scraper;scraping;web-crawler;web-data;web-data-extraction;web-scraper;web-scraping;web-search;webscraping","topic:llm stars:>=100"
"spring-projects/spring-security","https://github.com/spring-projects/spring-security","spring-projects","Java","9500","False","False","1/10/2012 9:50:57 PM","5/1/2026 10:17:34 AM","Spring Security","framework;java;security;spring;spring-framework","s language:Java stars:>=50"
"seaswalker/spring-analysis","https://github.com/seaswalker/spring-analysis","seaswalker","Java","13758","False","False","9/9/2016 7:46:32 AM","5/2/2026 11:25:08 AM","Spring源码阅读","notes;source-code-analysis;spring","s language:Java stars:>=50"
"JuliusBrussee/caveman","https://github.com/JuliusBrussee/caveman","JuliusBrussee","Python","52391","False","False","4/4/2026 10:03:00 AM","5/2/2026 5:41:54 PM","🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman","ai;anthropic;caveman;claude;claude-code;llm;meme;prompt-engineering;skill;tokens","topic:llm stars:>=100"
"ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33669","False","False","1/10/2026 6:43:20 AM","5/2/2026 5:38:30 PM","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets.","agent;ai;aigc;gemini;llm;quant;quantitative-trading;rag;stock","topic:llm stars:>=100"
"sansan0/TrendRadar","https://github.com/sansan0/TrendRadar","sansan0","Python","56040","False","False","4/28/2025 11:42:16 AM","5/2/2026 4:43:50 PM","⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。","ai;bark;data-analysis;docker;hot-news;llm;mail;mcp;mcp-server;news;ntfy;python;rss;trending-topics;wechat;wework","topic:llm stars:>=100"
"SWIMProjectUCB/SWIM","https://github.com/SWIMProjectUCB/SWIM","SWIMProjectUCB","Java","128","False","False","6/2/2011 1:55:19 PM","3/8/2026 6:14:09 PM","Statistical Workload Injector for MapReduce - Project at UC Berkeley AMP Lab","","statistical language:Java stars:>=50"
"mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54604","False","False","6/20/2023 8:58:36 AM","5/2/2026 5:22:42 PM","Universal memory layer for AI Agents","agents;ai;ai-agents;application;chatbots;chatgpt;genai;llm;long-term-memory;memory;memory-management;python;rag;state-management","topic:llm stars:>=100"
"MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50761","False","False","4/5/2026 1:12:07 AM","5/2/2026 5:28:48 PM","The best-benchmarked open-source AI memory system. And it's free.","ai;chromadb;llm;mcp;memory;python","topic:llm stars:>=100"
"OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72512","False","False","3/13/2024 3:33:31 AM","5/2/2026 4:53:51 PM","🙌 OpenHands: AI-Driven Development","agent;artificial-intelligence;chatgpt;claude-ai;cli;developer-tools;gpt;llm;openai","topic:llm stars:>=100"
"dromara/Sa-Token","https://github.com/dromara/Sa-Token","dromara","Java","18779","False","False","2/3/2020 10:34:29 AM","5/2/2026 3:01:32 PM","✨ 开源、免费、一站式 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式 Session 会话、微服务网关鉴权、SSO 单点登录、OAuth2.0 统一认证、jwt 集成、API Key 秘钥授权、API 参数签名","aouth2;authorization;java;springcloud;sso;token","s language:Java stars:>=50"
"oracle/tribuo","https://github.com/oracle/tribuo","oracle","Java","1409","False","False","6/16/2020 9:59:48 AM","4/29/2026 8:40:44 PM","Tribuo - A Java machine learning library","classification;clustering;deep-learning;java;machine-learning;ml;nlp;regression","topic:classification language:Java stars:>=50 | topic:clustering language:Java stars:>=50"
"wuyouzhuguli/SpringAll","https://github.com/wuyouzhuguli/SpringAll","wuyouzhuguli","Java","28997","False","False","5/2/2018 2:48:44 AM","5/2/2026 3:42:12 PM","循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc","learning;shiro;spring-boot;spring-boot-learning;spring-cloud;spring-security;springboot","s language:Java stars:>=50"
"zhayujie/CowAgent","https://github.com/zhayujie/CowAgent","zhayujie","Python","43971","False","False","8/7/2022 8:33:41 AM","5/2/2026 5:39:21 PM","CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。","ai;ai-agent;chatgpt-on-wechat;claude;deepseek;dingtalk;feishu-bot;gemini;kimi;linkai;llm;mcp;multi-agent;openai;openclaw;python3;qwen;skills;wechat;weixin","topic:llm stars:>=100"
"JessYanCoding/AndroidAutoSize","https://github.com/JessYanCoding/AndroidAutoSize","JessYanCoding","Java","13739","False","False","8/17/2018 9:04:19 AM","5/2/2026 10:01:01 AM","🔥 A low-cost Android screen adaptation solution (今日头条屏幕适配方案终极版，一个极低成本的 Android 屏幕适配方案).","adapterview;android;arms;density;mvparms;screenadapter","s language:Java stars:>=50"
"Activiti/Activiti","https://github.com/Activiti/Activiti","Activiti","Java","10529","False","False","9/13/2012 11:34:43 AM","5/1/2026 3:46:16 PM","Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people, developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application, on a server, on a cluster or in the cloud. It integrates perfectly with Spring, it is extremely lightweight and based on simple concepts. ","activiti;bpm;bpmn;business-process;cloud;hxps;java;microservices;product-activiti;spring","s language:Java stars:>=50"
"signalapp/Signal-Server","https://github.com/signalapp/Signal-Server","signalapp","Java","10521","False","False","12/9/2013 7:10:36 AM","5/1/2026 3:05:03 PM","Server supporting the Signal Private Messenger applications on Android, Desktop, and iOS","","s language:Java stars:>=50"
"macrozheng/mall-swarm","https://github.com/macrozheng/mall-swarm","macrozheng","Java","12930","False","False","11/25/2019 6:55:31 AM","5/2/2026 11:27:05 AM","mall-swarm是一套微服务商城系统，采用了 Spring Cloud Alibaba、Spring Boot 3.2、Sa-Token、MyBatis、Elasticsearch、Docker、Kubernetes等核心技术，同时提供了基于Vue的管理后台方便快速搭建系统。mall-swarm在电商业务的基础集成了注册中心、配置中心、监控中心、网关等系统功能。","docker;elasticsearch;java;k8s;kubernetes;mongodb;mybatis;mysql;rabbitmq;redis;spring-boot;spring-cloud;springboot;springcloud","s language:Java stars:>=50"
"umano/AndroidSlidingUpPanel","https://github.com/umano/AndroidSlidingUpPanel","umano","Java","9467","False","False","5/31/2013 6:33:53 PM","5/2/2026 9:59:21 AM","This library provides a simple way to add a draggable sliding up panel (popularized by Google Music and Google Maps) to your Android application. Brought to you by Umano.","","s language:Java stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42328","False","False","8/17/2023 2:17:10 AM","5/2/2026 4:54:12 PM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"HMS-MLKit/HUAWEI-HMS-MLKit-Sample","https://github.com/HMS-MLKit/HUAWEI-HMS-MLKit-Sample","HMS-MLKit","Java","72","False","False","3/3/2020 8:04:34 AM","3/18/2026 6:03:42 AM","HUAWEI HMS meachine learning services demo apk download.","classification;document;face-detection;face-recognition;hms;huawei;image-segmentation;label;language-detection;machine-learning;object-detection-and-tracking;ocr;text-translation","topic:classification language:Java stars:>=50"
"oracle/coherence","https://github.com/oracle/coherence","oracle","Java","467","False","False","2/24/2020 3:51:04 PM","4/28/2026 11:41:11 PM","Oracle Coherence Community Edition","caching;cloud;clustering;coherence;data-grid;distributed;hpc;imdg;in-memory;java;kv-store;microservices;polyglot;scalability","topic:clustering language:Java stars:>=50"
"apache/skywalking","https://github.com/apache/skywalking","apache","Java","24791","False","False","11/7/2015 3:30:36 AM","5/2/2026 2:57:10 PM","APM, Application Performance Monitoring System","apm;dapper;distributed-tracing;ebpf;logging;metrics;observability;open-telemetry;prometheus;service-mesh;skywalking;telegraf;web-performance;zabbix","s language:Java stars:>=50"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160179","False","False","10/29/2018 1:56:00 PM","5/2/2026 5:39:27 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:llm stars:>=100"
"HKUDS/nanobot","https://github.com/HKUDS/nanobot","HKUDS","Python","41517","False","False","2/1/2026 7:16:15 AM","5/2/2026 5:39:30 PM","""🐈 nanobot: The Ultra-Lightweight Personal AI Agent""","ai;ai-agent;ai-agents;anthropic;chatgpt;claude;claude-code;codex;llm;nanobot;openai;openclaw","topic:llm stars:>=100"
"jfeinstein10/SlidingMenu","https://github.com/jfeinstein10/SlidingMenu","jfeinstein10","Java","11016","False","False","6/30/2012 5:14:23 AM","5/1/2026 8:30:42 AM","An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android apps provided that you cite this project and include the license in your app. Thanks!","","s language:Java stars:>=50"
"datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","datumbox","Java","1085","False","False","10/18/2014 6:10:08 PM","4/13/2026 11:31:09 PM","Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications.","big-data;data-science;java;machine-learning;nlp;statistics","statistical language:Java stars:>=50"
"google/langextract","https://github.com/google/langextract","google","Python","36350","False","False","7/8/2025 8:46:06 PM","5/2/2026 4:44:26 PM","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization.","gemini;gemini-ai;gemini-api;gemini-flash;gemini-pro;information-extration;large-language-models;llm;nlp;python;structured-data","topic:llm stars:>=100"
"Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","Significant-Gravitas","Python","183940","False","False","3/16/2023 9:21:07 AM","5/2/2026 5:39:38 PM","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","agentic-ai;agents;ai;artificial-intelligence;autonomous-agents;claude;gpt;llama-api;llm;openai;python","topic:llm stars:>=100"
"hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","70843","False","False","5/28/2023 10:09:12 AM","5/2/2026 4:07:11 PM","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)","agent;ai;deepseek;fine-tuning;gemma;gpt;instruction-tuning;large-language-models;llama;llama3;llm;lora;moe;nlp;peft;qlora;quantization;qwen;rlhf;transformers","topic:llm stars:>=100"
"alibaba/spring-cloud-alibaba","https://github.com/alibaba/spring-cloud-alibaba","alibaba","Java","29104","False","False","12/1/2017 8:49:15 PM","5/2/2026 2:41:11 PM","Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.","alibaba;alibaba-middleware;alibaba-oss;aliyun;circuit-breaker;cloud-native;distributed-configuration;distributed-messaging;distributed-transaction;dubbo;java;microservices;nacos;rocketmq;service-discovery;service-registry;spring;spring-cloud;spring-cloud-alibaba;spring-cloud-core","s language:Java stars:>=50"
