"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"axa-group/Parsr","https://github.com/axa-group/Parsr","sismics/docs","https://github.com/sismics/docs","sismics","JavaScript","2545","computer-vision","1","873.15","False","0.0909","0","1","0.8076","1","1","0.3333","topic:document language:JavaScript stars:>=50","Lightweight document management system packed with all the features you can expect from big expensive solutions"
"axa-group/Parsr","https://github.com/axa-group/Parsr","pot-app/pot-desktop","https://github.com/pot-app/pot-desktop","pot-app","JavaScript","17859","computer-vision","2","827.5","False","0.0476","0","1","0.7694","1","1","0.3333","p language:JavaScript stars:>=50","🌈一个跨平台的划词翻译和OCR软件 | A cross-platform software for text translation and recognition."
"axa-group/Parsr","https://github.com/axa-group/Parsr","dimsemenov/PhotoSwipe","https://github.com/dimsemenov/PhotoSwipe","dimsemenov","JavaScript","25138","computer-vision","3","771.65","False","0","0","1","0.6951","1","1","0.3333","p language:JavaScript stars:>=50","JavaScript image gallery for mobile and desktop, modular, framework independent"
"axa-group/Parsr","https://github.com/axa-group/Parsr","rvera/image-picker","https://github.com/rvera/image-picker","rvera","JavaScript","907","computer-vision","4","752.15","False","0","0","1","0.5837","1","1","0.3333","transforms language:JavaScript stars:>=50","Image Picker is a simple jQuery plugin that transforms a select element into a more user friendly graphical interface."
"axa-group/Parsr","https://github.com/axa-group/Parsr","spamscanner/spamscanner","https://github.com/spamscanner/spamscanner","spamscanner","JavaScript","369","computer-vision","5","748.04","False","0.0333","0","1","0.3888","1","1","0.3333","topic:data language:JavaScript stars:>=50","Spam Scanner is a Node.js anti-spam, email filtering, and phishing prevention tool and service. Built for @ladjs, @forwardemail, @cabinjs, @breejs, and @lassjs."
"axa-group/Parsr","https://github.com/axa-group/Parsr","TransparencyToolkit/Harvester","https://github.com/TransparencyToolkit/Harvester","TransparencyToolkit","JavaScript","72","computer-vision","6","718.86","False","0.125","0","1","0.0363","0.6","1","0.3333","topic:document language:JavaScript stars:>=50","Web crawling and document processing through a usable interface."
"axa-group/Parsr","https://github.com/axa-group/Parsr","PipedreamHQ/pipedream","https://github.com/PipedreamHQ/pipedream","PipedreamHQ","JavaScript","11294","reinforcement","7","641.34","False","0.0714","0","1","0.8689","1","0","0.3333","p language:JavaScript stars:>=50","Connect APIs, remarkably fast.  Free for developers."
"axa-group/Parsr","https://github.com/axa-group/Parsr","heroku/react-refetch","https://github.com/heroku/react-refetch","heroku","JavaScript","3408","","8","637.42","False","0.0667","0","1","0.871","1","0","0.3333","topic:data language:JavaScript stars:>=50","A simple, declarative, and composable way to fetch data for React components"
"axa-group/Parsr","https://github.com/axa-group/Parsr","rawgraphs/rawgraphs-app","https://github.com/rawgraphs/rawgraphs-app","rawgraphs","JavaScript","8957","","9","633.23","False","0.0526","0","1","0.9192","1","0","0.3333","topic:data language:JavaScript stars:>=50","A web interface to create custom vector-based visualizations on top of RAWGraphs core"
"axa-group/Parsr","https://github.com/axa-group/Parsr","olifolkerd/tabulator","https://github.com/olifolkerd/tabulator","olifolkerd","JavaScript","7634","","10","626.55","False","0.0385","0","1","0.9539","1","0","0.3333","topic:data language:JavaScript stars:>=50","Interactive Tables and Data Grids for JavaScript"
