"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"sohzm/wisk","https://github.com/sohzm/wisk","sohzm","JavaScript","127","False","False","4/16/2025 5:52:10 AM","4/26/2026 2:21:23 AM","a plugin-based document editor written in vanilla javascript","document;editor;javascript;lit-elemenet;web-component","topic:document language:JavaScript stars:>=50"
"realdennis/md2pdf","https://github.com/realdennis/md2pdf","realdennis","JavaScript","1785","False","False","3/16/2019 9:34:00 PM","5/2/2026 11:10:57 AM","Offline markdown to pdf, choose -> edit -> transform 🥂","codemirror;markdown;nonaction;pdf;react;remarkable","transforms language:JavaScript stars:>=50"
"hueitan/javascript-sdk-design","https://github.com/hueitan/javascript-sdk-design","hueitan","JavaScript","1431","False","False","4/23/2015 4:42:12 PM","4/30/2026 5:54:25 AM","JavaScript SDK Design Guide extracted from work and personal experience","design-guideline;design-principle;document;javascript;javascript-sdk;sdk","topic:document language:JavaScript stars:>=50"
"ignoreintuition/jSchema","https://github.com/ignoreintuition/jSchema","ignoreintuition","JavaScript","265","False","False","10/17/2017 2:22:33 AM","3/29/2026 3:35:55 PM","A simple, easy to use data modeling framework for JavaScript","data;data-modeling;data-structures;data-visualization;dataset;drop;filter;group;groupby;hacktoberfest;javascript;javascript-library;multiple-datasets;orderby;sort","topic:data language:JavaScript stars:>=50"
"eugeneyan/applied-ml","https://github.com/eugeneyan/applied-ml","eugeneyan","","28792","False","False","7/4/2020 6:57:47 PM","5/2/2026 12:44:13 AM","📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.","applied-data-science;applied-machine-learning;computer-vision;data-discovery;data-engineering;data-quality;data-science;deep-learning;machine-learning;natural-language-processing;production;recsys;reinforcement-learning;search","topic:computer-vision stars:>=100"
"sghall/resonance","https://github.com/sghall/resonance","sghall","JavaScript","999","False","False","1/16/2017 7:17:46 AM","4/18/2026 5:04:59 AM",":black_medium_small_square:Resonance | 5kb React animation library","animation;charts;d3;data;data-driven-transitions;graph;react;svg;visualization","topic:data language:JavaScript stars:>=50"
"junyanz/CycleGAN","https://github.com/junyanz/CycleGAN","junyanz","Lua","12856","False","False","3/30/2017 3:56:21 PM","4/29/2026 2:30:53 PM","Software that can generate photos from paintings,  turn horses into zebras,  perform style transfer, and more.","computer-graphics;computer-vision;cyclegan;deep-learning;gan;gans;generative-adversarial-network;image-generation;image-manipulation;pix2pix;torch","topic:computer-vision stars:>=100"
"VincentGarreau/particles.js","https://github.com/VincentGarreau/particles.js","VincentGarreau","JavaScript","30229","False","False","9/6/2014 2:29:47 PM","5/2/2026 2:08:06 PM","A lightweight JavaScript library for creating particles","","p language:JavaScript stars:>=50"
"ansu5555/pdf-viewer-reactjs","https://github.com/ansu5555/pdf-viewer-reactjs","ansu5555","JavaScript","145","False","False","6/27/2019 8:49:39 AM","4/3/2026 10:11:16 AM","A simple PDF viewer for React js","document;pages;pdf;pdf-viewer;react;react-pdf;react-pdf-viewer;reactjs;rotate;rotate-pdf;zoom;zoom-pdf","topic:document language:JavaScript stars:>=50"
"rochal/jQuery-slimScroll","https://github.com/rochal/jQuery-slimScroll","rochal","JavaScript","2220","False","False","10/10/2011 11:01:00 PM","4/27/2026 1:22:08 PM","small jQuery plugin that transforms any div into a scrollable area with a nice scrollbar. Demo and more:","","transforms language:JavaScript stars:>=50"
"eip-work/kuboard-press","https://github.com/eip-work/kuboard-press","eip-work","JavaScript","24967","False","False","7/24/2019 4:45:29 PM","5/2/2026 9:46:02 AM","Kuboard 是基于 Kubernetes 的微服务管理界面。同时提供 Kubernetes 免费中文教程，入门教程，最新版本的 Kubernetes v1.23.4 安装手册，(k8s install) 在线答疑，持续更新。","docker;k8s;kubernetes;kubernetes-kuboard","p language:JavaScript stars:>=50"
"mdn/data","https://github.com/mdn/data","mdn","JavaScript","776","False","False","10/14/2016 10:52:46 AM","4/28/2026 11:02:38 AM","This repository contains general data for Web technologies","css;data;json;json-data","topic:data language:JavaScript stars:>=50"
"dev2007/elasticsearch-doc","https://github.com/dev2007/elasticsearch-doc","dev2007","JavaScript","166","False","False","2/22/2021 2:59:40 AM","4/28/2026 1:10:57 AM","Elasticsearch中文指导文档。持续翻译中。","document;elasticsearch;elk;java","topic:document language:JavaScript stars:>=50"
"jackwener/OpenCLI","https://github.com/jackwener/OpenCLI","jackwener","JavaScript","18494","False","False","3/14/2026 10:10:23 PM","5/2/2026 5:36:38 PM","Make Any Website & Tool Your CLI. A universal CLI Hub and AI-native runtime. Transform any website, Electron app, or local binary into a standardized command-line interface. Built for AI Agents to discover, learn, and execute tools seamlessly via a unified AGENT.md integration.","ai-agent;ai-agents;ai-tools;cli","transforms language:JavaScript stars:>=50"
"alvarotrigo/fullPage.js","https://github.com/alvarotrigo/fullPage.js","alvarotrigo","JavaScript","35454","False","False","9/20/2013 11:58:29 AM","4/30/2026 9:07:18 PM","fullPage plugin by Alvaro Trigo. Create full screen pages fast and simple","fullpage;fullscreen;javascript;jquery;mousewheel;onepage;scrolling;sections;slide;slideshow;snap;swipe","p language:JavaScript stars:>=50"
"wkentaro/labelme","https://github.com/wkentaro/labelme","wkentaro","Python","15811","False","False","5/9/2016 12:30:26 PM","5/2/2026 5:08:26 PM","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation.","annotations;classification;computer-vision;deep-learning;image-annotation;instance-segmentation;python;semantic-segmentation;video-annotation","topic:computer-vision stars:>=100"
"koopjs/koop","https://github.com/koopjs/koop","koopjs","JavaScript","707","False","False","7/20/2013 5:03:02 AM","4/29/2026 12:31:01 AM","Transform, query, and download geospatial data on the web.","api;arcgis;arcgishub;data-management;etl;feature-service;geojson;geojson-features;geospatial;geospatial-data;gis;nodejs;server;spatial","transforms language:JavaScript stars:>=50"
"CedricBonjour/nanocell-csv","https://github.com/CedricBonjour/nanocell-csv","CedricBonjour","JavaScript","246","False","False","11/1/2021 10:00:58 PM","4/14/2026 3:19:45 AM","A free csv file viewer & editor","csv-files;data;editor;visualization","topic:data language:JavaScript stars:>=50"
"neherlab/covid19_scenarios","https://github.com/neherlab/covid19_scenarios","neherlab","JavaScript","1354","False","False","2/29/2020 2:53:31 PM","4/10/2026 2:38:43 AM","Models of COVID-19 outbreak trajectories and hospital demand","coronavirus;covid;covid-19;data;hospital;model;modelling;ncov;neherlab;open-source;opensource;outbreak;population;research;sars-cov-2;science;simulation;ventilator","topic:data language:JavaScript stars:>=50"
