"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"hankcs/HanLP","https://github.com/hankcs/HanLP","sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","sebastianruder","Python","22971","nlp","1","1007.62","True","0.1667","0","1","0.9007","1","1","0.6667","topic:named-entity-recognition language:Python stars:>=50 | natural language:Python stars:>=50","Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks."
"hankcs/HanLP","https://github.com/hankcs/HanLP","nltk/nltk","https://github.com/nltk/nltk","nltk","Python","14602","nlp","2","954.04","True","0.1818","0","1","0.8023","1","1","0.3333","topic:nlp stars:>=100","NLTK Source"
"hankcs/HanLP","https://github.com/hankcs/HanLP","roshan-research/hazm","https://github.com/roshan-research/hazm","roshan-research","Python","1389","nlp","3","912.8","True","0.2353","0","1","0.2916","1","1","0.3333","topic:dependency-parser language:Python stars:>=50","Persian NLP Toolkit"
"hankcs/HanLP","https://github.com/hankcs/HanLP","juand-r/entity-recognition-datasets","https://github.com/juand-r/entity-recognition-datasets","juand-r","Python","1571","nlp","4","885.71","False","0.2","0","1","0.3183","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","A collection of corpora for named entity recognition (NER) and entity recognition tasks. These annotated datasets cover a variety of languages, domains and entity types."
"hankcs/HanLP","https://github.com/hankcs/HanLP","explosion/spacy-streamlit","https://github.com/explosion/spacy-streamlit","explosion","Python","854","nlp","5","882.57","False","0.2222","0","1","0.1861","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","👑 spaCy building blocks and visualizers for Streamlit apps"
"hankcs/HanLP","https://github.com/hankcs/HanLP","flairNLP/flair","https://github.com/flairNLP/flair","flairNLP","Python","14372","deep-learning","6","872.5","False","0.2308","0","1","0.7989","1","0","1","topic:named-entity-recognition language:Python stars:>=50 | natural language:Python stars:>=50 | topic:nlp stars:>=100","A very simple framework for state-of-the-art Natural Language Processing (NLP)"
"hankcs/HanLP","https://github.com/hankcs/HanLP","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","deep-learning","7","868.43","False","0.1905","0","1","0.9829","1","0","1","topic:named-entity-recognition language:Python stars:>=50 | natural language:Python stars:>=50 | topic:nlp stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"hankcs/HanLP","https://github.com/hankcs/HanLP","ivan-bilan/The-NLP-Pandect","https://github.com/ivan-bilan/The-NLP-Pandect","ivan-bilan","Python","2039","nlp","8","865.61","False","0.1667","0","1","0.3749","1","1","0.3333","natural language:Python stars:>=50","A comprehensive reference for all topics related to Natural Language Processing"
"hankcs/HanLP","https://github.com/hankcs/HanLP","elikip/bist-parser","https://github.com/elikip/bist-parser","elikip","Python","275","nlp","9","850","False","0.25","0","1","0","0.8","1","0.3333","topic:dependency-parser language:Python stars:>=50","Graph-based and Transition-based dependency parsers based on BiLSTMs"
"hankcs/HanLP","https://github.com/hankcs/HanLP","mit-ccc/TweebankNLP","https://github.com/mit-ccc/TweebankNLP","mit-ccc","Python","106","nlp","10","850","False","0.25","0","1","0","0.8","1","0.3333","topic:dependency-parser language:Python stars:>=50","[LREC 2022] An off-the-shelf pre-trained Tweet NLP Toolkit (NER, tokenization, lemmatization, POS tagging, dependency parsing)  + Tweebank-NER dataset"
"hankcs/HanLP","https://github.com/hankcs/HanLP","explosion/spacy-models","https://github.com/explosion/spacy-models","explosion","Python","1862","nlp","11","840.73","False","0.1429","0","1","0.3552","1","1","0.3333","natural language:Python stars:>=50","💫  Models for the spaCy Natural Language Processing (NLP) library"
"hankcs/HanLP","https://github.com/hankcs/HanLP","clips/pattern","https://github.com/clips/pattern","clips","Python","8859","nlp","12","835.71","False","0.0714","0","1","0.6938","1","1","0.3333","natural language:Python stars:>=50","Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis and visualization."
"hankcs/HanLP","https://github.com/hankcs/HanLP","CAMeL-Lab/camel_tools","https://github.com/CAMeL-Lab/camel_tools","CAMeL-Lab","Python","548","nlp","13","807.84","False","0.1579","0","1","0.0899","1","1","0.3333","topic:named-entity-recognition language:Python stars:>=50","A suite of Arabic natural language processing tools developed by the CAMeL Lab at New York University Abu Dhabi."
"hankcs/HanLP","https://github.com/hankcs/HanLP","de-mh/persian_phonemizer","https://github.com/de-mh/persian_phonemizer","de-mh","Python","72","nlp","14","800","False","0.1667","0","1","0","1","1","0.3333","topic:dependency-parser language:Python stars:>=50","A tool for translating Persian text to IPA (International Phonetic Alphabet)."
"hankcs/HanLP","https://github.com/hankcs/HanLP","timoschick/pet","https://github.com/timoschick/pet","timoschick","Python","1627","nlp","15","772.04","False","0.1","0","1","0.3259","0.8","1","0.3333","natural language:Python stars:>=50","This repository contains the code for ""Exploiting Cloze Questions for Few-Shot Text Classification and Natural Language Inference"""
"hankcs/HanLP","https://github.com/hankcs/HanLP","konlpy/konlpy","https://github.com/konlpy/konlpy","konlpy","Python","1485","nlp","16","767.86","False","0.0714","0","1","0.3061","1","1","0.3333","natural language:Python stars:>=50","Python package for Korean natural language processing."
"hankcs/HanLP","https://github.com/hankcs/HanLP","shirosaidev/stocksight","https://github.com/shirosaidev/stocksight","shirosaidev","Python","2475","nlp","17","760.47","False","0.0417","0","1","0.417","1","1","0.3333","natural language:Python stars:>=50","Stock market analyzer and predictor using Elasticsearch, Twitter, News headlines and Python natural language processing and sentiment analysis"
"hankcs/HanLP","https://github.com/hankcs/HanLP","baidu/DDParser","https://github.com/baidu/DDParser","baidu","Python","1000","nlp","18","757.79","False","0.0769","0","1","0.2203","1","1","0.3333","topic:dependency-parser language:Python stars:>=50","百度开源的依存句法分析系统"
"hankcs/HanLP","https://github.com/hankcs/HanLP","Maluuba/nlg-eval","https://github.com/Maluuba/nlg-eval","Maluuba","Python","1394","nlp","19","754.43","False","0.087","0","1","0.2924","0.8","1","0.3333","natural language:Python stars:>=50","Evaluation code for various unsupervised automated metrics for Natural Language Generation."
"hankcs/HanLP","https://github.com/hankcs/HanLP","spencermountain/compromise","https://github.com/spencermountain/compromise","spencermountain","JavaScript","12084","nlp","20","733.22","False","0.2222","0","0","0.7612","1","1","0.3333","topic:nlp stars:>=100","modest natural-language processing"
