"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"huggingface/transformers","https://github.com/huggingface/transformers","hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","70843","llm","1","1026.35","True","0.1471","0","1","0.8228","1","1","1","topic:deepseek language:Python stars:>=50 | transformers language:Python stars:>=50 | topic:llm stars:>=100","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)"
"huggingface/transformers","https://github.com/huggingface/transformers","vllm-project/vllm","https://github.com/vllm-project/vllm","vllm-project","Python","78859","llm","2","980.42","True","0.1471","0","1","0.8461","1","1","0.6667","topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","A high-throughput and memory-efficient inference and serving engine for LLMs"
"huggingface/transformers","https://github.com/huggingface/transformers","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42401","llm","3","956.85","True","0.1471","0","1","0.7114","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"huggingface/transformers","https://github.com/huggingface/transformers","unslothai/unsloth","https://github.com/unslothai/unsloth","unslothai","Python","63458","llm","4","945.7","True","0.1176","0","1","0.7989","1","1","0.6667","topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","Web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally."
"huggingface/transformers","https://github.com/huggingface/transformers","lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16355","llm","5","933.46","True","0.1613","0","1","0.5045","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | t language:Python stars:>=50","pix2tex: Using a ViT to convert images of equations into LaTeX code."
"huggingface/transformers","https://github.com/huggingface/transformers","sgl-project/sglang","https://github.com/sgl-project/sglang","sgl-project","Python","26958","llm","6","931.48","True","0.1935","0","1","0.613","1","1","0.3333","topic:deepseek language:Python stars:>=50","SGLang is a high-performance serving framework for large language models and multimodal models."
"huggingface/transformers","https://github.com/huggingface/transformers","arc53/DocsGPT","https://github.com/arc53/DocsGPT","arc53","Python","17872","llm","7","910.41","True","0.1875","0","1","0.5238","1","1","0.3333","transformers language:Python stars:>=50","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents."
"huggingface/transformers","https://github.com/huggingface/transformers","zhayujie/CowAgent","https://github.com/zhayujie/CowAgent","zhayujie","Python","43970","llm","8","900.87","True","0.0833","0","1","0.7193","1","1","0.6667","topic:deepseek language:Python stars:>=50 | topic:llm stars:>=100","CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。"
"huggingface/transformers","https://github.com/huggingface/transformers","jessevig/bertviz","https://github.com/jessevig/bertviz","jessevig","Python","8038","llm","9","891.3","False","0.2","0","1","0.3503","1","1","0.3333","transformers language:Python stars:>=50","BertViz: Visualize Attention in Transformer Models"
"huggingface/transformers","https://github.com/huggingface/transformers","jadore801120/attention-is-all-you-need-pytorch","https://github.com/jadore801120/attention-is-all-you-need-pytorch","jadore801120","Python","9714","llm","10","889.93","False","0.1905","0","1","0.3914","1","1","0.3333","transformers language:Python stars:>=50","A PyTorch implementation of the Transformer model in ""Attention is All You Need""."
"huggingface/transformers","https://github.com/huggingface/transformers","sansan0/TrendRadar","https://github.com/sansan0/TrendRadar","sansan0","Python","56040","llm","11","889.64","False","0.0606","0","1","0.772","1","1","0.6667","t language:Python stars:>=50 | topic:llm stars:>=100","⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。"
"huggingface/transformers","https://github.com/huggingface/transformers","Significant-Gravitas/AutoGPT","https://github.com/Significant-Gravitas/AutoGPT","Significant-Gravitas","Python","183941","llm","12","884.03","False","0.0714","0","1","0.97","1","1","0.3333","topic:llm stars:>=100","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
"huggingface/transformers","https://github.com/huggingface/transformers","browser-use/browser-use","https://github.com/browser-use/browser-use","browser-use","Python","91690","llm","13","878.8","False","0.0833","0","1","0.8789","1","1","0.3333","topic:llm stars:>=100","🌐 Make websites accessible for AI agents. Automate tasks online with ease."
"huggingface/transformers","https://github.com/huggingface/transformers","TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","TauricResearch","Python","61724","llm","14","877.89","False","0.0435","0","1","0.7929","1","1","0.6667","t language:Python stars:>=50 | topic:llm stars:>=100","TradingAgents: Multi-Agents LLM Financial Trading Framework"
"huggingface/transformers","https://github.com/huggingface/transformers","speechbrain/speechbrain","https://github.com/speechbrain/speechbrain","speechbrain","Python","11503","llm","15","877.78","False","0.1143","0","1","0.4281","1","1","0.6667","topic:audio language:Python stars:>=50 | transformers language:Python stars:>=50","A PyTorch-based Speech Toolkit"
"huggingface/transformers","https://github.com/huggingface/transformers","2noise/ChatTTS","https://github.com/2noise/ChatTTS","2noise","Python","39189","llm","16","874.44","False","0.0588","0","1","0.6943","1","1","0.6667","t language:Python stars:>=50 | topic:llm stars:>=100","A generative speech model for daily dialogue."
"huggingface/transformers","https://github.com/huggingface/transformers","langchain-ai/langchain","https://github.com/langchain-ai/langchain","langchain-ai","Python","135632","llm","17","868.68","False","0.0556","0","1","0.9639","1","1","0.3333","topic:llm stars:>=100","The agent engineering platform"
"huggingface/transformers","https://github.com/huggingface/transformers","google/langextract","https://github.com/google/langextract","google","Python","36350","llm","18","868.64","False","0.1111","0","1","0.678","1","1","0.3333","topic:llm stars:>=100","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization."
"huggingface/transformers","https://github.com/huggingface/transformers","GradientHQ/parallax","https://github.com/GradientHQ/parallax","GradientHQ","Python","1268","llm","19","867.24","False","0.2414","0","1","0","1","1","0.3333","topic:deepseek language:Python stars:>=50","Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere"
"huggingface/transformers","https://github.com/huggingface/transformers","Tencent/AngelSlim","https://github.com/Tencent/AngelSlim","Tencent","Python","845","llm","20","866.67","False","0.1852","0","1","0","1","1","0.6667","topic:audio language:Python stars:>=50 | topic:deepseek language:Python stars:>=50","Model compression toolkit engineered for enhanced usability, comprehensiveness, and efficiency."
"huggingface/transformers","https://github.com/huggingface/transformers","SYSTRAN/faster-whisper","https://github.com/SYSTRAN/faster-whisper","SYSTRAN","Python","22567","llm","21","863.03","False","0.125","0","1","0.5744","1","1","0.3333","topic:deep-learning language:Python stars:>=50","Faster Whisper transcription with CTranslate2"
"huggingface/transformers","https://github.com/huggingface/transformers","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50761","llm","22","859.59","False","0.087","0","1","0.7505","1","1","0.3333","topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"huggingface/transformers","https://github.com/huggingface/transformers","hiyouga/EasyR1","https://github.com/hiyouga/EasyR1","hiyouga","Python","4902","llm","23","849.03","False","0.1739","0","1","0.2429","1","1","0.3333","topic:deepseek language:Python stars:>=50","EasyR1: An Efficient, Scalable, Multi-Modality RL Training Framework based on veRL"
"huggingface/transformers","https://github.com/huggingface/transformers","open-webui/open-webui","https://github.com/open-webui/open-webui","open-webui","Python","135214","llm","24","845.83","False","0.0303","0","1","0.9632","1","1","0.3333","topic:llm stars:>=100","User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
"huggingface/transformers","https://github.com/huggingface/transformers","microsoft/JARVIS","https://github.com/microsoft/JARVIS","microsoft","Python","24685","llm","25","843.94","False","0.1","0","1","0.5939","1","1","0.3333","topic:deep-learning language:Python stars:>=50","JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
"huggingface/transformers","https://github.com/huggingface/transformers","NousResearch/hermes-agent","https://github.com/NousResearch/hermes-agent","NousResearch","Python","129422","llm","26","843.37","False","0.0294","0","1","0.9537","1","1","0.3333","topic:llm stars:>=100","The agent that grows with you"
"huggingface/transformers","https://github.com/huggingface/transformers","mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54604","llm","27","842.17","False","0.0645","0","1","0.7663","1","1","0.3333","topic:llm stars:>=100","Universal memory layer for AI Agents"
"huggingface/transformers","https://github.com/huggingface/transformers","eosphoros-ai/DB-GPT","https://github.com/eosphoros-ai/DB-GPT","eosphoros-ai","Python","18649","llm","28","839.71","False","0.1071","0","1","0.533","1","1","0.3333","topic:deepseek language:Python stars:>=50","open-source agentic AI data assistant for the next generation of AI + Data products."
"huggingface/transformers","https://github.com/huggingface/transformers","rohitg00/ai-engineering-from-scratch","https://github.com/rohitg00/ai-engineering-from-scratch","rohitg00","Python","6133","llm","29","833.38","False","0.1471","0","1","0.2916","1","1","0.3333","transformers language:Python stars:>=50","Learn it. Build it. Ship it for others."
"huggingface/transformers","https://github.com/huggingface/transformers","FoundationAgents/MetaGPT","https://github.com/FoundationAgents/MetaGPT","FoundationAgents","Python","67631","llm","30","831.37","False","0.0435","0","1","0.8128","1","1","0.3333","topic:llm stars:>=100","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
"huggingface/transformers","https://github.com/huggingface/transformers","OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","OpenHands","Python","72512","llm","0","828.22","False","0.037","0","1","0.8279","1","1","0.3333","topic:llm stars:>=100","🙌 OpenHands: AI-Driven Development"
"huggingface/transformers","https://github.com/huggingface/transformers","BlinkDL/RWKV-LM","https://github.com/BlinkDL/RWKV-LM","BlinkDL","Python","14504","llm","0","823.73","False","0.1","0","1","0.4785","1","1","0.3333","transformers language:Python stars:>=50","RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN and transformer - great performance, linear time, constant space (no kv-cache), fast training, infinite ctx_len, and free sentence embedding."
"huggingface/transformers","https://github.com/huggingface/transformers","harry0703/MoneyPrinterTurbo","https://github.com/harry0703/MoneyPrinterTurbo","harry0703","Python","56648","llm","0","821.5","False","0.04","0","1","0.7743","1","1","0.3333","t language:Python stars:>=50","利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM."
"huggingface/transformers","https://github.com/huggingface/transformers","chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37950","llm","0","818.93","False","0.0541","0","1","0.6873","1","1","0.3333","topic:llm stars:>=100","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
"huggingface/transformers","https://github.com/huggingface/transformers","datawhalechina/hello-agents","https://github.com/datawhalechina/hello-agents","datawhalechina","Python","42221","llm","0","815.24","False","0.0455","0","1","0.7105","1","1","0.3333","topic:llm stars:>=100","📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程"
"huggingface/transformers","https://github.com/huggingface/transformers","xtekky/gpt4free","https://github.com/xtekky/gpt4free","xtekky","Python","66158","llm","0","815.08","False","0.0263","0","1","0.808","1","1","0.3333","topic:deepseek language:Python stars:>=50","The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3"
"huggingface/transformers","https://github.com/huggingface/transformers","JuliusBrussee/caveman","https://github.com/JuliusBrussee/caveman","JuliusBrussee","Python","52387","llm","0","814.67","False","0.0357","0","1","0.7573","1","1","0.3333","topic:llm stars:>=100","🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman"
"huggingface/transformers","https://github.com/huggingface/transformers","run-llama/llama_index","https://github.com/run-llama/llama_index","run-llama","Python","49098","llm","0","812.21","False","0.0357","0","1","0.7432","1","1","0.3333","topic:llm stars:>=100","LlamaIndex is the leading document agent and OCR platform"
"huggingface/transformers","https://github.com/huggingface/transformers","jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","jacobgil","Python","12788","llm","0","810.76","False","0.0909","0","1","0.4511","1","1","0.3333","transformers language:Python stars:>=50","Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."
"huggingface/transformers","https://github.com/huggingface/transformers","OpenBMB/UltraRAG","https://github.com/OpenBMB/UltraRAG","OpenBMB","Python","5530","llm","0","809.59","False","0.125","0","1","0.2691","1","1","0.3333","topic:deepseek language:Python stars:>=50","[GitHub Trending #2] A Low-Code MCP Framework for Building Complex and Innovative RAG Pipelines"
"huggingface/transformers","https://github.com/huggingface/transformers","camel-ai/camel","https://github.com/camel-ai/camel","camel-ai","Python","16860","llm","0","808.68","False","0.0769","0","1","0.5111","1","1","0.3333","topic:deep-learning language:Python stars:>=50","🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org"
