"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","hankcs/HanLP","https://github.com/hankcs/HanLP","hankcs","Python","36288","10/9/2014 6:36:16 AM","5/2/2026 4:00:03 PM","dependency-parser;hanlp;named-entity-recognition;natural-language-processing;nlp;pos-tagging;semantic-parsing;text-classification","nlp","2025.79","1","1","1","0.912","1","1","1","1","0","False","topic:nlp language:python stars:>=1000","Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification"
"2","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","7/3/2014 3:15:40 PM","5/2/2026 1:36:51 PM","ai;artificial-intelligence;cython;data-science;deep-learning;entity-linking;machine-learning;named-entity-recognition;natural-language-processing;neural-network;neural-networks;nlp;nlp-library;python;spacy;text-classification;tokenization","deep-learning","2023.91","1","1","1","0.9051","1","1","1","1","0","False","topic:nlp language:python stars:>=1000","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"3","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160181","10/29/2018 1:56:00 PM","5/2/2026 6:13:27 PM","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","llm","2005","1","1","1","1","1","0.8","1","1","0","False","topic:nlp language:python stars:>=1000","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"4","apachecn/ailearning","https://github.com/apachecn/ailearning","apachecn","Python","42224","2/25/2017 8:53:02 AM","5/2/2026 5:16:47 PM","adaboost;apriori;deeplearning;dnn;fp-growth;kmeans;logistic;lstm;mahchine-leaning;naivebayes;nlp;pca;python;recommendedsystem;regression;rnn;scikit-learn;sklearn;svd;svm","deep-learning","1984.41","1","1","1","0.9251","1","0.8","1","1","0","False","topic:nlp language:python stars:>=1000","AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2"
"5","microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22112","7/23/2019 4:15:28 AM","5/2/2026 11:52:18 AM","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","llm","1968.96","1","1","1","0.8689","1","0.8","1","1","0","False","topic:nlp language:python stars:>=1000","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
"6","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21481","3/26/2020 9:23:22 AM","5/2/2026 3:54:32 PM","ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow","llm","1968.26","1","1","1","0.8664","1","0.8","1","1","0","False","topic:nlp language:python stars:>=1000","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"7","flairNLP/flair","https://github.com/flairNLP/flair","flairNLP","Python","14372","6/11/2018 11:04:18 AM","5/2/2026 1:43:58 PM","machine-learning;named-entity-recognition;natural-language-processing;nlp;pytorch;semantic-role-labeling;sequence-labeling;word-embeddings","deep-learning","1958.67","1","1","1","0.8315","1","0.8","1","1","0","False","topic:nlp language:python stars:>=1000","A very simple framework for state-of-the-art Natural Language Processing (NLP)"
"8","neuml/txtai","https://github.com/neuml/txtai","neuml","Python","12453","8/9/2020 7:14:59 PM","5/2/2026 5:42:45 PM","agents;ai;ai-agents;embeddings;information-retrieval;language-model;large-language-models;llm;nlp;python;rag;retrieval-augmented-generation;search;search-engine;semantic-search;sentence-embeddings;transformers;txtai;vector-database;vector-search","llm","1955.24","1","1","1","0.8191","1","0.8","1","1","0","False","topic:nlp language:python stars:>=1000","💡 All-in-one AI framework for semantic search, LLM orchestration and language model workflows"
"9","hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","70844","5/28/2023 10:09:12 AM","5/2/2026 6:00:59 PM","agent;ai;deepseek;fine-tuning;gemma;gpt;instruction-tuning;large-language-models;llama;llama3;llm;lora;moe;nlp;peft;qlora;quantization;qwen;rlhf;transformers","llm","1951.77","1","1","1","0.9701","1","0.6","1","1","0","False","topic:nlp language:python stars:>=1000","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)"
"10","ymcui/Chinese-BERT-wwm","https://github.com/ymcui/Chinese-BERT-wwm","ymcui","Python","10202","6/19/2019 10:55:01 PM","4/30/2026 9:08:36 AM","bert;bert-wwm;bert-wwm-ext;chinese-bert;nlp;pytorch;rbt;roberta;roberta-wwm;tensorflow","deep-learning","1950.48","1","1","1","0.8017","1","0.8","1","1","0","False","topic:nlp language:python stars:>=1000","Pre-Training with Whole Word Masking for Chinese BERT（中文BERT-wwm系列模型）"
