"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","deep-learning","1980.66","1","1","1","0.8312","1","1","0.9167","1","0","False","topic:computer-vision language:python stars:>=1000","Face recognition using Tensorflow"
"2","junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25104","4/18/2017 10:33:05 AM","5/3/2026 3:08:42 PM","computer-graphics;computer-vision;cyclegan;deep-learning;gan;gans;generative-adversarial-network;image-generation;image-manipulation;pix2pix;pytorch","deep-learning","1971.99","1","1","1","0.88","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Image-to-Image Translation in PyTorch"
"3","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21483","3/26/2020 9:23:22 AM","5/3/2026 11:48:10 AM","ai;artificial-intelligence;computer-vision;dataset-hub;datasets;deep-learning;huggingface;llm;machine-learning;natural-language-processing;nlp;numpy;pandas;pytorch;speech;tensorflow","llm","1968.27","1","1","1","0.8664","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"4","wkentaro/labelme","https://github.com/wkentaro/labelme","wkentaro","Python","15813","5/9/2016 12:30:26 PM","5/3/2026 3:08:55 PM","annotations;classification;computer-vision;deep-learning;image-annotation;instance-segmentation;python;semantic-segmentation;video-annotation","deep-learning","1960.95","1","1","1","0.8398","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation."
"5","cvat-ai/cvat","https://github.com/cvat-ai/cvat","cvat-ai","Python","15756","6/29/2018 2:02:45 PM","5/3/2026 12:06:22 PM","annotation;annotation-tool;annotations;boundingbox;computer-vision;computer-vision-annotation;dataset;deep-learning;image-annotation;image-classification;image-labeling;image-labelling-tool;imagenet;labeling;labeling-tool;object-detection;pytorch;semantic-segmentation;tensorflow;video-annotation","deep-learning","1960.86","1","1","1","0.8395","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale."
"6","jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","jacobgil","Python","12788","5/31/2017 7:55:15 PM","5/3/2026 12:41:47 PM","class-activation-maps;computer-vision;deep-learning;explainable-ai;explainable-ml;grad-cam;image-classification;interpretability;interpretable-ai;interpretable-deep-learning;machine-learning;object-detection;pytorch;score-cam;vision-transformers;visualizations;xai","llm","1955.88","1","1","1","0.8214","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."
"7","zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","zalandoresearch","Python","12722","8/25/2017 12:05:15 PM","5/3/2026 1:54:53 PM","benchmark;computer-vision;convolutional-neural-networks;dataset;deep-learning;fashion;fashion-mnist;gan;machine-learning;mnist;zalando","deep-learning","1955.75","1","1","1","0.8209","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","A MNIST-like fashion product database. Benchmark :point_down: "
"8","ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11683","12/27/2018 11:58:12 PM","5/3/2026 1:57:14 PM","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","llm","1953.72","1","1","1","0.8135","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Low-code framework for building custom LLMs, neural networks, and other AI models"
"9","qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","qubvel-org","Python","11523","3/1/2019 4:21:21 PM","5/3/2026 12:42:14 PM","computer-vision;deeplab-v3-plus;deeplabv3;dpt;fpn;image-processing;image-segmentation;imagenet;models;pretrained-weights;pspnet;pytorch;segformer;segmentation;segmentation-models;semantic-segmentation;transformers;unet;unet-pytorch;unetplusplus","llm","1953.39","1","1","1","0.8123","1","0.8","1","1","0","False","topic:computer-vision language:python stars:>=1000","Semantic segmentation models with 500+ pretrained convolutional and transformer-based backbones."
"10","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","8/23/2017 4:40:24 AM","5/3/2026 6:06:54 PM","book;chinese;computer-vision;deep-learning;machine-learning;natural-language-processing;notebook;python","deep-learning","1953.11","1","1","1","0.978","1","0.8","0.8333","1","0","False","topic:computer-vision language:python stars:>=1000","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
