"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"Koldim2001/COCO_to_YOLOv8","https://github.com/Koldim2001/COCO_to_YOLOv8","Koldim2001","Python","339","False","False","1/15/2024 12:27:44 PM","4/28/2026 3:01:01 PM","Converting COCO annotation (CVAT) to annotation for YOLO-seg (instance segmentation) and YOLO-obb (oriented bounding box detection)","annotation-tool;coco;coco-dataset;coco-format-annotations;coco-format-converter;coco-to-yolo;cvat;oriented-bounding-box;ultralytics;yolo;yolo-format;yolo-format-annotations;yolo11;yolov5-seg;yolov8;yolov8-obb;yolov8-seg;yolov8-segmentation;yolov9-seg","topic:annotation-tool language:Python stars:>=50"
"metagenome-atlas/atlas","https://github.com/metagenome-atlas/atlas","metagenome-atlas","Python","405","False","False","11/30/2016 3:19:28 PM","4/21/2026 2:17:59 PM","ATLAS - Three commands to start analyzing your metagenome data","annotation;assembly;functional-annotation;genomic-binning;metagenomics;snakemake;taxonomic-classifications","topic:annotation language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38045","False","False","6/24/2015 2:49:52 AM","5/3/2026 3:53:58 PM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"doccano/doccano","https://github.com/doccano/doccano","doccano","Python","10640","False","False","5/9/2018 6:10:05 AM","5/2/2026 11:35:43 AM","Open source annotation tool for machine learning practitioners.","annotation-tool;data-labeling;dataset;datasets;machine-learning;natural-language-processing;nuxt;nuxtjs;python;text-annotation;vue;vuejs","topic:annotation-tool language:Python stars:>=50"
"doccano/doccano-transformer","https://github.com/doccano/doccano-transformer","doccano","Python","109","False","False","3/29/2020 10:32:42 AM","9/3/2025 11:56:11 AM","The official tool for transforming doccano format into common dataset formats.","annotation;conll;dataset;doccano;machine-learning;natural-language-processing","topic:annotation language:Python stars:>=50"
"code-kern-ai/refinery","https://github.com/code-kern-ai/refinery","code-kern-ai","Python","1468","False","False","7/4/2022 1:58:09 PM","4/30/2026 4:26:13 PM","The data scientist's open-source choice to scale, assess and maintain natural language data. Treat training data like a software artifact.","active-learning;annotations;artificial-intelligence;data-centric-ai;data-labeling;data-science;deep-learning;human-in-the-loop;labeling;labeling-tool;machine-learning;natural-language-processing;neural-search;nlp;python;spacy;supervised-learning;text-annotation;text-classification;transformers","topic:annotations language:Python stars:>=50"
"openai/CLIP","https://github.com/openai/CLIP","openai","Jupyter Notebook","33391","False","False","12/16/2020 11:24:42 AM","5/3/2026 5:39:20 PM","CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image","deep-learning;machine-learning","topic:deep-learning stars:>=100"
"MrGiovanni/SuPreM","https://github.com/MrGiovanni/SuPreM","MrGiovanni","Python","412","False","False","11/26/2023 3:09:13 PM","4/23/2026 5:50:43 PM","[ICLR 2024 oral; top 1.2%] Supervised Pre-Trained 3D Models for Medical Image Analysis (9,262 CT volumes + 25 annotated classes)","dataset;foundation-models;foundational-datasets;medical-imaging;pre-trained-model;representation-learning;segmentation;supervised-learning;transfer-learning","annotate language:Python stars:>=50"
"pyconll/pyconll","https://github.com/pyconll/pyconll","pyconll","Python","154","False","False","10/18/2017 2:30:31 AM","3/22/2026 10:19:29 AM","A minimal, pure Python library to interface with CoNLL-U format files.","annotation;conllu;dependency-parsing;linguistics;minimal;python;universal-dependencies","topic:annotation language:Python stars:>=50"
"home-assistant/core","https://github.com/home-assistant/core","home-assistant","Python","86908","False","False","9/17/2013 7:29:48 AM","5/3/2026 6:14:19 PM",":house_with_garden: Open source home automation that puts local control and privacy first.","asyncio;hacktoberfest;home-automation;internet-of-things;iot;mqtt;python;raspberry-pi","c language:Python stars:>=50"
