"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","diffgram/diffgram","https://github.com/diffgram/diffgram","diffgram","Python","1902","deep-learning","1","1061.91","True","0.2414","0","1","0.541","1","1","1","topic:annotation language:Python stars:>=50 | topic:annotation-tool language:Python stars:>=50 | topic:annotations language:Python stars:>=50","The AI Datastore for Schemas, BLOBs, and Predictions. Use with your apps or integrate built-in Human Supervision, Data Workflow, and UI Catalog to get the most value out of your AI Data."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","wkentaro/labelme","https://github.com/wkentaro/labelme","wkentaro","Python","15813","deep-learning","2","1059.65","True","0.2609","0","1","0.9992","1","1","0.3333","topic:annotations language:Python stars:>=50","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","shoumikchow/bbox-visualizer","https://github.com/shoumikchow/bbox-visualizer","shoumikchow","Python","413","deep-learning","3","1016.02","True","0.3103","0","1","0.2098","1","1","0.6667","topic:annotation language:Python stars:>=50 | topic:annotations language:Python stars:>=50","Make drawing and labeling bounding boxes a piece of cake"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59711","deep-learning","4","941.76","True","0.1304","0","1","0.7107","1","1","0.6667","c language:Python stars:>=50 | topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38298","deep-learning","5","923.6","True","0.1471","0","1","0.8071","1","1","0.3333","topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56705","deep-learning","6","904.91","True","0.1429","0","1","0.7219","1","1","0.3333","topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25104","deep-learning","7","903.73","True","0.1071","0","1","0.8989","1","1","0.3333","c language:Python stars:>=50","Image-to-Image Translation in PyTorch"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","virajmavani/semi-auto-image-annotation-tool","https://github.com/virajmavani/semi-auto-image-annotation-tool","virajmavani","Python","592","deep-learning","8","880.36","False","0.2","0","1","0.2878","1","1","0.3333","annotate language:Python stars:>=50","Anno-Mage: A Semi Automatic Image Annotation Tool which helps you in annotating images by suggesting you annotations using user-defined labels"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64056","deep-learning","9","879.7","False","0.12","0","1","0.6955","1","1","0.3333","topic:deep-learning stars:>=100","Deep Learning for humans"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","deep-learning","10","871.29","False","0.0278","0","1","0.836","1","1","0.6667","c language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","deep-learning","11","871.16","False","0.08","0","1","0.8523","1","1","0.3333","topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","PaddleCV-SIG/PaddleLabel","https://github.com/PaddleCV-SIG/PaddleLabel","PaddleCV-SIG","Python","296","deep-learning","12","869.74","False","0.2174","0","1","0.1376","1","1","0.3333","topic:annotations language:Python stars:>=50","飞桨智能标注，让标注快人一步"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","deep-learning","13","867.66","False","0.0833","0","1","0.8152","1","1","0.3333","topic:deep-learning stars:>=100","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","hpcaitech/ColossalAI","https://github.com/hpcaitech/ColossalAI","hpcaitech","Python","41375","deep-learning","14","867.35","False","0.0323","0","1","0.7904","1","1","0.6667","c language:Python stars:>=50 | topic:deep-learning stars:>=100","Making large AI models cheaper, faster and more accessible"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57330","deep-learning","15","865.92","False","0.1","0","1","0.7195","1","1","0.3333","topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","TencentARC/GFPGAN","https://github.com/TencentARC/GFPGAN","TencentARC","Python","37445","deep-learning","16","864.11","False","0.08","0","1","0.812","1","1","0.3333","topic:deep-learning stars:>=100","GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","DataTurks-Engg/Automatic_tagging_of_clothing_in_E-Commerce","https://github.com/DataTurks-Engg/Automatic_tagging_of_clothing_in_E-Commerce","DataTurks-Engg","Python","55","deep-learning","17","863","False","0.32","0","1","0","0.4","1","0.3333","topic:annotations language:Python stars:>=50","Automatic tagging of clothing in E-Commerce, Using Tensorflow and GCP. Classify the clothing products into various categories using Machine Learning."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29395","deep-learning","18","855.85","False","0.0606","0","1","0.8646","1","1","0.3333","topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","huggingface/diffusers","https://github.com/huggingface/diffusers","huggingface","Python","33529","deep-learning","19","850.85","False","0.0606","0","1","0.836","1","1","0.3333","topic:deep-learning stars:>=100","🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","teamunitlab/yolo8-segmentation-deploy","https://github.com/teamunitlab/yolo8-segmentation-deploy","teamunitlab","Python","50","deep-learning","20","850","False","0.25","0","1","0","0.8","1","0.3333","topic:annotation-tool language:Python stars:>=50","Production-ready YOLO8 Segmentation deployment with TensorRT and ONNX support for CPU/GPU, including AI model integration guidance for Unitlab Annotate."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42248","deep-learning","21","845.58","False","0.0645","0","1","0.7858","1","1","0.3333","topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","bertjiazheng/Structured3D","https://github.com/bertjiazheng/Structured3D","bertjiazheng","Python","664","deep-learning","22","838.05","False","0.1481","0","1","0.3127","1","1","0.3333","topic:annotations language:Python stars:>=50","[ECCV'20] Structured3D: A Large Photo-realistic Dataset for Structured 3D Modeling"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","deep-learning","23","833.64","False","0.0769","0","1","0.6538","1","1","0.3333","topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","coqui-ai/TTS","https://github.com/coqui-ai/TTS","coqui-ai","Python","45211","deep-learning","24","833.59","False","0.0541","0","1","0.7711","1","1","0.3333","topic:deep-learning stars:>=100","🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31413","deep-learning","25","833.4","False","0.0385","0","1","0.8502","1","1","0.3333","topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","deep-learning","26","818.94","False","0.037","0","1","0.7749","1","1","0.3333","topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","mbzuai-metaverse/XMem2","https://github.com/mbzuai-metaverse/XMem2","mbzuai-metaverse","Python","211","deep-learning","27","817.8","False","0.1739","0","1","0.0644","1","1","0.3333","topic:annotation-tool language:Python stars:>=50","A tool for efficient semi-supervised video object segmentation (great results with minimal manual labor) and a dataset for benchmarking"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42495","deep-learning","28","814.57","False","0.0303","0","1","0.7846","1","1","0.3333","topic:deep-learning stars:>=100","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41915","deep-learning","29","812.15","False","0.027","0","1","0.7875","1","1","0.3333","topic:deep-learning stars:>=100","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","0ssamaak0/DLTA-AI","https://github.com/0ssamaak0/DLTA-AI","0ssamaak0","Python","360","deep-learning","30","810.07","False","0.1429","0","1","0.18","1","1","0.3333","topic:annotation language:Python stars:>=50","Data Labeling, Tracking and Annotation with AI"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","rediscovery-io/remo-python","https://github.com/rediscovery-io/remo-python","rediscovery-io","Python","187","deep-learning","0","806.71","False","0.2222","0","1","0.0383","0.6","1","0.3333","topic:annotation-tool language:Python stars:>=50",":rabbit: Python lib for remo - the app for annotations and images management in Computer Vision"
"cvat-ai/cvat","https://github.com/cvat-ai/cvat","deepfakes/faceswap","https://github.com/deepfakes/faceswap","deepfakes","Python","55204","deep-learning","0","804.63","False","0.0303","0","1","0.7277","1","1","0.3333","topic:deep-learning stars:>=100","Deepfakes Software For All"
