"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","PeterL1n/RobustVideoMatting","https://github.com/PeterL1n/RobustVideoMatting","PeterL1n","Python","9332","deep-learning","1","1014.51","True","0.3","0","1","0.5401","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56705","deep-learning","2","1013.08","True","0.1667","0","1","0.9319","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","deep-learning","3","1011.5","True","0.2308","0","1","0.8789","1","1","0.3333","topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41915","deep-learning","4","968.98","True","0.1304","0","1","0.8662","1","1","0.6667","d language:Python stars:>=50 | topic:deep-learning stars:>=100","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","yanshengjia/ml-road","https://github.com/yanshengjia/ml-road","yanshengjia","Python","4746","deep-learning","5","926.51","True","0.2308","0","1","0.3933","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Machine Learning and Agentic AI Resources, Practice and Research"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","zalandoresearch","Python","12722","deep-learning","6","925.04","True","0.1875","0","1","0.6073","1","1","0.3333","topic:computer-vision language:Python stars:>=50","A MNIST-like fashion product database. Benchmark :point_down: "
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29395","deep-learning","7","923.11","True","0.15","0","1","0.7892","1","1","0.3333","topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","deep-learning","8","920.89","True","0.1905","0","1","0.5683","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Refine high-quality datasets and visual AI models"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","deep-learning","9","915.98","True","0.0769","0","1","0.8386","1","1","0.6667","5 language:Python stars:>=50 | topic:deep-learning stars:>=100","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","PaddlePaddle/models","https://github.com/PaddlePaddle/models","PaddlePaddle","Python","6943","deep-learning","10","913.27","True","0.2","0","1","0.4759","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Officially maintained, supported by PaddlePaddle, including CV, NLP, Speech, Rec, TS, big models and so on."
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","deepfakes/faceswap","https://github.com/deepfakes/faceswap","deepfakes","Python","55204","deep-learning","11","902.06","True","0.1","0","1","0.926","1","1","0.3333","topic:deep-learning stars:>=100","Deepfakes Software For All"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","serengil/deepface","https://github.com/serengil/deepface","serengil","Python","22662","deep-learning","12","900.95","True","0.1364","0","1","0.7327","1","1","0.3333","d language:Python stars:>=50","A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","deep-learning","13","899.24","False","0.1538","0","1","0.633","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Face recognition using Tensorflow"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25104","deep-learning","14","888","False","0.1176","0","1","0.7549","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Image-to-Image Translation in PyTorch"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","xuebinqin/U-2-Net","https://github.com/xuebinqin/U-2-Net","xuebinqin","Python","9724","deep-learning","15","884.54","False","0.1538","0","1","0.549","1","1","0.3333","topic:computer-vision language:Python stars:>=50","The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection."""
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57330","deep-learning","16","863.49","False","0","0","1","0.9342","1","1","0.6667","5 language:Python stars:>=50 | topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","NVIDIA/pix2pixHD","https://github.com/NVIDIA/pix2pixHD","NVIDIA","Python","6931","deep-learning","17","853.21","False","0.1333","0","1","0.4755","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Synthesizing and manipulating 2048x1024 images with conditional GANs"
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26229","deep-learning","18","848.06","False","0.0714","0","1","0.7644","1","1","0.3333","d language:Python stars:>=50","deep learning for image processing including classification and object-detection etc."
"d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","huggingface/diffusers","https://github.com/huggingface/diffusers","huggingface","Python","33529","deep-learning","19","843.11","False","0","0","1","0.8178","1","1","0.6667","d language:Python stars:>=50 | topic:deep-learning stars:>=100","🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch."
