"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","chenriwei/DeepFace","https://github.com/chenriwei/DeepFace","chenriwei","Python","1507","deep-learning","1","1039.47","True","0.3333","0","1","0.5112","1","1","0.3333","topic:face-detection language:Python stars:>=50","Face analysis mainly based on Caffe. At this time, face analysis tasks like detection, alignment and recognition have been done."
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","timesler/facenet-pytorch","https://github.com/timesler/facenet-pytorch","timesler","Python","5145","deep-learning","2","1028.97","True","0.2143","0","1","0.7778","1","1","0.6667","topic:face-detection language:Python stars:>=50 | face language:Python stars:>=50","Pretrained Pytorch face detection (MTCNN) and facial recognition (InceptionResnet) models"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","iitzco/faced","https://github.com/iitzco/faced","iitzco","Python","551","deep-learning","3","1028.55","True","0.3636","0","1","0.293","1","1","0.3333","topic:face-detection language:Python stars:>=50","🚀 😏 Near Real Time CPU Face detection using deep learning"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","1adrianb/face-alignment","https://github.com/1adrianb/face-alignment","1adrianb","Python","7515","deep-learning","4","1014.14","True","0.1818","0","1","0.86","1","1","0.6667","topic:face-detection language:Python stars:>=50 | face language:Python stars:>=50",":fire: 2D and 3D Face alignment library build using pytorch "
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","yanshengjia/ml-road","https://github.com/yanshengjia/ml-road","yanshengjia","Python","4746","deep-learning","5","1008.04","True","0.25","0","1","0.7602","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Machine Learning and Agentic AI Resources, Practice and Research"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38298","deep-learning","6","1005.01","True","0.1304","0","1","0.7864","1","1","1","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","wkentaro/labelme","https://github.com/wkentaro/labelme","wkentaro","Python","15813","deep-learning","7","999.8","True","0.1429","0","1","0.9785","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation."
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","deep-learning","8","999.24","True","0.1538","0","1","0.633","1","1","1","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","LeslieZhoa/tensorflow-MTCNN","https://github.com/LeslieZhoa/tensorflow-MTCNN","LeslieZhoa","Python","364","deep-learning","9","998.06","True","0.375","0","1","0.2032","0.8","1","0.3333","topic:face-detection language:Python stars:>=50","人脸检测MTCNN算法，采用tensorflow框架编写，从理解到训练，中文注释完全，含测试和训练，支持摄像头"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","PeterL1n/RobustVideoMatting","https://github.com/PeterL1n/RobustVideoMatting","PeterL1n","Python","9332","deep-learning","10","988.73","True","0.2","0","1","0.907","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","serengil/deepface","https://github.com/serengil/deepface","serengil","Python","22662","deep-learning","11","986.13","True","0.1429","0","1","0.9003","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | face language:Python stars:>=50","A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59711","deep-learning","12","984.38","True","0.1818","0","1","0.6899","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","ZhaoJ9014/face.evoLVe","https://github.com/ZhaoJ9014/face.evoLVe","ZhaoJ9014","Python","3588","deep-learning","13","978.94","True","0.1739","0","1","0.6995","1","1","0.6667","topic:face-detection language:Python stars:>=50 | face language:Python stars:>=50","🔥🔥High-Performance Face Recognition Library on PaddlePaddle & PyTorch🔥🔥"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","Hironsan/BossSensor","https://github.com/Hironsan/BossSensor","Hironsan","Python","6281","deep-learning","14","973.69","True","0.2","0","1","0.8211","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Hide screen when boss is approaching."
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","deepinsight/insightface","https://github.com/deepinsight/insightface","deepinsight","Python","28583","deep-learning","15","968.73","True","0.1333","0","1","0.8499","1","1","0.6667","topic:face-detection language:Python stars:>=50 | face language:Python stars:>=50","State-of-the-art 2D and 3D Face Analysis Project"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","hzwer/ECCV2022-RIFE","https://github.com/hzwer/ECCV2022-RIFE","hzwer","Python","5411","deep-learning","16","968.02","True","0.2","0","1","0.7887","1","1","0.3333","topic:computer-vision language:Python stars:>=50","ECCV2022 - Real-Time Intermediate Flow Estimation for Video Frame Interpolation"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25104","deep-learning","17","966.17","True","0.125","0","1","0.8781","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50","Image-to-Image Translation in PyTorch"
