"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21483","llm","1","1029.43","True","0.1379","0","1","0.8874","1","1","1","topic:computer-vision language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","lucidrains/vit-pytorch","https://github.com/lucidrains/vit-pytorch","lucidrains","Python","25141","llm","2","1011.54","True","0.1","0.1111","1","0.8532","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | pytorch language:Python stars:>=50","Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch"
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42410","llm","3","958.86","True","0.0882","0","1","0.7397","1","1","1","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50 | topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","llm","4","952.74","True","0.0968","0","1","0.9466","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50","pix2tex: Using a ViT to convert images of equations into LaTeX code."
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","microsoft/JARVIS","https://github.com/microsoft/JARVIS","microsoft","Python","24688","llm","5","950","True","0.1111","0","1","0.8572","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50","JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","mlfoundations/open_clip","https://github.com/mlfoundations/open_clip","mlfoundations","Python","13764","llm","6","944.93","True","0.1364","0","1","0.984","1","1","0.3333","topic:computer-vision language:Python stars:>=50","An open source implementation of CLIP."
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11683","llm","7","930.66","True","0.1212","0","1","0.9804","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Low-code framework for building custom LLMs, neural networks, and other AI models"
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","qubvel-org","Python","11523","llm","8","926.64","True","0.0571","0.0833","1","0.9774","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Semantic segmentation models with 500+ pretrained convolutional and transformer-based backbones."
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160211","llm","9","910.76","True","0.0909","0","1","0.4511","1","1","1","topic:deep-learning language:Python stars:>=50 | pytorch language:Python stars:>=50 | topic:llm stars:>=100","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","huggingface/pytorch-image-models","https://github.com/huggingface/pytorch-image-models","huggingface","Python","36741","llm","10","894.1","False","0.0571","0.0889","1","0.7708","1","1","0.3333","pytorch language:Python stars:>=50","The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more"
