"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"GaParmar/clean-fid","https://github.com/GaParmar/clean-fid","GaParmar","Python","1149","False","False","4/23/2021 12:23:51 AM","4/27/2026 1:08:11 AM","PyTorch - FID calculation with proper image resizing and quantization steps [CVPR 2022]","computer-graphics;computer-vision;deep-learning;fid;fid-calculation;fid-score;frechet-distance;frechet-inception-distance;gan;generative-adversarial-network;image-generation;image-manipulation;pytorch","topic:computer-graphics language:Python stars:>=50"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38045","False","False","6/24/2015 2:49:52 AM","5/3/2026 3:53:58 PM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"PeterL1n/BackgroundMattingV2","https://github.com/PeterL1n/BackgroundMattingV2","PeterL1n","Python","7157","False","False","12/1/2020 12:26:17 AM","4/30/2026 3:33:28 AM","Real-Time High-Resolution Background Matting","computer-vision;machine-learning;matting;real-time","topic:computer-vision language:Python stars:>=50"
"taki0112/UGATIT","https://github.com/taki0112/UGATIT","taki0112","Python","6130","False","False","7/26/2019 12:33:54 AM","5/3/2026 6:53:46 AM","Official Tensorflow implementation of U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation (ICLR 2020)","","image-to-image language:Python stars:>=50"
"PixArt-alpha/PixArt-alpha","https://github.com/PixArt-alpha/PixArt-alpha","PixArt-alpha","Python","3298","False","False","10/12/2023 2:16:33 PM","5/2/2026 11:23:30 AM","PixArt-α: Fast Training of Diffusion Transformer for Photorealistic Text-to-Image Synthesis","","image-to-image language:Python stars:>=50"
"shunsukesaito/PIFu","https://github.com/shunsukesaito/PIFu","shunsukesaito","Python","1818","False","False","5/12/2019 6:24:48 PM","4/12/2026 4:18:43 PM","This repository contains the code for the paper ""PIFu: Pixel-Aligned Implicit Function for High-Resolution Clothed Human Digitization""","3d-printing;3d-reconstruction;arvr;computer-graphics;fashion;geometry-processing;human;iccv2019;pifu;pytorch","topic:computer-graphics language:Python stars:>=50"
"openai/CLIP","https://github.com/openai/CLIP","openai","Jupyter Notebook","33391","False","False","12/16/2020 11:24:42 AM","5/3/2026 5:39:20 PM","CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image","deep-learning;machine-learning","topic:deep-learning stars:>=100"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:computer-vision language:Python stars:>=50"
"AAnoosheh/ComboGAN","https://github.com/AAnoosheh/ComboGAN","AAnoosheh","Python","138","False","False","12/17/2017 12:36:59 PM","9/1/2025 12:13:59 AM","","cyclegan;domain-adaptation;gan;image-manipulation;neural-network","topic:cyclegan language:Python stars:>=50"
"lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","False","False","12/11/2020 4:35:13 PM","5/3/2026 3:54:09 PM","pix2tex: Using a ViT to convert images of equations into LaTeX code.","dataset;deep-learning;im2latex;im2markup;im2text;image-processing;image2text;latex;latex-ocr;machine-learning;math-ocr;ocr;python;pytorch;transformer;vision-transformer;vit","image-to-image language:Python stars:>=50 | pytorch language:Python stars:>=50"
