"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","taesungp/contrastive-unpaired-translation","https://github.com/taesungp/contrastive-unpaired-translation","taesungp","Python","2510","deep-learning","1","1591.35","True","0.6154","0.3077","1","0.5","1","1","1","topic:computer-graphics language:Python stars:>=50 | topic:cyclegan language:Python stars:>=50 | image-to-image language:Python stars:>=50","Contrastive unpaired image-to-image translation, faster and lighter training than cyclegan (ECCV 2020, in PyTorch)"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","aitorzip/PyTorch-CycleGAN","https://github.com/aitorzip/PyTorch-CycleGAN","aitorzip","Python","1322","deep-learning","2","1410.27","True","0.5385","0.25","1","0.3609","1","1","0.6667","topic:computer-graphics language:Python stars:>=50 | topic:cyclegan language:Python stars:>=50","A clean and readable Pytorch implementation of CycleGAN"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","mit-han-lab/anycost-gan","https://github.com/mit-han-lab/anycost-gan","mit-han-lab","Python","782","deep-learning","3","1316.3","True","0.6923","0","1","0.247","1","1","0.3333","topic:computer-graphics language:Python stars:>=50","[CVPR 2021] Anycost GANs for Interactive Image Synthesis and Editing"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","NVIDIA/pix2pixHD","https://github.com/NVIDIA/pix2pixHD","NVIDIA","Python","6931","deep-learning","4","1310.71","True","0.5385","0","1","0.7205","1","1","0.6667","topic:computer-graphics language:Python stars:>=50 | topic:computer-vision language:Python stars:>=50","Synthesizing and manipulating 2048x1024 images with conditional GANs"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","JunlinHan/DCLGAN","https://github.com/JunlinHan/DCLGAN","JunlinHan","Python","178","deep-learning","5","1304.55","True","0.7273","0","1","0","1","1","0.3333","topic:cyclegan language:Python stars:>=50","Code for Dual Contrastive Learning for Unsupervised Image-to-Image Translation, NTIRE, CVPRW 2021, oral. "
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","eveningglow/multitask-CycleGAN","https://github.com/eveningglow/multitask-CycleGAN","eveningglow","Python","98","deep-learning","6","1205","True","0.5","0.2","1","0","0.8","1","0.3333","topic:cyclegan language:Python stars:>=50","Pytorch implementation of multitask CycleGAN with auxiliary classification loss"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","GaParmar/clean-fid","https://github.com/GaParmar/clean-fid","GaParmar","Python","1149","deep-learning","7","1201.17","True","0.5","0.0667","1","0.3305","1","1","0.3333","topic:computer-graphics language:Python stars:>=50","PyTorch - FID calculation with proper image resizing and quantization steps [CVPR 2022]"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","eveningglow/BicycleGAN-pytorch","https://github.com/eveningglow/BicycleGAN-pytorch","eveningglow","Python","102","deep-learning","8","1096.63","True","0.4615","0.125","1","0","0.6","1","0.3333","topic:cyclegan language:Python stars:>=50","Pytorch implementation of BicycleGAN with implementation details"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","yiranran/APDrawingGAN","https://github.com/yiranran/APDrawingGAN","yiranran","Python","811","deep-learning","9","1080.32","True","0.4286","0","1","0.2549","1","1","0.3333","topic:computer-graphics language:Python stars:>=50","Code for APDrawingGAN: Generating Artistic Portrait Drawings from Face Photos with Hierarchical GANs (CVPR 2019 Oral)"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","Tandon-A/CycleGAN_ssim","https://github.com/Tandon-A/CycleGAN_ssim","Tandon-A","Python","82","deep-learning","10","1078.07","True","0.4706","0.0455","1","0","0.8","1","0.3333","topic:cyclegan language:Python stars:>=50","Comparing different similarity functions for reconstruction of image on CycleGAN. (https://tandon-a.github.io/CycleGAN_ssim/) Training cycleGAN with different loss functions to improve visual quality of produced images"
