"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21483","llm","1","981.85","True","0.2","0","1","0.8677","1","1","0.3333","topic:computer-vision language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42410","llm","2","954.58","True","0.1429","0","1","0.7201","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","jacobgil","Python","12788","llm","3","930.66","True","0.1212","0","1","0.9804","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","mlfoundations/open_clip","https://github.com/mlfoundations/open_clip","mlfoundations","Python","13764","llm","4","926.77","True","0.12","0","1","0.9644","1","1","0.3333","topic:computer-vision language:Python stars:>=50","An open source implementation of CLIP."
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","katanaml/sparrow","https://github.com/katanaml/sparrow","katanaml","Python","5154","llm","5","901.91","True","0.12","0","1","0.8223","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Structured data extraction and instruction calling with ML, LLM and Vision LLM"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","rohitg00/ai-engineering-from-scratch","https://github.com/rohitg00/ai-engineering-from-scratch","rohitg00","Python","6259","llm","6","901.29","True","0.1111","0","1","0.8645","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Learn it. Build it. Ship it for others."
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","llm","7","891.62","False","0.0882","0","1","0.9269","1","1","0.3333","l language:Python stars:>=50","pix2tex: Using a ViT to convert images of equations into LaTeX code."
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","microsoft/RD-Agent","https://github.com/microsoft/RD-Agent","microsoft","Python","12771","llm","8","890.85","False","0.0769","0","1","0.9807","1","1","0.3333","topic:data-science language:Python stars:>=50","Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through R&D-Agent, which lets AI drive data-driven AI. 🔗https://aka.ms/RD-Agent-Tech-Report"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","run-llama/llama_index","https://github.com/run-llama/llama_index","run-llama","Python","49113","llm","9","884.72","False","0.0714","0","1","0.6882","1","1","0.6667","l language:Python stars:>=50 | topic:llm stars:>=100","LlamaIndex is the leading document agent and OCR platform"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","microsoft/LoRA","https://github.com/microsoft/LoRA","microsoft","Python","13492","llm","10","883.82","False","0.0714","0","1","0.9687","1","1","0.3333","low-code language:Python stars:>=50","Code for loralib, an implementation of ""LoRA: Low-Rank Adaptation of Large Language Models"""
