"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","open-mmlab/mmsegmentation","https://github.com/open-mmlab/mmsegmentation","open-mmlab","Python","9762","llm","1","1091.78","True","0.1923","0","1","0.964","1","1","1","topic:deeplabv3 language:Python stars:>=50 | semantic language:Python stars:>=50 | segmentation language:Python stars:>=50","OpenMMLab Semantic Segmentation Toolbox and Benchmark."
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","jacobgil/pytorch-grad-cam","https://github.com/jacobgil/pytorch-grad-cam","jacobgil","Python","12788","llm","2","976.64","True","0.0571","0.0833","1","0.9774","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | segmentation language:Python stars:>=50","Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","qubvel/segmentation_models","https://github.com/qubvel/segmentation_models","qubvel","Python","4925","deep-learning","3","962.89","True","0.1765","0.3636","1","0.8154","1","0","0.3333","segmentation language:Python stars:>=50","Segmentation models with pretrained backbones. Keras and TensorFlow Keras."
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","HRNet/HRNet-Semantic-Segmentation","https://github.com/HRNet/HRNet-Semantic-Segmentation","HRNet","Python","3324","llm","4","946.22","True","0.0714","0.0833","1","0.7301","1","1","0.6667","semantic language:Python stars:>=50 | segmentation language:Python stars:>=50","The OCR approach is rephrased as Segmentation Transformer: https://arxiv.org/abs/1909.11065. This is an official implementation of semantic segmentation for HRNet. https://arxiv.org/abs/1908.07919"
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","lucidrains/vit-pytorch","https://github.com/lucidrains/vit-pytorch","lucidrains","Python","25141","llm","5","904.57","True","0.087","0.0476","1","0.8306","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch"
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","mlfoundations/open_clip","https://github.com/mlfoundations/open_clip","mlfoundations","Python","13764","llm","6","887.48","False","0.0769","0","1","0.9614","1","1","0.3333","topic:computer-vision language:Python stars:>=50","An open source implementation of CLIP."
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11683","llm","7","871.84","False","0.0526","0","1","0.997","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Low-code framework for building custom LLMs, neural networks, and other AI models"
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","milesial/Pytorch-UNet","https://github.com/milesial/Pytorch-UNet","milesial","Python","11420","deep-learning","8","867.96","False","0.1071","0.1875","1","0.9981","1","0","0.6667","semantic language:Python stars:>=50 | segmentation language:Python stars:>=50","PyTorch implementation of the U-Net for image semantic segmentation with high quality images"
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21483","llm","9","854.27","False","0.0588","0","1","0.8647","1","1","0.3333","topic:computer-vision language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"qubvel-org/segmentation_models.pytorch","https://github.com/qubvel-org/segmentation_models.pytorch","aurelio-labs/semantic-router","https://github.com/aurelio-labs/semantic-router","aurelio-labs","Python","3474","llm","10","852.29","False","0.0385","0.0588","1","0.7397","1","1","0.3333","semantic language:Python stars:>=50","Superfast AI decision making and intelligent processing of multi-modal data."
