"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"wkentaro/labelme","https://github.com/wkentaro/labelme","PaddleCV-SIG/PaddleLabel","https://github.com/PaddleCV-SIG/PaddleLabel","PaddleCV-SIG","Python","296","deep-learning","1","1473.95","True","0.8889","0","1","0.1369","1","1","0.3333","topic:annotations language:Python stars:>=50","飞桨智能标注，让标注快人一步"
"wkentaro/labelme","https://github.com/wkentaro/labelme","cvat-ai/cvat","https://github.com/cvat-ai/cvat","cvat-ai","Python","15756","deep-learning","2","1109.65","True","0.2609","0","1","0.9992","1","1","0.6667","topic:annotations language:Python stars:>=50 | topic:computer-vision language:Python stars:>=50","Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale."
"wkentaro/labelme","https://github.com/wkentaro/labelme","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38298","deep-learning","3","1087.04","True","0.2174","0","1","0.8079","1","1","1","topic:classification language:Python stars:>=50 | topic:computer-vision language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"wkentaro/labelme","https://github.com/wkentaro/labelme","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","deep-learning","4","1057.41","True","0.2143","0","1","0.6546","1","1","1","topic:computer-vision language:Python stars:>=50 | l language:Python stars:>=50 | topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"wkentaro/labelme","https://github.com/wkentaro/labelme","WZMIAOMIAO/deep-learning-for-image-processing","https://github.com/WZMIAOMIAO/deep-learning-for-image-processing","WZMIAOMIAO","Python","26229","deep-learning","5","1034.34","True","0.1429","0","1","0.8901","1","1","1","topic:classification language:Python stars:>=50 | image language:Python stars:>=50 | l language:Python stars:>=50","deep learning for image processing including classification and object-detection etc."
"wkentaro/labelme","https://github.com/wkentaro/labelme","azavea/raster-vision","https://github.com/azavea/raster-vision","azavea","Python","2218","deep-learning","6","1007.52","True","0.2857","0","1","0.5736","1","1","0.3333","topic:classification language:Python stars:>=50","An open source library and framework for deep learning on satellite and aerial imagery."
"wkentaro/labelme","https://github.com/wkentaro/labelme","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","deep-learning","7","977.86","True","0.1429","0","1","0.8531","1","1","0.6667","l language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"wkentaro/labelme","https://github.com/wkentaro/labelme","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11192","deep-learning","8","970.69","True","0.1765","0","1","0.925","1","1","0.3333","topic:computer-vision language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI"
"wkentaro/labelme","https://github.com/wkentaro/labelme","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56705","deep-learning","9","970.47","True","0.16","0","1","0.7227","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"wkentaro/labelme","https://github.com/wkentaro/labelme","junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25104","deep-learning","10","957.44","True","0.1111","0","1","0.8996","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | image language:Python stars:>=50","Image-to-Image Translation in PyTorch"
