"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","ajbrock/Neural-Photo-Editor","https://github.com/ajbrock/Neural-Photo-Editor","ajbrock","Python","2080","deep-learning","1","1033.12","True","0.3077","0","1","0.6068","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","A simple interface for editing natural photos with generative neural networks."
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","YerevaNN/mimic3-benchmarks","https://github.com/YerevaNN/mimic3-benchmarks","YerevaNN","Python","881","deep-learning","2","1025.05","True","0.25","0.1176","1","0.4204","1","1","0.3333","topic:benchmark language:Python stars:>=50","Python suite to construct benchmark machine learning datasets from the MIMIC-III 💊 clinical database. "
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","PeterL1n/RobustVideoMatting","https://github.com/PeterL1n/RobustVideoMatting","PeterL1n","Python","9332","deep-learning","3","1020.92","True","0.2308","0","1","0.9327","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Robust Video Matting in PyTorch, TensorFlow, TensorFlow.js, ONNX, CoreML!"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","Hironsan/BossSensor","https://github.com/Hironsan/BossSensor","Hironsan","Python","6281","deep-learning","4","1005.87","True","0.2308","0","1","0.8468","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Hide screen when boss is approaching."
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","aiff22/DPED","https://github.com/aiff22/DPED","aiff22","Python","1714","deep-learning","5","988.85","True","0.2667","0","1","0.5648","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","Software and pre-trained models for automatic photo quality enhancement using Deep Convolutional Networks"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","dmlc/gluon-cv","https://github.com/dmlc/gluon-cv","dmlc","Python","5922","deep-learning","6","975.95","True","0.2","0","1","0.834","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Gluon CV Toolkit"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","deep-learning","7","975.04","True","0.1875","0","1","0.6073","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","nerfstudio-project/nerfstudio","https://github.com/nerfstudio-project/nerfstudio","nerfstudio-project","Python","11507","deep-learning","8","971.19","True","0.1667","0","1","0.9782","1","1","0.3333","topic:computer-vision language:Python stars:>=50","A collaboration friendly studio for NeRFs"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","fendouai/FaceRank","https://github.com/fendouai/FaceRank","fendouai","Python","855","deep-learning","9","962.44","True","0.2667","0","1","0.4139","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","FaceRank - Rank Face by CNN Model based on TensorFlow (add keras version). FaceRank-人脸打分基于 TensorFlow (新增 Keras 版本) 的 CNN 模型（QQ群：167122861）。技术支持：http://tensorflow123.com"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11192","deep-learning","10","962.24","True","0.1579","0","1","0.9722","1","1","0.3333","topic:computer-vision language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","NVIDIA/pix2pixHD","https://github.com/NVIDIA/pix2pixHD","NVIDIA","Python","6931","deep-learning","11","960.75","True","0.1765","0","1","0.8681","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Synthesizing and manipulating 2048x1024 images with conditional GANs"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","amdegroot/ssd.pytorch","https://github.com/amdegroot/ssd.pytorch","amdegroot","Python","5234","deep-learning","12","960","True","0.1875","0","1","0.8072","1","1","0.3333","topic:computer-vision language:Python stars:>=50","A PyTorch Implementation of Single Shot MultiBox Detector"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","hendrycks/robustness","https://github.com/hendrycks/robustness","hendrycks","Python","1148","deep-learning","13","958.63","True","0.25","0","1","0.4779","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","Corruption and Perturbation Robustness (ICLR 2019)"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","yanshengjia/ml-road","https://github.com/yanshengjia/ml-road","yanshengjia","Python","4746","deep-learning","14","956.29","True","0.1875","0","1","0.7859","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Machine Learning and Agentic AI Resources, Practice and Research"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","KevinMusgrave/pytorch-metric-learning","https://github.com/KevinMusgrave/pytorch-metric-learning","KevinMusgrave","Python","6321","deep-learning","15","948.42","True","0.1667","0","1","0.8481","1","1","0.3333","topic:computer-vision language:Python stars:>=50","The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch."
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","otaha178/Emotion-recognition","https://github.com/otaha178/Emotion-recognition","otaha178","Python","1233","deep-learning","16","944.03","True","0.2308","0","1","0.4934","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","Real time emotion recognition "
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25104","deep-learning","17","941.28","True","0.1579","0","1","0.8524","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Image-to-Image Translation in PyTorch"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","deepmedic/deepmedic","https://github.com/deepmedic/deepmedic","deepmedic","Python","1060","deep-learning","18","938.29","True","0.2308","0","1","0.4606","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","Efficient Multi-Scale 3D Convolutional Neural Network for Segmentation of 3D Medical Scans"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","KupynOrest/DeblurGAN","https://github.com/KupynOrest/DeblurGAN","KupynOrest","Python","2638","deep-learning","19","936.65","True","0.1905","0","1","0.6584","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","Image Deblurring using Generative Adversarial Networks"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38298","deep-learning","20","933.12","True","0.1111","0","1","0.7607","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","deep-learning","21","933.01","True","0.125","0","1","0.9743","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Face recognition using Tensorflow"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","thtrieu/darkflow","https://github.com/thtrieu/darkflow","thtrieu","Python","6147","deep-learning","22","932.36","True","0.15","0","1","0.8421","1","1","0.3333","topic:convolutional-neural-networks language:Python stars:>=50","Translate darknet to tensorflow. Load trained weights, retrain/fine-tune using tensorflow, export constant graph def to mobile devices"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","KaiyangZhou/deep-person-reid","https://github.com/KaiyangZhou/deep-person-reid","KaiyangZhou","Python","4818","deep-learning","23","930.21","True","0.1579","0","1","0.7892","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Torchreid: Deep learning person re-identification in PyTorch."
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","xuebinqin/U-2-Net","https://github.com/xuebinqin/U-2-Net","xuebinqin","Python","9724","deep-learning","24","927.29","True","0.125","0","1","0.9417","1","1","0.3333","topic:computer-vision language:Python stars:>=50","The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection."""
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","deep-learning","25","926.17","True","0.12","0","1","0.961","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Refine high-quality datasets and visual AI models"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","hzwer/ECCV2022-RIFE","https://github.com/hzwer/ECCV2022-RIFE","hzwer","Python","5411","deep-learning","26","921.09","True","0.1429","0","1","0.8144","1","1","0.3333","topic:computer-vision language:Python stars:>=50","ECCV2022 - Real-Time Intermediate Flow Estimation for Video Frame Interpolation"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","MedMNIST/MedMNIST","https://github.com/MedMNIST/MedMNIST","MedMNIST","Python","1351","deep-learning","27","919.81","True","0.2","0","1","0.5132","1","1","0.3333","topic:benchmark language:Python stars:>=50","[pip install medmnist] 18x Standardized Datasets for 2D and 3D Biomedical Image Classification"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","wkentaro/labelme","https://github.com/wkentaro/labelme","wkentaro","Python","15813","deep-learning","28","916.74","True","0.1111","0","1","0.9528","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation."
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56705","deep-learning","29","914.64","True","0.1071","0","1","0.6755","1","1","0.6667","topic:computer-vision language:Python stars:>=50 | topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"zalandoresearch/fashion-mnist","https://github.com/zalandoresearch/fashion-mnist","autogluon/autogluon","https://github.com/autogluon/autogluon","autogluon","Python","10276","deep-learning","30","913.32","True","0.1071","0","1","0.9536","1","1","0.3333","topic:computer-vision language:Python stars:>=50","Fast and Accurate ML in 3 Lines of Code"
