"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11683","False","False","12/27/2018 11:58:12 PM","5/3/2026 1:57:14 PM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:computer-vision language:Python stars:>=50"
"davidsandberg/facenet","https://github.com/davidsandberg/facenet","davidsandberg","Python","14319","False","False","2/12/2016 10:14:40 PM","5/1/2026 9:35:48 PM","Face recognition using Tensorflow","computer-vision;deep-learning;face-detection;face-recognition;facenet;mtcnn;tensorflow","topic:computer-vision language:Python stars:>=50"
"ozan-oktay/Attention-Gated-Networks","https://github.com/ozan-oktay/Attention-Gated-Networks","ozan-oktay","Python","2055","False","False","4/2/2018 9:50:07 PM","5/1/2026 6:31:18 PM","Use of Attention Gates in a Convolutional Neural Network / Medical Image Classification and Segmentation","attention-gates;attention-model;convolutional-neural-networks;image-classification;image-segmentation","topic:convolutional-neural-networks language:Python stars:>=50"
"PeterL1n/BackgroundMattingV2","https://github.com/PeterL1n/BackgroundMattingV2","PeterL1n","Python","7157","False","False","12/1/2020 12:26:17 AM","4/30/2026 3:33:28 AM","Real-Time High-Resolution Background Matting","computer-vision;machine-learning;matting;real-time","topic:computer-vision language:Python stars:>=50"
"1038lab/ComfyUI-RMBG","https://github.com/1038lab/ComfyUI-RMBG","1038lab","Python","1915","False","False","11/14/2024 5:48:27 PM","5/3/2026 3:45:57 PM","A ComfyUI custom node designed for advanced image background removal and object, face, clothes, and fashion segmentation, utilizing multiple models including RMBG-2.0, INSPYRENET, BEN, BEN2, BiRefNet, SDMatte, SAM, SAM2, SAM3 and GroundingDINO.","comfyui;comfyui-nodes;image;mask;remove-background;segmentation;stable-diffusion","fashion language:Python stars:>=50"
"deepfakes/faceswap","https://github.com/deepfakes/faceswap","deepfakes","Python","55204","False","False","12/19/2017 9:44:13 AM","5/3/2026 1:10:29 PM","Deepfakes Software For All","deep-face-swap;deep-learning;deep-neural-networks;deepface;deepfakes;deeplearning;face-swap;faceswap;fakeapp;machine-learning;myfakeapp;neural-nets;neural-networks;openfaceswap","topic:deep-learning stars:>=100"
"openai/CLIP","https://github.com/openai/CLIP","openai","Jupyter Notebook","33391","False","False","12/16/2020 11:24:42 AM","5/3/2026 5:39:20 PM","CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image","deep-learning;machine-learning","topic:deep-learning stars:>=100"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:computer-vision language:Python stars:>=50"
"OpenGVLab/InternVideo","https://github.com/OpenGVLab/InternVideo","OpenGVLab","Python","2254","False","False","11/23/2022 12:57:00 PM","4/29/2026 3:42:30 AM","[ECCV2024] Video Foundation Models & Data for Multimodal Understanding","action-recognition;benchmark;contrastive-learning;foundation-models;instruction-tuning;masked-autoencoder;multimodal;open-set-recognition;self-supervised;spatio-temporal-action-localization;temporal-action-localization;video-clip;video-data;video-dataset;video-question-answering;video-retrieval;video-understanding;vision-transformer;zero-shot-classification;zero-shot-retrieval","topic:benchmark language:Python stars:>=50"
"Kyubyong/sudoku","https://github.com/Kyubyong/sudoku","Kyubyong","Python","864","False","False","12/19/2016 1:52:51 AM","4/8/2026 2:18:18 PM","Can Neural Networks Crack Sudoku?","convolutional-neural-networks;number;puzzle;sudoku","topic:convolutional-neural-networks language:Python stars:>=50"
"mbadry1/Top-Deep-Learning","https://github.com/mbadry1/Top-Deep-Learning","mbadry1","Python","1767","False","False","3/16/2018 12:57:51 AM","4/20/2026 12:48:48 AM"," Top 200 deep learning Github repositories sorted by the number of stars.","artificial-intelligence;artificial-neural-networks;convolutional-neural-networks;deep-learning;deep-neural-networks;deep-reinforcement-learning;machine-learning;recurrent-neural-networks;stargazers-count;top-repositories","topic:convolutional-neural-networks language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38045","False","False","6/24/2015 2:49:52 AM","5/3/2026 3:53:58 PM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"open-mmlab/mmfashion","https://github.com/open-mmlab/mmfashion","open-mmlab","Python","1366","False","False","10/25/2019 5:15:34 AM","4/25/2026 4:16:08 PM","Open-source toolbox for visual fashion analysis based on PyTorch","attribute-prediction;clothes-retrieval;deep-learning;fashion-ai;landmark-detection;visual-fashion-analysis","fashion language:Python stars:>=50"
"lucidrains/vit-pytorch","https://github.com/lucidrains/vit-pytorch","lucidrains","Python","25141","False","False","10/3/2020 10:47:24 PM","5/3/2026 2:16:37 PM","Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","artificial-intelligence;attention-mechanism;computer-vision;image-classification;transformers","topic:computer-vision language:Python stars:>=50"
"NVlabs/neuralangelo","https://github.com/NVlabs/neuralangelo","NVlabs","Python","4591","False","False","6/23/2023 8:52:42 PM","5/1/2026 10:13:07 AM","Official implementation of ""Neuralangelo: High-Fidelity Neural Surface Reconstruction"" (CVPR 2023)","3d-reconstruction;computer-graphics;computer-vision;neural-rendering;neural-representation","topic:computer-vision language:Python stars:>=50"
"opencv/opencv_zoo","https://github.com/opencv/opencv_zoo","opencv","Python","936","False","False","7/29/2021 7:22:20 AM","5/2/2026 11:23:51 PM","Model Zoo For OpenCV DNN and Benchmarks.","benchmark;deep-learning;model-zoo;opencv","topic:benchmark language:Python stars:>=50"
"microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41915","False","False","8/14/2020 6:46:00 AM","5/3/2026 6:01:55 PM","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","algorithmic-trading;auto-quant;deep-learning;finance;fintech;investment;machine-learning;paper;platform;python;quant;quant-dataset;quant-models;quantitative-finance;quantitative-trading;research;research-paper;stock-data","topic:deep-learning stars:>=100"
