"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","Netflix/maestro","https://github.com/Netflix/maestro","Netflix","Java","3767","mlops","1","863.83","False","0.0882","0","1","0.7681","1","1","0.3333","topic:data-science language:Java stars:>=50","Maestro: Netflix’s Workflow Orchestrator"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","opendatadiscovery/odd-platform","https://github.com/opendatadiscovery/odd-platform","opendatadiscovery","Java","1405","mlops","2","846.87","False","0.0278","0","1","0.9821","1","1","0.3333","topic:data-science language:Java stars:>=50","First open-source data discovery and observability platform. We make a life for data practitioners easy so you can focus on your business."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","jenkinsci/pipeline-aws-plugin","https://github.com/jenkinsci/pipeline-aws-plugin","jenkinsci","Java","429","mlops","3","825.96","False","0.0476","0","1","0.7606","1","1","0.3333","topic:aws language:Java stars:>=50","Jenkins Pipeline Step Plugin for AWS"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","stacksimplify/kubernetes-fundamentals","https://github.com/stacksimplify/kubernetes-fundamentals","stacksimplify","Java","586","mlops","4","823.96","False","0.0323","0","1","0.8282","1","1","0.3333","topic:aws language:Java stars:>=50","Kubernetes Fundamentals"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","SeldonIO/seldon-server","https://github.com/SeldonIO/seldon-server","SeldonIO","Java","1479","deep-learning","5","785.55","False","0.1562","0","1","0.971","1","0","0.6667","topic:aws language:Java stars:>=50 | topic:azure language:Java stars:>=50","Machine Learning Platform and Recommendation Engine built on Kubernetes"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6996","mlops","6","768.04","False","0.2857","0","0","0.6337","1","1","0.3333","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","datumbox/datumbox-framework","https://github.com/datumbox/datumbox-framework","datumbox","Java","1085","nlp","7","679.03","False","0.0952","0","1","0.9618","1","0","0.3333","topic:data-science language:Java stars:>=50","Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","RumbleDB/rumble","https://github.com/RumbleDB/rumble","RumbleDB","Java","239","data-science","8","665.36","False","0.0882","0","1","0.634","1","0","0.6667","topic:azure language:Java stars:>=50 | topic:data-science language:Java stars:>=50","Quick start: pip install jsoniq ⛈️ RumbleDB 2.1.0 ""Cedrus Libani"" 🌳  for Apache Spark | Run queries on your large-scale, messy datasets (JSON, text, CSV, Parquet, Delta...) | Data Lakehouse with Updates, Scripting, Declarative Machine Learning and more"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","aws/serverless-java-container","https://github.com/aws/serverless-java-container","aws","Java","1556","editor","9","662.23","False","0.0769","0","1","0.96","1","0","0.3333","topic:aws language:Java stars:>=50","A Java wrapper to run Spring, Spring Boot, Jersey, and other apps inside AWS Lambda."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","epam/cloud-pipeline","https://github.com/epam/cloud-pipeline","epam","Java","160","llm","10","649.03","False","0.087","0","1","0.5473","1","0","0.6667","topic:aws language:Java stars:>=50 | topic:azure language:Java stars:>=50","Cloud agnostic genomics analysis,  scientific computation and storage platform"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","zinggAI/zingg","https://github.com/zinggAI/zingg","zinggAI","Java","1194","editor","11","648.37","False","0.0571","0","1","0.9825","1","0","0.3333","topic:data-science language:Java stars:>=50","Scalable identity resolution, entity resolution, data mastering and deduplication using ML"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","elki-project/elki","https://github.com/elki-project/elki","elki-project","Java","831","computer-vision","12","641.25","False","0.0645","0","1","0.9039","1","0","0.3333","topic:data-science language:Java stars:>=50","ELKI Data Mining Toolkit "
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","awslabs/aws-sdk-android-samples","https://github.com/awslabs/aws-sdk-android-samples","awslabs","Java","1048","","13","639.36","False","0.0526","0","1","0.9543","1","0","0.3333","topic:aws language:Java stars:>=50","This repository has samples that demonstrate various aspects of the AWS SDK for Android, you can get the SDK source on Github https://github.com/aws-amplify/aws-sdk-android/"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","awspring/spring-cloud-aws","https://github.com/awspring/spring-cloud-aws","awspring","Java","1090","","14","634.4","False","0.0455","0","1","0.9628","1","0","0.3333","topic:aws language:Java stars:>=50","The New Home for Spring Cloud AWS"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","ixrjog/opscloud4","https://github.com/ixrjog/opscloud4","ixrjog","Java","1379","","15","633.58","False","0.04","0","1","0.9862","1","0","0.3333","topic:aws language:Java stars:>=50","云上运维"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","tmobile/pacbot","https://github.com/tmobile/pacbot","tmobile","Java","1305","reinforcement","16","629.68","False","0.0333","0","1","0.9982","1","0","0.3333","topic:aws language:Java stars:>=50","PacBot (Policy as Code Bot)"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","jtablesaw/tablesaw","https://github.com/jtablesaw/tablesaw","jtablesaw","Java","3749","data-science","17","619.6","False","0.0667","0","1","0.7691","1","0","0.3333","topic:data-science language:Java stars:>=50","Java dataframe and visualization library"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","microsoft/HydraLab","https://github.com/microsoft/HydraLab","microsoft","Java","1026","llm","18","619.31","False","0.0312","0","1","0.9497","1","0","0.3333","topic:azure language:Java stars:>=50","Intelligent cloud testing made easy."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","humank/ddd-practitioners-ref","https://github.com/humank/ddd-practitioners-ref","humank","Java","320","reinforcement","19","619","False","0.08","0","1","0.6971","1","0","0.3333","topic:aws language:Java stars:>=50","EventStorming workshop, this is a hands-on workshop. Contains such topics: DDD, Event storming, Specification by example. Including the AWS product : Serverless Lambda , DynamoDB, Fargate, CloudWatch."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10860","mlops","20","616.91","False","0.1364","0","0","0.5382","1","1","0.3333","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","sitewhere/sitewhere","https://github.com/sitewhere/sitewhere","sitewhere","Java","1042","llm","21","616.78","False","0.0278","0","1","0.953","1","0","0.3333","topic:aws language:Java stars:>=50","SiteWhere is an industrial strength open-source application enablement platform for the Internet of Things (IoT). It provides a multi-tenant microservice-based infrastructure that includes device/asset management, data ingestion, big-data storage, and integration through a modern, scalable architecture.  SiteWhere provides REST APIs for all system functionality.  SiteWhere provides SDKs for many common device platforms including Android, iOS, Arduino, and any Java-capable platform such as Raspberry Pi rapidly accelerating the speed of innovation."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","aws/aws-sdk-java-v2","https://github.com/aws/aws-sdk-java-v2","aws","Java","2576","","22","616.71","False","0.0476","0","1","0.8506","1","0","0.3333","topic:aws language:Java stars:>=50","The official AWS SDK for Java - Version 2"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","gaul/s3proxy","https://github.com/gaul/s3proxy","gaul","Java","2242","llm","23","616.63","False","0.0417","0","1","0.8807","1","0","0.3333","topic:azure language:Java stars:>=50","Access other storage backends via the S3 API"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","abd0hrz/DevOps-projects","https://github.com/abd0hrz/DevOps-projects","abd0hrz","Java","55","","24","615.64","False","0.15","0","1","0.318","1","0","0.3333","topic:azure language:Java stars:>=50","DevOps-projects"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","Azure/azure-sdk-for-java","https://github.com/Azure/azure-sdk-for-java","Azure","Java","2564","","25","613.16","False","0.0435","0","1","0.8516","1","0","0.3333","topic:azure language:Java stars:>=50","This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/java/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-java. "
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","advantageous/qbit","https://github.com/advantageous/qbit","advantageous","Java","707","","26","613.05","False","0.04","0","1","0.8689","1","0","0.3333","topic:aws language:Java stars:>=50","The Java microservice lib. QBit is a reactive programming lib for building microservices - JSON, HTTP, WebSocket, and REST. QBit uses reactive programming to build elastic REST, and WebSockets based cloud friendly, web services. SOA evolved for mobile and cloud.  ServiceDiscovery, Health, reactive StatService, events, Java idiomatic reactive programming for Microservices."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","Teevity/ice","https://github.com/Teevity/ice","Teevity","Java","2882","","27","612.44","False","0.0476","0","1","0.8262","1","0","0.3333","topic:aws language:Java stars:>=50","AWS Usage Tool"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","datacleaner/DataCleaner","https://github.com/datacleaner/DataCleaner","datacleaner","Java","650","data-science","28","608.48","False","0.0385","0","1","0.8507","1","0","0.3333","topic:data-science language:Java stars:>=50","The premier open source Data Quality solution"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","datavane/datavines","https://github.com/datavane/datavines","datavane","Java","737","data-science","29","605.1","False","0.0294","0","1","0.8779","1","0","0.3333","topic:data-science language:Java stars:>=50","Know your data better！Datavines is Next-gen Data Observability Platform, support metadata manage and data quality."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","SeldonIO/seldon-core","https://github.com/SeldonIO/seldon-core","SeldonIO","Go","4746","mlops","30","603.9","False","0.087","0","0","0.7179","1","1","0.3333","topic:mlops stars:>=100","An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","abstracta/jmeter-java-dsl","https://github.com/abstracta/jmeter-java-dsl","abstracta","Java","531","","0","603.69","False","0.0417","0","1","0.8068","1","0","0.3333","topic:azure language:Java stars:>=50","Simple JMeter performance tests API"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","mcekovic/tennis-crystal-ball","https://github.com/mcekovic/tennis-crystal-ball","mcekovic","Java","286","data-science","0","602.74","False","0.0667","0","1","0.6728","1","0","0.3333","topic:data-science language:Java stars:>=50","Ultimate Tennis Statistics and Tennis Crystal Ball - Tennis Big Data Analysis and Prediction"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","aws-containers/retail-store-sample-app","https://github.com/aws-containers/retail-store-sample-app","aws-containers","Java","557","","0","601.34","False","0.037","0","1","0.8172","1","0","0.3333","topic:aws language:Java stars:>=50","💼 Sample application for demonstrating container platforms and related technology"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","abixen/abixen-platform","https://github.com/abixen/abixen-platform","abixen","Java","690","editor","0","601.13","False","0.0278","0","1","0.8636","1","0","0.3333","topic:aws language:Java stars:>=50","Abixen Platform is a microservices based software platform for building enterprise applications delivering functionalities through creating particular microservices and integrating by provided CMS."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","aws/aws-sdk-java","https://github.com/aws/aws-sdk-java","aws","Java","4198","","0","600.3","False","0.05","0","1","0.7446","1","0","0.3333","topic:aws language:Java stars:>=50","The official AWS SDK for Java 1.x (In Maintenance Mode, End-of-Life on 12/31/2025). The AWS SDK for Java 2.x is available here: https://github.com/aws/aws-sdk-java-v2/"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","openraven/magpie","https://github.com/openraven/magpie","openraven","Java","201","data-science","0","598.63","False","0.0769","0","1","0.5965","1","0","0.3333","topic:aws language:Java stars:>=50","A Cloud Security Posture Manager or CSPM with a focus on security analysis for the modern cloud stack and a focus on the emerging threat landscape such as cloud ransomware and supply chain attacks. "
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","aws-powertools/powertools-lambda-java","https://github.com/aws-powertools/powertools-lambda-java","aws-powertools","Java","311","reinforcement","0","593.28","False","0.0526","0","1","0.6909","1","0","0.3333","topic:aws language:Java stars:>=50","Powertools is a developer toolkit to implement Serverless best practices and increase developer velocity."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","mikeroyal/AWS-Guide","https://github.com/mikeroyal/AWS-Guide","mikeroyal","Java","548","editor","0","592.39","False","0.0278","0","1","0.8137","1","0","0.3333","topic:aws language:Java stars:>=50","Amazon Web Services (AWS) Guide. Learn all about Amazon Web Services Tools, Services, and Certifications."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","haifengl/smile","https://github.com/haifengl/smile","haifengl","Java","6368","llm","0","590.9","False","0.0571","0","1","0.6541","1","0","0.3333","topic:data-science language:Java stars:>=50","Statistical Machine Intelligence & Learning Engine"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","floci-io/floci","https://github.com/floci-io/floci","floci-io","Java","4317","","0","588.85","False","0.0385","0","1","0.7385","1","0","0.3333","topic:aws language:Java stars:>=50","Light, fluffy, and always free - AWS Local Emulator "
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","microsoft/azure-maven-plugins","https://github.com/microsoft/azure-maven-plugins","microsoft","Java","291","","0","588.4","False","0.05","0","1","0.6766","1","0","0.3333","topic:azure language:Java stars:>=50","Maven plugins for Azure"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","aws-samples/designing-cloud-native-microservices-on-aws","https://github.com/aws-samples/designing-cloud-native-microservices-on-aws","aws-samples","Java","316","reinforcement","0","588.19","False","0.0741","0","1","0.6944","0.8","0","0.3333","topic:aws language:Java stars:>=50","Introduce a fluent way to design cloud native microservices via EventStorming workshop, this is a hands-on workshop. Contains such topics: DDD, Event storming, Specification by example. Including the AWS product : Serverless Lambda , DynamoDB, Fargate, CloudWatch."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","aws-amplify/amplify-android","https://github.com/aws-amplify/amplify-android","aws-amplify","Java","283","","0","587.34","False","0.05","0","1","0.6705","1","0","0.3333","topic:aws language:Java stars:>=50","The fastest and easiest way to use AWS from your Android app."
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","jenkinsci/ec2-plugin","https://github.com/jenkinsci/ec2-plugin","jenkinsci","Java","292","reinforcement","0","586.38","False","0.0476","0","1","0.6773","1","0","0.3333","topic:aws language:Java stars:>=50","Jenkins ec2 plugin"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","CategoricalData/CQL","https://github.com/CategoricalData/CQL","CategoricalData","Java","336","editor","0","586.34","False","0.0417","0","1","0.7077","1","0","0.3333","topic:data-science language:Java stars:>=50","Categorical Query Language IDE"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","classmethod/gradle-aws-plugin","https://github.com/classmethod/gradle-aws-plugin","classmethod","Java","277","","0","584.39","False","0.0476","0","1","0.6659","1","0","0.3333","topic:aws language:Java stars:>=50","Gradle plugin to manage Amazon Web Services"
"logicalclocks/hopsworks","https://github.com/logicalclocks/hopsworks","CertifaiAI/classifai","https://github.com/CertifaiAI/classifai","CertifaiAI","Java","125","deep-learning","0","583.46","False","0.08","0","1","0.4941","1","0","0.3333","topic:data-science language:Java stars:>=50",":fire: One of the most comprehensive open-source data annotation platform."
