"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"karatelabs/karate","https://github.com/karatelabs/karate","karatelabs","Java","8847","False","False","2/7/2017 3:59:17 PM","5/3/2026 4:23:43 AM","Test Automation Made Simple","api-testing;assertions;automated-testing;automation;bdd;contract-testing;cucumber;developer-tools;load-testing;microservices;mock-server;test-automation;testing;testing-framework;testing-tools;webdriver","topic:automation language:Java stars:>=50"
"testsigmahq/testsigma","https://github.com/testsigmahq/testsigma","testsigmahq","Java","1185","False","False","12/27/2021 8:20:06 AM","4/29/2026 11:43:52 AM","Testsigma is an agentic test automation platform powered by AI-coworkers that work alongside QA teams to simplify testing, accelerate releases and improve quality across web, mobile, desktop, API, and applications like Salesforce and SAP.","automated-testing;automation;automation-tools;browser-testing;cross-browser-testing;devops;e2e-testing;end-to-end-testing;functional-testing;mobile-testing;regression-testing;selenuim;test;test-automation;test-automation-framework;test-framework;testing;testing-tools;testsigma;web-testing","topic:automation language:Java stars:>=50"
"smooks/smooks","https://github.com/smooks/smooks","smooks","Java","417","False","False","12/23/2010 9:24:49 PM","4/22/2026 6:49:02 AM","An extensible Java framework for building event-driven applications that break up XML and non-XML data into chunks for data integration","analytics;chunking;enterprise-integration;etl;event-driven;java;pipelines;sax;smooks;stream-processing;xml","topic:analytics language:Java stars:>=50"
"crate/crate","https://github.com/crate/crate","crate","Java","4389","False","False","4/10/2013 9:17:16 AM","5/2/2026 4:24:48 AM","CrateDB is a distributed and scalable SQL database for storing and analyzing massive amounts of data in near real-time, even with complex queries. It is PostgreSQL-compatible, and based on Lucene.","analytics;big-data;cratedb;database;dbms;distributed;distributed-database;distributed-sql-database;elasticsearch;industrial-iot;iot;iot-analytics;iot-database;lucene;olap;postgresql;sql;time-series;tsdb;vector-database","topic:analytics language:Java stars:>=50"
"skypilot-org/skypilot","https://github.com/skypilot-org/skypilot","skypilot-org","Python","9924","False","False","8/11/2021 11:32:15 PM","5/3/2026 3:12:12 AM","Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, Slurm, 20+ clouds, on-prem).","cloud-computing;cloud-management;cost-optimization;deep-learning;distributed-training;gpu;hyperparameter-tuning;job-queue;job-scheduler;llm-serving;llm-training;machine-learning;ml-infrastructure;ml-platform;mlops;multicloud;slurm;spot-instances;tpu","topic:mlops stars:>=100"
"rayokota/kwack","https://github.com/rayokota/kwack","rayokota","Java","152","False","False","6/29/2024 4:40:15 AM","4/6/2026 12:02:16 PM","In-Memory Analytics for Kafka using DuckDB","analytics;duckdb;kafka","topic:analytics language:Java stars:>=50"
"LaurieWired/GhidraMCP","https://github.com/LaurieWired/GhidraMCP","LaurieWired","Java","8728","False","False","3/23/2025 5:36:55 AM","5/3/2026 12:00:27 AM","MCP Server for Ghidra","","m language:Java stars:>=50"
"evidentlyai/evidently","https://github.com/evidentlyai/evidently","evidentlyai","Jupyter Notebook","7443","False","False","11/25/2020 3:20:08 PM","5/3/2026 3:04:34 AM","Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.","data-drift;data-quality;data-science;data-validation;generative-ai;hacktoberfest;html-report;jupyter-notebook;llm;llmops;machine-learning;mlops;model-monitoring;pandas-dataframe","topic:mlops stars:>=100"
"paascloud/paascloud-master","https://github.com/paascloud/paascloud-master","paascloud","Java","9873","False","False","3/17/2018 5:40:43 AM","5/1/2026 4:02:38 AM","spring cloud + vue + oAuth2.0全家桶实战，前后端分离模拟商城，完整的购物流程、后端运营平台，可以实现快速搭建企业级微服务项目。支持微信登录等三方登录。","oauth2;rocketmq;spring-cloud;springcloud;vuejs2","m language:Java stars:>=50"
"prolificinteractive/material-calendarview","https://github.com/prolificinteractive/material-calendarview","prolificinteractive","Java","5918","False","False","2/9/2015 10:31:56 PM","4/29/2026 11:20:55 AM","A Material design back port of Android's CalendarView","android;calendar;java;material","m language:Java stars:>=50"
