"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","RahulSChand/gpu_poor","https://github.com/RahulSChand/gpu_poor","RahulSChand","JavaScript","1399","llm","1","930.01","True","0.08","0.0556","1","0.9823","1","1","0.3333","gpu language:JavaScript stars:>=50","Calculate token/s & GPU memory requirement for any LLM.  Supports llama.cpp/ggml/bnb/QLoRA quantization"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","gradio-app/fastrtc","https://github.com/gradio-app/fastrtc","gradio-app","JavaScript","4586","llm","2","905.73","True","0.1364","0","1","0.76","1","1","0.3333","real-time language:JavaScript stars:>=50","The python library for real-time communication"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","Raathigesh/dazzle","https://github.com/Raathigesh/dazzle","Raathigesh","JavaScript","1435","llm","3","863.77","False","0.0455","0","1","0.9878","1","1","0.3333","topic:dashboard language:JavaScript stars:>=50",":rocket: Dashboards made easy in React JS."
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","MixLabPro/comfyui-mixlab-nodes","https://github.com/MixLabPro/comfyui-mixlab-nodes","MixLabPro","JavaScript","1837","llm","4","856.89","False","0.0435","0","1","0.9586","1","1","0.3333","real-time language:JavaScript stars:>=50","Workflow-to-APP、ScreenShare&FloatingVideo、GPT & 3D、SpeechRecognition&TTS"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","kuzzleio/kuzzle","https://github.com/kuzzleio/kuzzle","kuzzleio","JavaScript","1641","llm","5","852.04","False","0.0333","0","1","0.9831","1","1","0.3333","real-time language:JavaScript stars:>=50","Open-source Back-end, self-hostable & ready to use - Real-time, storage, advanced search - Web, Apps, Mobile, IoT -"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","vava-nessa/free-coding-models","https://github.com/vava-nessa/free-coding-models","vava-nessa","JavaScript","1652","llm","6","850.82","False","0.0323","0","1","0.9816","1","1","0.3333","real-time language:JavaScript stars:>=50","Find, benchmark and install in CLI 200+ FREE coding LLM models across 20+ providers in real time"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","bee-queue/arena","https://github.com/bee-queue/arena","bee-queue","JavaScript","936","llm","7","847.55","False","0.0455","0","1","0.8951","1","1","0.3333","topic:dashboard language:JavaScript stars:>=50","An interactive UI dashboard for Bee, Bull and BullMQ packages"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","CloudWise-OpenSource/FlyFish","https://github.com/CloudWise-OpenSource/FlyFish","CloudWise-OpenSource","JavaScript","937","llm","8","841.3","False","0.0385","0","1","0.8953","1","1","0.3333","topic:charts language:JavaScript stars:>=50","FlyFish is a data visualization coding platform. We can create a data model quickly in a simple way, and quickly generate a set of data visualization solutions by dragging."
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","koosoli/ESPHomeDesigner","https://github.com/koosoli/ESPHomeDesigner","koosoli","JavaScript","844","llm","9","832.71","False","0.0333","0","1","0.8726","1","1","0.3333","topic:dashboard language:JavaScript stars:>=50","A visual drag-and-drop editor for ESPHome displays (E-Ink, OLED, LCD, Touch), running as a Home Assistant integration or a standalone web app."
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","primus/primus","https://github.com/primus/primus","primus","JavaScript","4472","llm","10","818.57","False","0.0385","0","1","0.7655","1","1","0.3333","real-time language:JavaScript stars:>=50",":zap: Primus, the creator god of the transformers & an abstraction layer for real-time to prevent module lock-in."
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","RapidFireAI/rapidfireai","https://github.com/RapidFireAI/rapidfireai","RapidFireAI","JavaScript","157","llm","11","803.28","False","0.0714","0","1","0.5085","1","1","0.3333","gpu language:JavaScript stars:>=50","RapidFire AI: Rapid AI Customization from RAG to Fine-Tuning"
"psalias2006/gpu-hot","https://github.com/psalias2006/gpu-hot","micytao/vllm-playground","https://github.com/micytao/vllm-playground","micytao","JavaScript","448","llm","12","800.35","False","0","0.0333","1","0.7353","1","1","0.3333","gpu language:JavaScript stars:>=50","A modern web interface for managing and interacting with vLLM servers (www.github.com/vllm-project/vllm). Supports both GPU and CPU modes, with special optimizations for macOS Apple Silicon and enterprise deployment on OpenShift/Kubernetes."
