"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"aimhubio/aim","https://github.com/aimhubio/aim","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42404","llm","1","996.54","True","0.1613","0","1","0.5793","1","1","1","topic:data-science language:Python stars:>=50 | a language:Python stars:>=50 | topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"aimhubio/aim","https://github.com/aimhubio/aim","sinaptik-ai/pandas-ai","https://github.com/sinaptik-ai/pandas-ai","sinaptik-ai","Python","23502","llm","2","977.65","True","0.1154","0","1","0.7075","1","1","1","topic:ai language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
"aimhubio/aim","https://github.com/aimhubio/aim","mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","llm","3","963.28","True","0.2143","0","1","0.6881","1","1","0.3333","topic:ai language:Python stars:>=50","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data."
"aimhubio/aim","https://github.com/aimhubio/aim","ruc-datalab/DeepAnalyze","https://github.com/ruc-datalab/DeepAnalyze","ruc-datalab","Python","4103","llm","4","922.38","True","0.125","0","1","0.9136","1","1","0.3333","topic:data-visualization language:Python stars:>=50","DeepAnalyze is the first agentic LLM for autonomous data science. 🎈你的AI数据分析师，自动分析大量数据，一键生成专业分析报告！"
"aimhubio/aim","https://github.com/aimhubio/aim","ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","llm","5","912.87","True","0.125","0","1","0.8592","1","1","0.3333","topic:data-science language:Python stars:>=50","Low-code framework for building custom LLMs, neural networks, and other AI models"
"aimhubio/aim","https://github.com/aimhubio/aim","datajuicer/data-juicer","https://github.com/datajuicer/data-juicer","datajuicer","Python","6365","llm","6","887.73","False","0.0714","0","1","0.9911","1","1","0.3333","topic:data-visualization language:Python stars:>=50","Data processing for and with foundation models!  🍎 🍋 🌽 ➡️ ➡️🍸 🍹 🍷"
"aimhubio/aim","https://github.com/aimhubio/aim","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50795","llm","7","884.52","False","0.1","0","1","0.5401","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"aimhubio/aim","https://github.com/aimhubio/aim","LAION-AI/Open-Assistant","https://github.com/LAION-AI/Open-Assistant","LAION-AI","Python","37410","llm","8","878.87","False","0.1364","0","1","0.6065","1","1","0.3333","topic:ai language:Python stars:>=50","OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so."
"aimhubio/aim","https://github.com/aimhubio/aim","microsoft/RD-Agent","https://github.com/microsoft/RD-Agent","microsoft","Python","12760","llm","9","878.83","False","0.0909","0","1","0.8401","1","1","0.3333","topic:data-science language:Python stars:>=50","Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through R&D-Agent, which lets AI drive data-driven AI. 🔗https://aka.ms/RD-Agent-Tech-Report"
"aimhubio/aim","https://github.com/aimhubio/aim","zhayujie/CowAgent","https://github.com/zhayujie/CowAgent","zhayujie","Python","43976","llm","10","875.71","False","0.0286","0","1","0.5714","1","1","1","topic:ai language:Python stars:>=50 | a language:Python stars:>=50 | topic:llm stars:>=100","CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。"
