"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"argilla-io/argilla","https://github.com/argilla-io/argilla","code-kern-ai/refinery","https://github.com/code-kern-ai/refinery","code-kern-ai","Python","1468","llm","1","953","True","0.1935","0","1","0.736","1","1","0.3333","topic:active-learning language:Python stars:>=50","The data scientist's open-source choice to scale, assess and maintain natural language data. Treat training data like a software artifact."
"argilla-io/argilla","https://github.com/argilla-io/argilla","zhayujie/CowAgent","https://github.com/zhayujie/CowAgent","zhayujie","Python","43976","llm","2","893.45","False","0.0571","0","1","0.5259","1","1","1","topic:ai language:Python stars:>=50 | a language:Python stars:>=50 | topic:llm stars:>=100","CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。"
"argilla-io/argilla","https://github.com/argilla-io/argilla","label-sleuth/label-sleuth","https://github.com/label-sleuth/label-sleuth","label-sleuth","Python","272","llm","3","889.86","False","0.1667","0","1","0.3706","0.8","1","0.6667","topic:active-learning language:Python stars:>=50 | topic:annotation-tool language:Python stars:>=50","Open source no-code system for text annotation and building of text classifiers"
"argilla-io/argilla","https://github.com/argilla-io/argilla","Pythagora-io/gpt-pilot","https://github.com/Pythagora-io/gpt-pilot","Pythagora-io","Python","33771","llm","4","887.06","False","0.15","0","1","0.5832","1","1","0.3333","topic:ai language:Python stars:>=50","The first real AI developer"
"argilla-io/argilla","https://github.com/argilla-io/argilla","webis-de/small-text","https://github.com/webis-de/small-text","webis-de","Python","640","llm","5","885.75","False","0.1538","0","1","0.556","1","1","0.3333","topic:active-learning language:Python stars:>=50","Active Learning for Text Classification in Python"
"argilla-io/argilla","https://github.com/argilla-io/argilla","hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","70848","llm","6","883","False","0.1212","0","1","0.4223","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)"
"argilla-io/argilla","https://github.com/argilla-io/argilla","mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","llm","7","878.58","False","0.129","0","1","0.6426","1","1","0.3333","topic:ai language:Python stars:>=50","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data."
"argilla-io/argilla","https://github.com/argilla-io/argilla","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33726","llm","8","877.11","False","0.0833","0","1","0.5835","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"argilla-io/argilla","https://github.com/argilla-io/argilla","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50795","llm","9","872.26","False","0.0952","0","1","0.4946","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"argilla-io/argilla","https://github.com/argilla-io/argilla","sinaptik-ai/pandas-ai","https://github.com/sinaptik-ai/pandas-ai","sinaptik-ai","Python","23502","llm","10","865.84","False","0.1111","0","1","0.6619","1","1","0.3333","topic:ai language:Python stars:>=50","Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
