"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 4:42:38 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"pietrolesci/energizer","https://github.com/pietrolesci/energizer","pietrolesci","Python","79","False","False","12/16/2021 5:04:32 PM","10/26/2024 9:36:15 AM","An active learning library for Pytorch based on Lightning-Fabric.","active-learning;deep-learning;python;pytorch;pytorch-lightning","topic:active-learning language:Python stars:>=50"
"dsgissin/DiscriminativeActiveLearning","https://github.com/dsgissin/DiscriminativeActiveLearning","dsgissin","Python","202","False","False","7/3/2018 1:26:01 PM","1/2/2026 4:22:11 PM","Code and website for DAL (Discriminative Active Learning) - a new active learning algorithm for neural networks in the batch setting. For the blog:","active-learning;adversarial-active-learning;bayesian-active-learning;core-set;deep-learning;egl;machine-learning;uncertainty-sampling","topic:active-learning language:Python stars:>=50"
"nihalsid/ViewAL","https://github.com/nihalsid/ViewAL","nihalsid","Python","145","False","False","11/25/2019 11:00:40 AM","9/2/2025 3:59:07 AM","[CVPR'20] Implementation for the paper ""ViewAL: Active Learning with Viewpoint Entropy for Semantic Segmentation""","active-learning;deep-learning;pytorch;semantic-segmentation","topic:active-learning language:Python stars:>=50"
"doccano/doccano","https://github.com/doccano/doccano","doccano","Python","10640","False","False","5/9/2018 6:10:05 AM","5/2/2026 11:35:43 AM","Open source annotation tool for machine learning practitioners.","annotation-tool;data-labeling;dataset;datasets;machine-learning;natural-language-processing;nuxt;nuxtjs;python;text-annotation;vue;vuejs","topic:annotation-tool language:Python stars:>=50"
"Koldim2001/COCO_to_YOLOv8","https://github.com/Koldim2001/COCO_to_YOLOv8","Koldim2001","Python","339","False","False","1/15/2024 12:27:44 PM","4/28/2026 3:01:01 PM","Converting COCO annotation (CVAT) to annotation for YOLO-seg (instance segmentation) and YOLO-obb (oriented bounding box detection)","annotation-tool;coco;coco-dataset;coco-format-annotations;coco-format-converter;coco-to-yolo;cvat;oriented-bounding-box;ultralytics;yolo;yolo-format;yolo-format-annotations;yolo11;yolov5-seg;yolov8;yolov8-obb;yolov8-seg;yolov8-segmentation;yolov9-seg","topic:annotation-tool language:Python stars:>=50"
"infiniflow/ragflow","https://github.com/infiniflow/ragflow","infiniflow","Python","79495","False","False","12/12/2023 6:13:13 AM","5/3/2026 4:47:42 AM","RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs","llm-app","a language:Python stars:>=50"
"baal-org/baal","https://github.com/baal-org/baal","baal-org","Python","927","False","False","9/30/2019 8:16:26 PM","4/26/2026 5:38:06 AM","Bayesian active learning library for research and industrial usecases.","active-learning;ai;bayesian-active-learning;deep-learning;machine-learning;python;pytorch","topic:active-learning language:Python stars:>=50"
"ZhangYuanhan-AI/Bamboo","https://github.com/ZhangYuanhan-AI/Bamboo","ZhangYuanhan-AI","Python","181","False","False","3/12/2022 6:43:40 AM","4/3/2026 9:27:32 AM","[IJCV] Bamboo: 4 times larger than ImageNet; 2 time larger than Object365; Built by active learning.","active-learning;dataset-generation;pre-training","topic:active-learning language:Python stars:>=50"
"ACEnglish/truvari","https://github.com/ACEnglish/truvari","ACEnglish","Python","407","False","False","4/13/2018 5:50:41 PM","4/27/2026 10:52:24 AM","Structural variant toolkit for VCFs","annotation-tool;benchmarking;bioinformatics;data-science;genomics;sequencing;structural-variation;sv-merging;vcf;vcf-comparison","topic:annotation-tool language:Python stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172189","False","False","1/18/2026 12:51:51 AM","5/3/2026 4:48:25 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"ntucllab/libact","https://github.com/ntucllab/libact","ntucllab","Python","792","False","False","12/6/2015 5:24:38 PM","4/9/2026 2:52:31 PM","Pool-based active learning in Python","active-learning;machine-learning;machine-learning-library;uncertainty-sampling","topic:active-learning language:Python stars:>=50"
"Aider-AI/aider","https://github.com/Aider-AI/aider","Aider-AI","Python","44258","False","False","5/9/2023 6:57:49 PM","5/3/2026 4:41:16 AM","aider is AI pair programming in your terminal","anthropic;chatgpt;claude-3;cli;command-line;gemini;gpt-3;gpt-35-turbo;gpt-4;gpt-4o;llama;openai;sonnet","a language:Python stars:>=50"
