"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"Avaiga/taipy","https://github.com/Avaiga/taipy","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15425","mlops","1","1102.94","True","0.2069","0","1","0.9528","1","1","1","topic:data-engineering language:Python stars:>=50 | topic:data-integration language:Python stars:>=50 | topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets."
"Avaiga/taipy","https://github.com/Avaiga/taipy","PrefectHQ/prefect","https://github.com/PrefectHQ/prefect","PrefectHQ","Python","22289","mlops","2","1102.61","True","0.2593","0","1","0.9673","1","1","0.6667","topic:automation language:Python stars:>=50 | topic:data-engineering language:Python stars:>=50","Prefect is a workflow orchestration framework for building resilient data pipelines in Python."
"Avaiga/taipy","https://github.com/Avaiga/taipy","apache/airflow","https://github.com/apache/airflow","apache","Python","45262","mlops","3","1083.27","True","0.2121","0","1","0.8135","1","1","1","topic:automation language:Python stars:>=50 | topic:data-engineering language:Python stars:>=50 | topic:data-integration language:Python stars:>=50 | topic:mlops stars:>=100","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"Avaiga/taipy","https://github.com/Avaiga/taipy","mage-ai/mage-ai","https://github.com/mage-ai/mage-ai","mage-ai","Python","8712","mlops","4","1013.78","True","0.1875","0","1","0.8287","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:data-integration language:Python stars:>=50","🧙 Build, run, and manage data pipelines for integrating and transforming data."
"Avaiga/taipy","https://github.com/Avaiga/taipy","airbytehq/airbyte","https://github.com/airbytehq/airbyte","airbytehq","Python","21170","mlops","5","971.23","True","0.1111","0","1","0.9785","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:data-integration language:Python stars:>=50","The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted."
"Avaiga/taipy","https://github.com/Avaiga/taipy","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10860","mlops","6","953.4","True","0.1667","0","1","0.8766","1","1","0.3333","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular."
"Avaiga/taipy","https://github.com/Avaiga/taipy","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6996","mlops","7","936.69","True","0.1111","0","1","0.7811","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"Avaiga/taipy","https://github.com/Avaiga/taipy","great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","great-expectations","Python","11456","mlops","8","928.4","True","0.0811","0","1","0.8882","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","Always know what to expect from your data."
"Avaiga/taipy","https://github.com/Avaiga/taipy","mlrun/mlrun","https://github.com/mlrun/mlrun","mlrun","Python","1666","mlops","9","870.64","False","0.1538","0","1","0.4696","1","1","0.3333","topic:data-engineering language:Python stars:>=50","MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications."
"Avaiga/taipy","https://github.com/Avaiga/taipy","mara/mara-pipelines","https://github.com/mara/mara-pipelines","mara","Python","2085","mlops","10","858.09","False","0.1304","0","1","0.5183","1","1","0.3333","topic:data-integration language:Python stars:>=50","A lightweight opinionated ETL framework, halfway between plain scripts and Apache Airflow"
