"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"bentoml/BentoML","https://github.com/bentoml/BentoML","jina-ai/serve","https://github.com/jina-ai/serve","jina-ai","Python","21873","llm","1","1025.82","True","0.2069","0","1","0.7978","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:generative-ai language:Python stars:>=50","☁️ Build multimodal AI applications with cloud-native stack"
"bentoml/BentoML","https://github.com/bentoml/BentoML","Netflix/metaflow","https://github.com/Netflix/metaflow","Netflix","Python","10071","llm","2","1005.3","True","0.2069","0","1","0.9662","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Build, Manage and Deploy AI/ML Systems"
"bentoml/BentoML","https://github.com/bentoml/BentoML","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42404","llm","3","1000.67","True","0.2069","0","1","0.6541","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:llm stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"bentoml/BentoML","https://github.com/bentoml/BentoML","rohitg00/ai-engineering-from-scratch","https://github.com/rohitg00/ai-engineering-from-scratch","rohitg00","Python","6186","llm","4","962.39","True","0.1667","0","1","0.928","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Learn it. Build it. Ship it for others."
"bentoml/BentoML","https://github.com/bentoml/BentoML","hitsz-ids/synthetic-data-generator","https://github.com/hitsz-ids/synthetic-data-generator","hitsz-ids","Python","2417","llm","5","948.12","True","0.1905","0","1","0.7239","1","1","0.3333","topic:generative-ai language:Python stars:>=50","SDG is a specialized framework designed to generate high-quality structured tabular data."
"bentoml/BentoML","https://github.com/bentoml/BentoML","traceloop/openllmetry","https://github.com/traceloop/openllmetry","traceloop","Python","7063","llm","6","941.57","True","0.1379","0","1","0.9567","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Open-source observability for your GenAI or LLM application, based on OpenTelemetry"
"bentoml/BentoML","https://github.com/bentoml/BentoML","aliasrobotics/cai","https://github.com/aliasrobotics/cai","aliasrobotics","Python","8365","llm","7","918.6","True","0.1053","0","1","0.9935","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Cybersecurity AI (CAI), the framework for AI Security"
"bentoml/BentoML","https://github.com/bentoml/BentoML","business-science/ai-data-science-team","https://github.com/business-science/ai-data-science-team","business-science","Python","5185","llm","8","913.69","True","0.12","0","1","0.8896","1","1","0.3333","topic:generative-ai language:Python stars:>=50","An AI-powered data science team of agents to help you perform common data science tasks 10X faster."
"bentoml/BentoML","https://github.com/bentoml/BentoML","SylphAI-Inc/AdalFlow","https://github.com/SylphAI-Inc/AdalFlow","SylphAI-Inc","Python","4122","llm","9","913.1","True","0.129","0","1","0.8398","1","1","0.3333","topic:generative-ai language:Python stars:>=50","AdalFlow: The library to build & auto-optimize LLM applications."
"bentoml/BentoML","https://github.com/bentoml/BentoML","TencentQQGYLab/AppAgent","https://github.com/TencentQQGYLab/AppAgent","TencentQQGYLab","Python","6701","llm","10","910.17","True","0.1053","0","1","0.9453","1","1","0.3333","topic:generative-ai language:Python stars:>=50","AppAgent: Multimodal Agents as Smartphone Users, an LLM-based multimodal agent framework designed to operate smartphone apps."
"bentoml/BentoML","https://github.com/bentoml/BentoML","2FastLabs/agent-squad","https://github.com/2FastLabs/agent-squad","2FastLabs","Python","7607","llm","11","904.62","True","0.0938","0","1","0.9729","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Flexible and powerful framework for managing multiple AI agents and handling complex conversations"
"bentoml/BentoML","https://github.com/bentoml/BentoML","vectara/hallucination-leaderboard","https://github.com/vectara/hallucination-leaderboard","vectara","Python","3228","llm","12","900.18","True","0.125","0","1","0.7868","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Leaderboard Comparing LLM Performance at Producing Hallucinations when Summarizing Short Documents"
"bentoml/BentoML","https://github.com/bentoml/BentoML","gunthercox/ChatterBot","https://github.com/gunthercox/ChatterBot","gunthercox","Python","14490","llm","13","895.27","False","0.1","0","1","0.8872","1","1","0.3333","b language:Python stars:>=50","ChatterBot is a machine learning, conversational dialog engine for creating chat bots"
"bentoml/BentoML","https://github.com/bentoml/BentoML","google-gemini/genai-processors","https://github.com/google-gemini/genai-processors","google-gemini","Python","2116","llm","14","894.37","False","0.1364","0","1","0.6951","1","1","0.3333","topic:generative-ai language:Python stars:>=50","GenAI Processors is a lightweight Python library that enables efficient, parallel content processing."
"bentoml/BentoML","https://github.com/bentoml/BentoML","lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16356","llm","15","893.77","False","0.1034","0","1","0.8609","1","1","0.3333","topic:deep-learning language:Python stars:>=50","pix2tex: Using a ViT to convert images of equations into LaTeX code."
"bentoml/BentoML","https://github.com/bentoml/BentoML","NVIDIA-NeMo/Guardrails","https://github.com/NVIDIA-NeMo/Guardrails","NVIDIA-NeMo","Python","6072","llm","16","893.5","False","0.0909","0","1","0.9239","1","1","0.3333","topic:generative-ai language:Python stars:>=50","NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems."
"bentoml/BentoML","https://github.com/bentoml/BentoML","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21482","llm","17","886.73","False","0.1071","0","1","0.8017","1","1","0.3333","topic:deep-learning language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"bentoml/BentoML","https://github.com/bentoml/BentoML","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160190","llm","18","883.96","False","0.1333","0","1","0.3655","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:llm stars:>=100","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"bentoml/BentoML","https://github.com/bentoml/BentoML","HanaokaYuzu/Gemini-API","https://github.com/HanaokaYuzu/Gemini-API","HanaokaYuzu","Python","2790","llm","19","882.14","False","0.1111","0","1","0.7551","1","1","0.3333","topic:generative-ai language:Python stars:>=50","✨ Reverse-engineered Python API for Google Gemini web app"
"bentoml/BentoML","https://github.com/bentoml/BentoML","TaskingAI/TaskingAI","https://github.com/TaskingAI/TaskingAI","TaskingAI","Python","5379","llm","20","882.08","False","0.0833","0","1","0.8976","1","1","0.3333","topic:generative-ai language:Python stars:>=50","The open source platform for AI-native application development."
"bentoml/BentoML","https://github.com/bentoml/BentoML","aurelio-labs/semantic-router","https://github.com/aurelio-labs/semantic-router","aurelio-labs","Python","3473","llm","21","880.46","False","0.1","0","1","0.8026","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Superfast AI decision making and intelligent processing of multi-modal data."
"bentoml/BentoML","https://github.com/bentoml/BentoML","usestrix/strix","https://github.com/usestrix/strix","usestrix","Python","24781","llm","22","879.61","False","0.1053","0","1","0.7707","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Open-source AI hackers to find and fix your app’s vulnerabilities."
"bentoml/BentoML","https://github.com/bentoml/BentoML","0x4m4/hexstrike-ai","https://github.com/0x4m4/hexstrike-ai","0x4m4","Python","8473","llm","23","878.89","False","0.0606","0","1","0.9963","1","1","0.3333","topic:generative-ai language:Python stars:>=50","HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities."
"bentoml/BentoML","https://github.com/bentoml/BentoML","stochasticai/xTuring","https://github.com/stochasticai/xTuring","stochasticai","Python","2665","llm","24","876.83","False","0.1071","0","1","0.7452","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Build, personalize and control your own LLMs. From data pre-processing to fine-tuning, xTuring provides an easy way to personalize open-source LLMs. Join our discord community: https://discord.gg/TgHXuSJEk6"
"bentoml/BentoML","https://github.com/bentoml/BentoML","browser-use/browser-use","https://github.com/browser-use/browser-use","browser-use","Python","91745","llm","25","875.13","False","0.1","0","1","0.4865","1","1","0.6667","b language:Python stars:>=50 | topic:llm stars:>=100","🌐 Make websites accessible for AI agents. Automate tasks online with ease."
"bentoml/BentoML","https://github.com/bentoml/BentoML","apache/burr","https://github.com/apache/burr","apache","Python","1986","llm","26","873.08","False","0.1154","0","1","0.6813","1","1","0.3333","topic:generative-ai language:Python stars:>=50","Build applications that make decisions (chatbots, agents, simulations, etc...). Monitor, trace, persist, and execute on your own infrastructure."
"bentoml/BentoML","https://github.com/bentoml/BentoML","h2oai/h2o-llmstudio","https://github.com/h2oai/h2o-llmstudio","h2oai","Python","4919","llm","27","872.92","False","0.0769","0","1","0.8782","1","1","0.3333","topic:generative-ai language:Python stars:>=50","H2O LLM Studio - a framework and no-code GUI for fine-tuning LLMs. Documentation: https://docs.h2o.ai/h2o-llmstudio/"
