"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","predibase/lorax","https://github.com/predibase/lorax","predibase","Python","3771","llm","1","1064.84","True","0.2609","0","1","0.7432","1","1","0.6667","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50","Multi-LoRA inference server that scales to 1000s of fine-tuned LLMs"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","llm","2","1009.38","True","0.1515","0","1","0.9887","1","1","0.6667","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50","Low-code framework for building custom LLMs, neural networks, and other AI models"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","h2oai/h2o-llmstudio","https://github.com/h2oai/h2o-llmstudio","h2oai","Python","4919","llm","3","973.49","True","0.1481","0","1","0.8009","1","1","0.6667","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50","H2O LLM Studio - a framework and no-code GUI for fine-tuning LLMs. Documentation: https://docs.h2o.ai/h2o-llmstudio/"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","unslothai/unsloth","https://github.com/unslothai/unsloth","unslothai","Python","63472","llm","4","971.76","True","0.1212","0","1","0.6438","1","1","1","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50 | topic:llm stars:>=100","Web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","InternLM/lmdeploy","https://github.com/InternLM/lmdeploy","InternLM","Python","7836","llm","5","951.85","True","0.16","0","1","0.902","1","1","0.3333","topic:llama language:Python stars:>=50","LMDeploy is a toolkit for compressing, deploying, and serving LLMs."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","xorbitsai/inference","https://github.com/xorbitsai/inference","xorbitsai","Python","9280","llm","6","941.42","True","0.0857","0","1","0.9387","1","1","0.6667","topic:llama language:Python stars:>=50 | run language:Python stars:>=50","Swap GPT for any LLM by changing a single line of code. Xinference lets you run open-source, speech, and multimodal models on cloud, on-prem, or your laptop — all through one unified, production-ready inference API."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","stochasticai/xTuring","https://github.com/stochasticai/xTuring","stochasticai","Python","2665","llm","7","936.87","True","0.1333","0","1","0.6678","1","1","0.6667","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50","Build, personalize and control your own LLMs. From data pre-processing to fine-tuning, xTuring provides an easy way to personalize open-source LLMs. Join our discord community: https://discord.gg/TgHXuSJEk6"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","hiyouga/LlamaFactory","https://github.com/hiyouga/LlamaFactory","hiyouga","Python","70849","llm","8","935.63","True","0.0857","0","1","0.6199","1","1","1","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50 | topic:llm stars:>=100","Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","oumi-ai/oumi","https://github.com/oumi-ai/oumi","oumi-ai","Python","9221","llm","9","928.32","True","0.0714","0","1","0.9373","1","1","0.6667","topic:fine-tuning language:Python stars:>=50 | topic:llama language:Python stars:>=50","Easily fine-tune, evaluate and deploy gpt-oss, Qwen3, DeepSeek-R1, or any open source LLM / VLM!"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","axolotl-ai-cloud/axolotl","https://github.com/axolotl-ai-cloud/axolotl","axolotl-ai-cloud","Python","11811","llm","10","923.44","True","0.1111","0","1","0.9911","1","1","0.3333","topic:fine-tuning language:Python stars:>=50","Go ahead and axolotl questions"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","yangjianxin1/Firefly","https://github.com/yangjianxin1/Firefly","yangjianxin1","Python","6646","llm","11","907.47","True","0.1176","0","1","0.8662","1","1","0.3333","topic:llama language:Python stars:>=50","Firefly: 大模型训练工具，支持训练Qwen2.5、Qwen2、Yi1.5、Phi-3、Llama3、Gemma、MiniCPM、Yi、Deepseek、Orion、Xverse、Mixtral-8x7B、Zephyr、Mistral、Baichuan2、Llma2、Llama、Qwen、Baichuan、ChatGLM2、InternLM、Ziya2、Vicuna、Bloom等大模型"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","gpustack/gpustack","https://github.com/gpustack/gpustack","gpustack","Python","4951","llm","12","902.9","True","0.125","0","1","0.8023","1","1","0.3333","topic:llama language:Python stars:>=50","A GPU cluster manager that configures and orchestrates inference engines like vLLM and SGLang for high-performance AI model deployment."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","ymcui/Chinese-LLaMA-Alpaca-2","https://github.com/ymcui/Chinese-LLaMA-Alpaca-2","ymcui","Python","7149","llm","13","900.79","True","0.1071","0","1","0.8821","1","1","0.3333","topic:llama language:Python stars:>=50","中文LLaMA-2 & Alpaca-2大模型二期项目 + 64K超长上下文模型 (Chinese LLaMA-2 & Alpaca-2 LLMs with 64K long context models)"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","LlamaChinese/Llama-Chinese","https://github.com/LlamaChinese/Llama-Chinese","LlamaChinese","Python","14726","llm","14","900","True","0.0909","0","1","0.961","1","1","0.3333","topic:llama language:Python stars:>=50","Llama中文社区，实时汇总最新Llama学习资料，构建最好的中文Llama大模型开源生态，完全开源可商用"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","arcee-ai/mergekit","https://github.com/arcee-ai/mergekit","arcee-ai","Python","7051","llm","15","898.57","False","0.1053","0","1","0.8791","1","1","0.3333","topic:llama language:Python stars:>=50","Tools for merging pretrained large language models."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","bigscience-workshop/petals","https://github.com/bigscience-workshop/petals","bigscience-workshop","Python","10110","llm","16","891.85","False","0.027","0","1","0.9573","1","1","0.6667","topic:llama language:Python stars:>=50 | run language:Python stars:>=50","🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","run-llama/llama_index","https://github.com/run-llama/llama_index","run-llama","Python","49100","llm","17","891.65","False","0.0769","0","1","0.6995","1","1","0.6667","topic:fine-tuning language:Python stars:>=50 | topic:llm stars:>=100","LlamaIndex is the leading document agent and OCR platform"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","AI-Hypercomputer/maxtext","https://github.com/AI-Hypercomputer/maxtext","AI-Hypercomputer","Python","2265","llm","18","889.27","False","0.1429","0","1","0.6325","1","1","0.3333","topic:fine-tuning language:Python stars:>=50","A simple, performant and scalable Jax LLM!"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","cheahjs/free-llm-api-resources","https://github.com/cheahjs/free-llm-api-resources","cheahjs","Python","19607","llm","19","889.12","False","0.0909","0","1","0.8989","1","1","0.3333","topic:llama language:Python stars:>=50","A list of free LLM inference resources accessible via API."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","chatchat-space/Langchain-Chatchat","https://github.com/chatchat-space/Langchain-Chatchat","chatchat-space","Python","37951","llm","20","882.21","False","0.0556","0","1","0.7555","1","1","0.6667","topic:llama language:Python stars:>=50 | topic:llm stars:>=100","Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","vllm-project/vllm","https://github.com/vllm-project/vllm","vllm-project","Python","78892","llm","21","881.54","False","0.0857","0","1","0.5966","1","1","0.6667","topic:llama language:Python stars:>=50 | topic:llm stars:>=100","A high-throughput and memory-efficient inference and serving engine for LLMs"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","TheR1D/shell_gpt","https://github.com/TheR1D/shell_gpt","TheR1D","Python","12033","llm","22","880.39","False","0.0625","0","1","0.9951","1","1","0.3333","topic:llama language:Python stars:>=50","A command-line productivity tool powered by AI large language models like GPT-5, will help you accomplish your tasks faster and more efficiently."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","ymcui/Chinese-LLaMA-Alpaca","https://github.com/ymcui/Chinese-LLaMA-Alpaca","ymcui","Python","18946","llm","23","875.27","False","0.0741","0","1","0.9063","1","1","0.3333","topic:llama language:Python stars:>=50","中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)"
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","huggingface/peft","https://github.com/huggingface/peft","huggingface","Python","21035","llm","24","873.86","False","0.0769","0","1","0.8836","1","1","0.3333","topic:fine-tuning language:Python stars:>=50","🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning."
"bentoml/OpenLLM","https://github.com/bentoml/OpenLLM","shibing624/MedicalGPT","https://github.com/shibing624/MedicalGPT","shibing624","Python","5331","llm","25","871.47","False","0.087","0","1","0.8184","1","1","0.3333","topic:llama language:Python stars:>=50","MedicalGPT: Training Your Own Medical GPT Model with ChatGPT Training Pipeline. 训练医疗大模型，实现了包括增量预训练(PT)、有监督微调(SFT)、RLHF、DPO、ORPO、GRPO。"
