"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"clearml/clearml","https://github.com/clearml/clearml","JuliusBrussee/caveman","https://github.com/JuliusBrussee/caveman","JuliusBrussee","Python","52575","llm","1","882.47","False","0.04","0","1","0.5512","1","1","1","topic:ai language:Python stars:>=50 | c language:Python stars:>=50 | topic:llm stars:>=100","🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman"
"clearml/clearml","https://github.com/clearml/clearml","zhayujie/CowAgent","https://github.com/zhayujie/CowAgent","zhayujie","Python","43976","llm","2","878.97","False","0.0286","0","1","0.59","1","1","1","topic:ai language:Python stars:>=50 | c language:Python stars:>=50 | topic:llm stars:>=100","CowAgent (chatgpt-on-wechat) 是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、通过长期记忆和知识库不断成长，比OpenClaw更轻量和便捷。同时支持微信、飞书、钉钉、企微、QQ、公众号、网页等接入，可选择DeepSeek/OpenAI/Claude/Gemini/ MiniMax/Qwen/GLM/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助理和企业数字员工。"
"clearml/clearml","https://github.com/clearml/clearml","mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","llm","3","860.78","False","0.0968","0","1","0.7068","1","1","0.3333","topic:ai language:Python stars:>=50","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data."
"clearml/clearml","https://github.com/clearml/clearml","ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33726","llm","4","850.84","False","0.0417","0","1","0.6477","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets."
"clearml/clearml","https://github.com/clearml/clearml","crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","crewAIInc","Python","50497","llm","5","843","False","0.05","0","1","0.56","1","1","0.6667","topic:ai language:Python stars:>=50 | c language:Python stars:>=50","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
"clearml/clearml","https://github.com/clearml/clearml","MemPalace/mempalace","https://github.com/MemPalace/mempalace","MemPalace","Python","50795","llm","6","840.63","False","0.0476","0","1","0.5587","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","The best-benchmarked open-source AI memory system. And it's free."
"clearml/clearml","https://github.com/clearml/clearml","HKUDS/nanobot","https://github.com/HKUDS/nanobot","HKUDS","Python","41536","llm","7","838.76","False","0.037","0","1","0.6024","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","""🐈 nanobot: The Ultra-Lightweight Personal AI Agent"""
"clearml/clearml","https://github.com/clearml/clearml","khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34360","llm","8","838.35","False","0.0286","0","1","0.6436","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
"clearml/clearml","https://github.com/clearml/clearml","LAION-AI/Open-Assistant","https://github.com/LAION-AI/Open-Assistant","LAION-AI","Python","37410","llm","9","837.66","False","0.087","0","1","0.6251","1","1","0.3333","topic:ai language:Python stars:>=50","OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so."
"clearml/clearml","https://github.com/clearml/clearml","QuivrHQ/quivr","https://github.com/QuivrHQ/quivr","QuivrHQ","Python","39124","llm","10","833.41","False","0.0286","0","1","0.6154","1","1","0.6667","topic:ai language:Python stars:>=50 | topic:llm stars:>=100","Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want."
