"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"bkbilly/lnxlink","https://github.com/bkbilly/lnxlink","bkbilly","Python","455","False","False","1/27/2021 1:32:11 AM","4/30/2026 5:29:05 AM","🖥 Effortlessly manage your Linux machine using MQTT.","automation;command-execution;companion-app;control;home-assistant;home-automation;integration;iot;linux;mqtt;notifications;remote-control;remote-monitoring;sensors;smarthome;systemd-service","topic:control language:Python stars:>=50"
"janhq/jan","https://github.com/janhq/jan","janhq","TypeScript","42335","False","False","8/17/2023 2:17:10 AM","5/3/2026 4:09:16 AM","Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.","chatgpt;gpt;llamacpp;llm;localai;open-source;self-hosted;tauri","topic:llm stars:>=100"
"HKUDS/LightRAG","https://github.com/HKUDS/LightRAG","HKUDS","Python","34681","False","False","10/2/2024 11:57:54 AM","5/3/2026 4:06:14 AM","[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""","genai;gpt;gpt-4;graphrag;knowledge-graph;large-language-models;llm;rag;retrieval-augmented-generation","topic:llm stars:>=100"
"dgtlmoon/changedetection.io","https://github.com/dgtlmoon/changedetection.io","dgtlmoon","Python","31322","False","False","1/27/2021 4:03:30 PM","5/3/2026 3:08:28 AM","Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monitoring—all for free or enjoy our SaaS plan!","back-in-stock;change-alert;change-detection;change-monitoring;monitoring;notifications;restock-monitor;rss;self-hosted;url-monitor;web-scraping;website-change-detection;website-change-detector;website-change-monitor;website-change-notification;website-change-tracker;website-defacement-monitoring;website-monitor;website-monitoring;website-watcher","c language:Python stars:>=50"
"pyomeca/bioptim","https://github.com/pyomeca/bioptim","pyomeca","Python","119","False","False","3/31/2020 1:46:21 PM","4/14/2026 12:48:43 PM","An optimization framework that links CasADi, Ipopt, ACADOS and biorbd for Optimal Control Problem ","biomechanics;casadi;control;direct-collocation;direct-multiple-shooting;discrete-mechanics;dmoc;dmocc;fatigue-dynamics;forward-simulation;moving-horizon-estimation;musculoskeletal-model;musculoskeletal-simulations;optimal-control;robotics;stochastic-optimal-control","topic:control language:Python stars:>=50"
"Pandas-Team/Automatic-Parking","https://github.com/Pandas-Team/Automatic-Parking","Pandas-Team","Python","390","False","False","1/11/2021 3:40:38 PM","4/15/2026 5:53:51 PM","Python implementation of an automatic parallel parking system in a virtual environment, including path planning, path tracking, and parallel parking","2d-environment;automatic-parking;autonomous-driving;autonomous-parking;autonomous-vehicles;autopark;control;model-predictive-control;mpc-control;parallel-parking;path-planning;path-tracking;python;self-driving-car","topic:control language:Python stars:>=50"
"learnsyslab/safe-control-gym","https://github.com/learnsyslab/safe-control-gym","learnsyslab","Python","877","False","False","8/4/2021 10:14:15 PM","5/1/2026 1:22:44 AM","PyBullet CartPole and Quadrotor environments—with CasADi symbolic a priori dynamics—for learning-based control and RL","cartpole;casadi;control;gym;pybullet;quadcopter;quadrotor;reinforcement-learning;robotics;robustness;safety;symbolic","topic:control language:Python stars:>=50"
"learnsyslab/upright","https://github.com/learnsyslab/upright","learnsyslab","Python","140","False","False","4/21/2021 4:41:19 PM","4/30/2026 2:45:36 AM","[RA-L 2023, 2025] Model predictive control and trajectory optimization for fast nonprehensile object transportation with a mobile manipulator.","control;mobile-manipulation;mpc;planning;robotics","topic:control language:Python stars:>=50"
"MarcToussaint/robotic","https://github.com/MarcToussaint/robotic","MarcToussaint","Python","137","False","False","6/14/2018 7:50:09 PM","4/27/2026 3:08:47 PM","Robotic Python - Robotic Control Interface & Manipulation Planning Library","control;optimization;python;robotics","topic:control language:Python stars:>=50"
"NanmiCoder/MediaCrawler","https://github.com/NanmiCoder/MediaCrawler","NanmiCoder","Python","48777","False","False","6/9/2023 12:14:34 PM","5/3/2026 4:22:38 AM","小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫","","c language:Python stars:>=50"
"ZhuLinsen/daily_stock_analysis","https://github.com/ZhuLinsen/daily_stock_analysis","ZhuLinsen","Python","33726","False","False","1/10/2026 6:43:20 AM","5/3/2026 4:33:57 AM","LLM驱动的 A/H/美股智能分析器：多数据源行情 + 实时新闻 + LLM决策仪表盘 + 多渠道推送，零成本定时运行，纯白嫖. LLM-powered stock analysis system for A/H/US markets.","agent;ai;aigc;gemini;llm;quant;quantitative-trading;rag;stock","topic:ai language:Python stars:>=50 | topic:llm stars:>=100"
"tkkim-robot/safe_control","https://github.com/tkkim-robot/safe_control","tkkim-robot","Python","253","False","False","7/10/2024 2:06:30 PM","4/28/2026 9:11:27 AM","Safety-critical controllers for single/multi robotic navigation: CBF-QP, MPC-CBF, and etc.","cbf;control;mpc;mpc-cbf;navigation;obstacle-avoidance;qp;rgb-d;robotics;robotics-simulation;safety-critical;simulation","topic:control language:Python stars:>=50"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","affaan-m","JavaScript","172187","False","False","1/18/2026 12:51:51 AM","5/3/2026 4:44:34 AM","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","topic:llm stars:>=100"
"langgenius/dify","https://github.com/langgenius/dify","langgenius","TypeScript","139905","False","False","4/12/2023 7:40:24 AM","5/3/2026 4:34:37 AM","Production-ready platform for agentic workflow development.","agent;agentic-ai;agentic-framework;agentic-workflow;ai;automation;gemini;genai;gpt;gpt-4;llm;low-code;mcp;nextjs;no-code;openai;orchestration;python;rag;workflow","topic:llm stars:>=100"
"mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","False","False","6/5/2018 4:05:58 PM","5/3/2026 12:35:41 AM","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","agentops;agents;ai;ai-governance;apache-spark;evaluation;langchain;llm-evaluation;llmops;machine-learning;ml;mlflow;mlops;model-management;observability;open-source;openai;prompt-engineering","topic:ai language:Python stars:>=50"
"ogarcia/sysdweb","https://github.com/ogarcia/sysdweb","ogarcia","Python","96","False","False","11/18/2016 4:22:29 PM","2/18/2026 5:40:07 AM","Control systemd services through Web or REST API","admin-tool;control;journal;rest;rest-api;systemd;webapp","topic:control language:Python stars:>=50"
"lllyasviel/ControlNet","https://github.com/lllyasviel/ControlNet","lllyasviel","Python","33849","False","False","2/1/2023 2:43:30 AM","5/3/2026 2:54:53 AM","Let us control diffusion models!","","c language:Python stars:>=50"
"pypose/pypose","https://github.com/pypose/pypose","pypose","Python","1531","False","False","11/11/2021 5:02:08 PM","5/2/2026 7:15:12 AM","A library for differentiable robotics on manifolds.","autonomous-robots;computer-graphics;control;deep-learning;geometric-deep-learning;kalman-filter;learning;lie-group;optimization;physics;planning;pose-estimation;pose-graph-optimization;python;pytorch;robotics;slam","topic:control language:Python stars:>=50"
"AtsushiSakai/PyAdvancedControl","https://github.com/AtsushiSakai/PyAdvancedControl","AtsushiSakai","Python","551","False","False","11/4/2016 6:21:44 AM","4/30/2026 12:38:17 PM","Python codes for advanced control ","control;mpc;python","topic:control language:Python stars:>=50"
"ppp-one/astra","https://github.com/ppp-one/astra","ppp-one","Python","142","False","False","5/22/2023 2:07:52 PM","4/28/2026 6:37:13 PM","Astra: an open-source observatory control software.","alpaca;ascom;astronomy;camera;control;ground-based;imaging;mount;observatory-control-software;ocs;photometry;telescope","topic:control language:Python stars:>=50"
"D4Vinci/Scrapling","https://github.com/D4Vinci/Scrapling","D4Vinci","Python","41909","False","False","10/13/2024 8:29:53 PM","5/3/2026 4:43:40 AM","🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!","ai;ai-scraping;automation;crawler;crawling;crawling-python;data;data-extraction;mcp;mcp-server;playwright;python;scraping;selectors;stealth;web-scraper;web-scraping;web-scraping-python;webscraping;xpath","topic:ai language:Python stars:>=50"
"httpie/cli","https://github.com/httpie/cli","httpie","Python","38034","False","False","2/25/2012 12:39:13 PM","5/2/2026 3:40:12 PM","🥧 HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.","api;api-client;api-testing;cli;client;curl;debugging;developer-tools;development;devops;http;http-client;httpie;json;python;rest;rest-api;terminal;usability;web","c language:Python stars:>=50"
"junyanz/pytorch-CycleGAN-and-pix2pix","https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix","junyanz","Python","25106","False","False","4/18/2017 10:33:05 AM","5/3/2026 4:18:04 AM","Image-to-Image Translation in PyTorch","computer-graphics;computer-vision;cyclegan;deep-learning;gan;gans;generative-adversarial-network;image-generation;image-manipulation;pix2pix;pytorch","c language:Python stars:>=50"
"GeorgePatsias/ScareCrow-CobaltStrike","https://github.com/GeorgePatsias/ScareCrow-CobaltStrike","GeorgePatsias","Python","465","False","False","6/24/2021 10:04:01 AM","4/24/2026 1:05:08 AM","Cobalt Strike script for ScareCrow payloads intergration (EDR/AV evasion)","bypass-antivirus;cobaltstrike-cna;control;dll;edr;evasion;excel;exe;msiexec;scarecrow;wscript","topic:control language:Python stars:>=50"
"robinhenry/gym-anm","https://github.com/robinhenry/gym-anm","robinhenry","Python","170","False","False","7/17/2019 11:19:13 PM","5/1/2026 2:48:48 PM","A framework to design Reinforcement Learning environments that model Active Network Management (ANM) tasks in electricity distribution networks.","active-network-management;control;electricity-networks;gym-environments;reinforcement-learning","topic:control language:Python stars:>=50"
"nzolman/sindy-rl","https://github.com/nzolman/sindy-rl","nzolman","Python","172","False","False","10/16/2022 5:55:15 PM","4/29/2026 5:40:20 PM","Code for ""SINDy-RL for Interpretable and Efficient Model-Based Reinforcement Learning"" by Zolman et al. ","control;data-driven-dynamics;discovery;dynamics;ml;rl;sindy;sparse-identification-of-nonlinear-dynamics","topic:control language:Python stars:>=50"
"pytorch/rl","https://github.com/pytorch/rl","pytorch","Python","3414","False","False","2/1/2022 5:17:36 PM","5/1/2026 5:07:41 PM","A modular, primitive-first, python-first PyTorch library for Reinforcement Learning.","ai;control;decision-making;distributed-computing;machine-learning;marl;model-based-reinforcement-learning;multi-agent-reinforcement-learning;pytorch;reinforcement-learning;rl;robotics;torch","topic:control language:Python stars:>=50"
"babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","False","False","8/7/2021 3:53:39 AM","5/2/2026 11:41:36 AM","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time","ai;deep-learning;pytorch;speech;text-to-speech;tts","topic:ai language:Python stars:>=50"
"milvus-io/milvus","https://github.com/milvus-io/milvus","milvus-io","Go","44097","False","False","9/16/2019 6:43:43 AM","5/3/2026 4:45:20 AM","Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search","anns;cloud-native;diskann;distributed;embedding-database;embedding-similarity;embedding-store;faiss;golang;hnsw;image-search;llm;nearest-neighbor-search;rag;vector-database;vector-search;vector-similarity;vector-store","topic:llm stars:>=100"
"tensorforce/tensorforce","https://github.com/tensorforce/tensorforce","tensorforce","Python","3308","False","False","3/19/2017 4:24:22 PM","4/24/2026 6:17:36 AM","Tensorforce: a TensorFlow library for applied reinforcement learning","control;deep-reinforcement-learning;reinforcement-learning;system-control;tensorflow;tensorflow-library;tensorforce","topic:control language:Python stars:>=50"
"denisyarats/exorl","https://github.com/denisyarats/exorl","denisyarats","Python","130","False","False","2/6/2022 4:25:58 PM","4/22/2026 4:33:16 PM","ExORL: Exploratory Data for Offline Reinforcement Learning","control;datasets;deep-learning;exporation;model-free;mujoco;off-policy;offline-rl;python;pytorch;reinforcement-learning;unsupevised","topic:control language:Python stars:>=50"
"Z1ni/XGP-save-extractor","https://github.com/Z1ni/XGP-save-extractor","Z1ni","Python","924","False","False","7/1/2021 11:48:00 PM","5/1/2026 2:27:38 PM","Python script to extract savefiles out of Xbox Game Pass for PC games","a-plague-tale-requiem;atomic-heart;backup;celeste;control;epic-games-store;final-fantasy-xv;game-saves;hades;just-cause-4;lies-of-p;migration;octopathtraveler;palworld;python3;starfield;steam;totally-accurate-battle-simulator;xbox-game-pass;yakuza-0","topic:control language:Python stars:>=50"
"google/langextract","https://github.com/google/langextract","google","Python","36356","False","False","7/8/2025 8:46:06 PM","5/3/2026 4:12:12 AM","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization.","gemini;gemini-ai;gemini-api;gemini-flash;gemini-pro;information-extration;large-language-models;llm;nlp;python;structured-data","topic:llm stars:>=100"
"9001/copyparty","https://github.com/9001/copyparty","9001","Python","44643","False","False","5/26/2019 3:28:33 PM","5/3/2026 4:34:18 AM","Portable file server with accelerated resumable uploads, dedup, WebDAV, SFTP, FTP, TFTP, zeroconf, media indexer, thumbnails++ all in one file","copyparty;file-server;file-sharing;file-upload-server;ftp-server;nas-frontend;tftp-server;webdav-server","c language:Python stars:>=50"
"github/spec-kit","https://github.com/github/spec-kit","github","Python","92209","False","False","8/21/2025 10:54:31 PM","5/3/2026 4:35:14 AM","💫 Toolkit to help you get started with Spec-Driven Development","ai;copilot;development;engineering;prd;spec;spec-driven","topic:ai language:Python stars:>=50"
"harry0703/MoneyPrinterTurbo","https://github.com/harry0703/MoneyPrinterTurbo","harry0703","Python","56654","False","False","3/11/2024 2:57:34 AM","5/3/2026 4:16:39 AM","利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.","ai;automation;chatgpt;moviepy;python;shortvideo;tiktok","topic:ai language:Python stars:>=50"
"khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34360","False","False","8/16/2021 1:48:44 AM","5/3/2026 3:57:35 AM","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.","agent;ai;assistant;chat;chatgpt;emacs;image-generation;llama3;llamacpp;llm;obsidian;obsidian-md;offline-llm;productivity;rag;research;self-hosted;semantic-search;stt;whatsapp-ai","topic:ai language:Python stars:>=50 | topic:llm stars:>=100"
"OpenBMB/ChatDev","https://github.com/OpenBMB/ChatDev","OpenBMB","Python","32960","False","False","8/28/2023 2:18:13 AM","5/2/2026 8:51:35 PM","ChatDev 2.0: Dev All through LLM-powered Multi-Agent Collaboration","","c language:Python stars:>=50"
"JuliusBrussee/caveman","https://github.com/JuliusBrussee/caveman","JuliusBrussee","Python","52575","False","False","4/4/2026 10:03:00 AM","5/3/2026 4:42:36 AM","🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman","ai;anthropic;caveman;claude;claude-code;llm;meme;prompt-engineering;skill;tokens","topic:ai language:Python stars:>=50 | c language:Python stars:>=50 | topic:llm stars:>=100"
"asgeirtj/system_prompts_leaks","https://github.com/asgeirtj/system_prompts_leaks","asgeirtj","","39392","False","False","5/3/2025 2:43:56 AM","5/3/2026 4:15:44 AM","Extracted system prompts from ChatGPT (GPT-5.5 Thinking), Claude (Opus 4.7, Opus 4.6, Sonnet 4.6, Claude Code), Gemini (3.1 Pro, 3 Flash, Gemini CLI), Grok (4.3 beta), Perplexity, and more. Updated regularly.","ai;ai-transparency;anthropic;chatgpt;claude;claude-code;gemini;generative-ai;gpt-5;grok;large-language-models;llm;openai;perplexity;prompt-engineering;system-prompt;system-prompts;xai","topic:llm stars:>=100"
"mem0ai/mem0","https://github.com/mem0ai/mem0","mem0ai","Python","54618","False","False","6/20/2023 8:58:36 AM","5/3/2026 4:22:37 AM","Universal memory layer for AI Agents","agents;ai;ai-agents;application;chatbots;chatgpt;genai;llm;long-term-memory;memory;memory-management;python;rag;state-management","topic:ai language:Python stars:>=50 | topic:llm stars:>=100"
