"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6996","mlops","1","994.72","True","0.1538","0","1","0.8929","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","sodadata/soda-core","https://github.com/sodadata/soda-core","sodadata","Python","2343","mlops","2","964.15","True","0.1765","0.0625","1","0.6554","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Data Contracts engine for the modern data stack. https://www.soda.io"
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15425","mlops","3","948.07","True","0.0938","0","1","0.9354","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19173","mlops","4","928.4","True","0.0811","0","1","0.8882","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","apache/airflow","https://github.com/apache/airflow","apache","Python","45262","mlops","5","895.76","False","0.0811","0","1","0.7017","1","1","0.6667","topic:data-engineering language:Python stars:>=50 | topic:mlops stars:>=100","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10860","mlops","6","892.2","False","0.0769","0","1","0.9884","1","1","0.3333","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","mage-ai/mage-ai","https://github.com/mage-ai/mage-ai","mage-ai","Python","8712","mlops","7","891.74","False","0.0857","0","1","0.9405","1","1","0.3333","topic:data-engineering language:Python stars:>=50","🧙 Build, run, and manage data pipelines for integrating and transforming data."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","PrefectHQ/prefect","https://github.com/PrefectHQ/prefect","PrefectHQ","Python","22289","mlops","8","886.81","False","0.0968","0","1","0.8555","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Prefect is a workflow orchestration framework for building resilient data pipelines in Python."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","mlrun/mlrun","https://github.com/mlrun/mlrun","mlrun","Python","1666","mlops","9","851.75","False","0.1111","0","1","0.5814","1","1","0.3333","topic:data-engineering language:Python stars:>=50","MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","abhishek-ch/around-dataengineering","https://github.com/abhishek-ch/around-dataengineering","abhishek-ch","Python","1144","mlops","10","850.04","False","0.0769","0.0667","1","0.4999","1","1","0.3333","topic:data-engineering language:Python stars:>=50","A Data Engineering & Machine Learning Knowledge Hub"
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","airbytehq/airbyte","https://github.com/airbytehq/airbyte","airbytehq","Python","21170","mlops","11","849.03","False","0.0526","0","1","0.8667","1","1","0.3333","topic:data-engineering language:Python stars:>=50","The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","AlexIoannides/pyspark-example-project","https://github.com/AlexIoannides/pyspark-example-project","AlexIoannides","Python","2097","mlops","12","829.72","False","0.0769","0","1","0.6314","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Implementing best practices for PySpark ETL jobs and applications."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","vmware/versatile-data-kit","https://github.com/vmware/versatile-data-kit","vmware","Python","481","mlops","13","818.2","False","0.0811","0.0625","1","0.312","1","1","0.3333","topic:data-engineering language:Python stars:>=50","One framework to develop, deploy and operate data workflows with Python and SQL."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","san089/Udacity-Data-Engineering-Projects","https://github.com/san089/Udacity-Data-Engineering-Projects","san089","Python","1905","mlops","14","810.87","False","0.0256","0.0476","1","0.6105","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Few projects related to Data Engineering including Data Modeling, Infrastructure setup on cloud, Data Warehousing and Data Lake development."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","san089/goodreads_etl_pipeline","https://github.com/san089/goodreads_etl_pipeline","san089","Python","1506","mlops","15","809.23","False","0.0256","0.0588","1","0.5595","1","1","0.3333","topic:data-engineering language:Python stars:>=50","An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform."
"great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","quixio/quix-streams","https://github.com/quixio/quix-streams","quixio","Python","1546","mlops","16","805.16","False","0.0625","0","1","0.5652","1","1","0.3333","topic:data-engineering language:Python stars:>=50","Python Streaming DataFrames for Kafka"
