"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"shiyu-coder/Kronos","https://github.com/shiyu-coder/Kronos","shiyu-coder","Python","22520","False","False","7/1/2025 2:54:32 AM","5/3/2026 4:32:33 AM","Kronos: A Foundation Model for the Language of Financial Markets","","k language:Python stars:>=50"
"comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19165","False","False","5/10/2023 12:57:13 PM","5/3/2026 3:05:49 AM","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","evaluation;hacktoberfest;hacktoberfest2025;langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering","topic:hacktoberfest language:Python stars:>=50"
"bmaltais/kohya_ss","https://github.com/bmaltais/kohya_ss","bmaltais","Python","12233","False","False","10/30/2022 3:15:32 PM","5/2/2026 11:23:37 PM","","","k language:Python stars:>=50"
"Data-Centric-AI-Community/fg-data-profiling","https://github.com/Data-Centric-AI-Community/fg-data-profiling","Data-Centric-AI-Community","Python","13534","False","False","1/9/2016 11:47:55 PM","5/1/2026 5:34:23 PM","1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. ","big-data-analytics;data-analysis;data-exploration;data-profiling;data-quality;data-science;deep-learning;eda;exploration;exploratory-data-analysis;hacktoberfest;html-report;jupyter;jupyter-notebook;machine-learning;pandas;pandas-dataframe;pandas-profiling;python;statistics","topic:hacktoberfest language:Python stars:>=50"
"skypilot-org/skypilot","https://github.com/skypilot-org/skypilot","skypilot-org","Python","9924","False","False","8/11/2021 11:32:15 PM","5/3/2026 3:12:12 AM","Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, Slurm, 20+ clouds, on-prem).","cloud-computing;cloud-management;cost-optimization;deep-learning;distributed-training;gpu;hyperparameter-tuning;job-queue;job-scheduler;llm-serving;llm-training;machine-learning;ml-infrastructure;ml-platform;mlops;multicloud;slurm;spot-instances;tpu","topic:mlops stars:>=100"
"kivy/kivy","https://github.com/kivy/kivy","kivy","Python","18926","False","False","11/3/2010 8:27:32 PM","5/2/2026 1:46:35 PM","Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS","android;app;ios;kivy;linux;macos;python;ui;windows","k language:Python stars:>=50"
"home-assistant/core","https://github.com/home-assistant/core","home-assistant","Python","86897","False","False","9/17/2013 7:29:48 AM","5/3/2026 3:04:36 AM",":house_with_garden: Open source home automation that puts local control and privacy first.","asyncio;hacktoberfest;home-automation;internet-of-things;iot;mqtt;python;raspberry-pi","topic:hacktoberfest language:Python stars:>=50"
"mindsdb/mindsdb","https://github.com/mindsdb/mindsdb","mindsdb","Python","39094","False","False","8/2/2018 5:56:45 PM","5/3/2026 2:49:30 AM","AI Data Vault - A query engine for AI Agents to securely query data from any datasource","agents;ai;analytics;artificial-inteligence;bigquery;business-intelligence;databases;hacktoberfest;llms;mcp;mssql;mysql;postgresql;rag","topic:hacktoberfest language:Python stars:>=50"
"aquasecurity/kube-hunter","https://github.com/aquasecurity/kube-hunter","aquasecurity","Python","5041","False","False","7/18/2018 2:39:06 PM","4/27/2026 5:03:52 PM","Hunt for security weaknesses in Kubernetes clusters","hacktoberfest;kubernetes-clusters;vulnerabilities","k language:Python stars:>=50"
"Minyus/pipelinex","https://github.com/Minyus/pipelinex","Minyus","Python","229","False","False","11/15/2019 11:43:39 AM","5/1/2026 11:57:25 AM","PipelineX: Python package to build ML pipelines for experimentation with Kedro, MLflow, and more","data-engineering;data-science;deep-learning;experimentation;machine-learning;pipeline","kedro language:Python stars:>=50"
"remsky/Kokoro-FastAPI","https://github.com/remsky/Kokoro-FastAPI","remsky","Python","4792","False","False","12/30/2024 11:53:42 AM","5/2/2026 6:36:10 PM","Dockerized FastAPI wrapper for Kokoro-82M text-to-speech model w/CPU ONNX and NVIDIA GPU PyTorch support, handling, and auto-stitching","fastapi;huggingface-spaces;kokoro;kokoro-tts;onnx;onnxruntime;openai-compatible-api;openwebui;pytorch;sillytavern;tts;tts-api;uv","k language:Python stars:>=50"
"evidentlyai/evidently","https://github.com/evidentlyai/evidently","evidentlyai","Jupyter Notebook","7443","False","False","11/25/2020 3:20:08 PM","5/3/2026 3:04:34 AM","Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.","data-drift;data-quality;data-science;data-validation;generative-ai;hacktoberfest;html-report;jupyter-notebook;llm;llmops;machine-learning;mlops;model-monitoring;pandas-dataframe","topic:mlops stars:>=100"
"gregmalcolm/python_koans","https://github.com/gregmalcolm/python_koans","gregmalcolm","Python","5071","False","False","3/1/2010 5:04:31 PM","4/25/2026 1:22:23 PM","Python Koans - Learn Python through TDD","koans;python","k language:Python stars:>=50"
"Zulko/moviepy","https://github.com/Zulko/moviepy","Zulko","Python","14584","False","False","8/12/2013 9:39:28 AM","5/3/2026 12:00:20 AM","Video editing with Python","animation;gif;hacktoberfest;python;video;video-editing;video-processing","topic:hacktoberfest language:Python stars:>=50"
"superduper-io/superduper","https://github.com/superduper-io/superduper","superduper-io","Python","5276","False","False","8/30/2022 12:51:24 PM","5/2/2026 10:17:30 PM","Superduper: End-to-end framework for building custom AI applications and agents.","ai;chatbot;data;database;distributed-ml;inference;llm-inference;llm-serving;llmops;ml;mlops;mongodb;pretrained-models;python;pytorch;rag;semantic-search;torch;transformers;vector-search","topic:mlops stars:>=100"
"Cinnamon/kotaemon","https://github.com/Cinnamon/kotaemon","Cinnamon","Python","25349","False","False","3/25/2024 8:16:42 AM","5/2/2026 2:45:30 PM","An open-source RAG-based tool for chatting with your documents.","chatbot;llms;open-source;rag","k language:Python stars:>=50"
"tamsanh/kedro-great","https://github.com/tamsanh/kedro-great","tamsanh","Python","54","False","False","6/14/2020 3:06:10 PM","8/7/2025 12:25:22 PM","The easiest way to integrate Kedro and Great Expectations","","kedro language:Python stars:>=50"
"Klavis-AI/klavis","https://github.com/Klavis-AI/klavis","Klavis-AI","Python","5727","False","False","4/14/2025 7:53:36 AM","5/1/2026 12:51:56 PM","Klavis AI:  MCP integration platforms that let AI agents use tools reliably at any scale","agents;ai;ai-agents;api;developer-tools;discord;function-calling;integration;llm;mcp;mcp-client;mcp-server;oauth2;open-source","k language:Python stars:>=50"
"KingOfBugbounty/KingOfBugBountyTips","https://github.com/KingOfBugbounty/KingOfBugBountyTips","KingOfBugbounty","Python","5327","False","False","8/26/2020 11:58:10 AM","5/2/2026 5:17:28 PM","Our main goal is to share tips from some well-known bughunters. Using recon methodology, we are able to find subdomains, apis, and tokens that are already exploitable, so we can report them. We wish to influence Onelinetips and explain the commands, for the better understanding of new hunters..","","k language:Python stars:>=50"
"kserve/kserve","https://github.com/kserve/kserve","kserve","Go","5413","False","False","3/27/2019 9:14:14 PM","5/3/2026 1:03:20 AM","Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes","artificial-intelligence;cncf;genai;hacktoberfest;istio;k8s;knative;kserve;kubeflow;kubernetes;llm-inference;machine-learning;mlops;model-interpretability;model-serving;pytorch;service-mesh;tensorflow;vllm;xgboost","topic:mlops stars:>=100"
"sympy/sympy","https://github.com/sympy/sympy","sympy","Python","14604","False","False","4/30/2010 8:37:14 PM","5/2/2026 1:25:01 PM","A computer algebra system written in pure Python","computer-algebra;hacktoberfest;math;python;science","topic:hacktoberfest language:Python stars:>=50"
"jina-ai/serve","https://github.com/jina-ai/serve","jina-ai","Python","21873","False","False","2/13/2020 5:04:44 PM","5/2/2026 4:19:05 PM","☁️ Build multimodal AI applications with cloud-native stack","cloud-native;cncf;deep-learning;docker;fastapi;framework;generative-ai;grpc;jaeger;kubernetes;llmops;machine-learning;microservice;mlops;multimodal;neural-search;opentelemetry;orchestration;pipeline;prometheus","topic:mlops stars:>=100"
"aio-libs/aiohttp","https://github.com/aio-libs/aiohttp","aio-libs","Python","16427","False","False","10/1/2013 11:04:01 PM","5/2/2026 8:32:58 AM","Asynchronous HTTP client/server framework for asyncio and Python","aiohttp;async;asyncio;hacktoberfest;http;http-client;http-server;python","topic:hacktoberfest language:Python stars:>=50"
"beetbox/beets","https://github.com/beetbox/beets","beetbox","Python","15067","False","False","8/9/2010 11:17:20 PM","5/3/2026 12:12:39 AM","music library manager and MusicBrainz tagger","cli;hacktoberfest;music;music-library;musicbrainz;python","topic:hacktoberfest language:Python stars:>=50"
"edent/SuperTinyIcons","https://github.com/edent/SuperTinyIcons","edent","Python","15316","False","False","4/13/2017 11:28:34 PM","4/29/2026 3:33:35 AM","Under 1KB each! Super Tiny Icons are miniscule SVG versions of your favourite website and app logos","hacktoberfest;logo;social-media;svg;svg-icons;tiny-social-icons","topic:hacktoberfest language:Python stars:>=50"
"prowler-cloud/prowler","https://github.com/prowler-cloud/prowler","prowler-cloud","Python","13723","False","False","8/24/2016 3:12:24 PM","5/2/2026 8:28:19 PM","Prowler is the world’s most widely used open-source cloud security platform that automates security and compliance across any cloud environment.","aws;azure;cis-benchmark;cloud;cloudsecurity;compliance;cspm;devsecops;forensics;gcp;gdpr;hacktoberfest;hardening;iam;multi-cloud;python;security;security-audit;security-hardening;security-tools","topic:hacktoberfest language:Python stars:>=50"
