"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"kubeflow/katib","https://github.com/kubeflow/katib","zenml-io/zenml","https://github.com/zenml-io/zenml","zenml-io","Python","5385","llm","1","1014.11","True","0.2593","0","1","0.7473","1","1","0.3333","topic:automl language:Python stars:>=50","ZenML 🙏: One AI Platform from Pipelines to Agents. https://zenml.io."
"kubeflow/katib","https://github.com/kubeflow/katib","MediaBrain-SJTU/MING","https://github.com/MediaBrain-SJTU/MING","MediaBrain-SJTU","Python","1122","llm","2","968.47","True","0.1765","0","1","0.9123","1","1","0.3333","topic:huggingface language:Python stars:>=50","明医 (MING)：中文医疗问诊大模型"
"kubeflow/katib","https://github.com/kubeflow/katib","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21482","llm","3","953.2","True","0.25","0","1","0.4469","1","1","0.3333","topic:huggingface language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"kubeflow/katib","https://github.com/kubeflow/katib","griptape-ai/griptape","https://github.com/griptape-ai/griptape","griptape-ai","Python","2523","llm","4","951.68","True","0.1579","0","1","0.9119","1","1","0.3333","topic:huggingface language:Python stars:>=50","Modular Python framework for AI agents and workflows with chain-of-thought reasoning, tools, and memory. "
"kubeflow/katib","https://github.com/kubeflow/katib","quark0/darts","https://github.com/quark0/darts","quark0","Python","3996","llm","5","934.21","True","0.1579","0","1","0.812","1","1","0.3333","topic:automl language:Python stars:>=50","Differentiable architecture search for convolutional and recurrent networks"
"kubeflow/katib","https://github.com/kubeflow/katib","bitsandbytes-foundation/bitsandbytes","https://github.com/bitsandbytes-foundation/bitsandbytes","bitsandbytes-foundation","Python","8171","llm","6","933.68","True","0.1875","0","1","0.6567","1","1","0.3333","k language:Python stars:>=50","Accessible large language models via k-bit quantization for PyTorch."
"kubeflow/katib","https://github.com/kubeflow/katib","explosion/spacy-transformers","https://github.com/explosion/spacy-transformers","explosion","Python","1406","llm","7","914.64","True","0.1071","0","1","0.9612","1","1","0.3333","topic:huggingface language:Python stars:>=50","🛸 Use pretrained transformers like BERT, XLNet and GPT-2 in spaCy"
"kubeflow/katib","https://github.com/kubeflow/katib","ARahim3/mlx-tune","https://github.com/ARahim3/mlx-tune","ARahim3","Python","1221","llm","8","899.96","False","0.0968","0","1","0.9306","1","1","0.3333","topic:huggingface language:Python stars:>=50","Fine-tune LLMs on your Mac with Apple Silicon. SFT, DPO, GRPO, Vision, TTS, STT, Embedding, and OCR fine-tuning — natively on MLX. Unsloth-compatible API."
"kubeflow/katib","https://github.com/kubeflow/katib","mezbaul-h/june","https://github.com/mezbaul-h/june","mezbaul-h","Python","785","llm","9","899.94","False","0.1154","0","1","0.8348","1","1","0.3333","topic:huggingface language:Python stars:>=50","Local voice chatbot for engaging conversations, powered by Ollama, Hugging Face Transformers, and  Coqui TTS Toolkit"
"kubeflow/katib","https://github.com/kubeflow/katib","potamides/DeTikZify","https://github.com/potamides/DeTikZify","potamides","Python","1766","llm","10","895.13","False","0.08","0","1","0.9893","1","1","0.3333","topic:huggingface language:Python stars:>=50","Synthesizing Graphics Programs for Scientific Figures and Sketches with TikZ."
"kubeflow/katib","https://github.com/kubeflow/katib","amazon-science/chronos-forecasting","https://github.com/amazon-science/chronos-forecasting","amazon-science","Python","5243","llm","11","894.29","False","0.125","0","1","0.7531","1","1","0.3333","topic:huggingface language:Python stars:>=50","Chronos: Pretrained Models for Time Series Forecasting"
"kubeflow/katib","https://github.com/kubeflow/katib","nateraw/stable-diffusion-videos","https://github.com/nateraw/stable-diffusion-videos","nateraw","Python","4684","llm","12","891.96","False","0.1176","0","1","0.7776","1","1","0.3333","topic:huggingface language:Python stars:>=50","Create 🔥 videos with Stable Diffusion by exploring the latent space and morphing between text prompts"
"kubeflow/katib","https://github.com/kubeflow/katib","filipstrand/mflux","https://github.com/filipstrand/mflux","filipstrand","Python","2039","llm","13","889.67","False","0.08","0","1","0.9581","1","1","0.3333","topic:huggingface language:Python stars:>=50","MLX native implementations of state-of-the-art generative image models"
"kubeflow/katib","https://github.com/kubeflow/katib","argilla-io/distilabel","https://github.com/argilla-io/distilabel","argilla-io","Python","3199","llm","14","886.27","False","0.0952","0","1","0.8603","1","1","0.3333","topic:huggingface language:Python stars:>=50","Distilabel is a framework for synthetic data and AI feedback for engineers who need fast, reliable and scalable pipelines based on verified research papers."
"kubeflow/katib","https://github.com/kubeflow/katib","NVIDIA-Merlin/Transformers4Rec","https://github.com/NVIDIA-Merlin/Transformers4Rec","NVIDIA-Merlin","Python","1266","llm","15","886.23","False","0.08","0","1","0.9385","1","1","0.3333","topic:huggingface language:Python stars:>=50","Transformers4Rec is a flexible and efficient library for sequential and session-based recommendation and works with PyTorch."
"kubeflow/katib","https://github.com/kubeflow/katib","lemony-ai/cascadeflow","https://github.com/lemony-ai/cascadeflow","lemony-ai","Python","792","llm","16","883.52","False","0.0968","0","1","0.8367","1","1","0.3333","topic:huggingface language:Python stars:>=50","Cascading runtime for AI agents. Optimize cost, latency, quality, and policy decisions inside the agent loop."
"kubeflow/katib","https://github.com/kubeflow/katib","dmayboroda/minima","https://github.com/dmayboroda/minima","dmayboroda","Python","1046","llm","17","881.99","False","0.0833","0","1","0.8971","1","1","0.3333","topic:huggingface language:Python stars:>=50","On-premises conversational RAG with configurable containers"
"kubeflow/katib","https://github.com/kubeflow/katib","mindspore-lab/mindnlp","https://github.com/mindspore-lab/mindnlp","mindspore-lab","Python","918","llm","18","880.29","False","0.087","0","1","0.8687","1","1","0.3333","topic:huggingface language:Python stars:>=50","MindSpore +  🤗Huggingface: Run any Transformers/Diffusers model on MindSpore with seamless compatibility and acceleration."
"kubeflow/katib","https://github.com/kubeflow/katib","theodo-group/GenossGPT","https://github.com/theodo-group/GenossGPT","theodo-group","Python","753","llm","19","876.33","False","0.0909","0","1","0.8258","1","1","0.3333","topic:huggingface language:Python stars:>=50","One API for all LLMs either Private or Public (Anthropic, Llama V2, GPT 3.5/4, Vertex, GPT4ALL, HuggingFace ...) 🌈🐂  Replace OpenAI GPT with any LLMs in your app with one line."
"kubeflow/katib","https://github.com/kubeflow/katib","NVlabs/Eagle","https://github.com/NVlabs/Eagle","NVlabs","Python","943","llm","20","875.05","False","0.08","0","1","0.8746","1","1","0.3333","topic:huggingface language:Python stars:>=50","Eagle: Frontier Vision-Language Models with Data-Centric Strategies"
"kubeflow/katib","https://github.com/kubeflow/katib","microsoft/Cream","https://github.com/microsoft/Cream","microsoft","Python","1835","llm","21","866.67","False","0.05","0","1","0.981","1","1","0.3333","topic:automl language:Python stars:>=50","This is a collection of our NAS and Vision Transformer work."
"kubeflow/katib","https://github.com/kubeflow/katib","khoj-ai/khoj","https://github.com/khoj-ai/khoj","khoj-ai","Python","34360","llm","22","866.6","False","0.0625","0","1","0.3449","1","1","1","topic:ai language:Python stars:>=50 | k language:Python stars:>=50 | topic:llm stars:>=100","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
"kubeflow/katib","https://github.com/kubeflow/katib","kyegomez/swarms","https://github.com/kyegomez/swarms","kyegomez","Python","6599","llm","23","866.15","False","0.1034","0","1","0.7031","1","1","0.3333","topic:huggingface language:Python stars:>=50","The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework. Website: https://swarms.ai"
"kubeflow/katib","https://github.com/kubeflow/katib","Vespa314/chan.py","https://github.com/Vespa314/chan.py","Vespa314","Python","1766","llm","24","865.98","False","0.0476","0","1","0.9893","1","1","0.3333","topic:automl language:Python stars:>=50","开放式的缠论python实现框架，支持形态学/动力学买卖点分析计算，多级别K线联立，区间套策略，可视化绘图，多种数据接入，策略开发，交易系统对接；"
"kubeflow/katib","https://github.com/kubeflow/katib","X-PLUG/mPLUG-Owl","https://github.com/X-PLUG/mPLUG-Owl","X-PLUG","Python","2541","llm","25","865.56","False","0.0625","0","1","0.9103","1","1","0.3333","topic:huggingface language:Python stars:>=50","mPLUG-Owl: The Powerful Multi-modal Large Language Model  Family"
"kubeflow/katib","https://github.com/kubeflow/katib","huggingface/lighteval","https://github.com/huggingface/lighteval","huggingface","Python","2395","llm","26","864.5","False","0.0588","0","1","0.9232","1","1","0.3333","topic:huggingface language:Python stars:>=50","Lighteval is your all-in-one toolkit for evaluating LLMs across multiple backends"
