"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"ItzCrazyKns/Vane","https://github.com/ItzCrazyKns/Vane","ItzCrazyKns","TypeScript","34115","False","False","4/9/2024 10:51:32 AM","5/3/2026 4:42:38 AM","Vane is an AI-powered answering engine.","ai-agents;ai-search-engine;answering-engine;artificial-intelligence;llm;machine-learning;open-source-ai-search-engine;perplexica;rag;search-engine;searxng;searxng-copilot;self-hosted-ai;vane","topic:llm stars:>=100"
"shiyu-coder/Kronos","https://github.com/shiyu-coder/Kronos","shiyu-coder","Python","22520","False","False","7/1/2025 2:54:32 AM","5/3/2026 4:32:33 AM","Kronos: A Foundation Model for the Language of Financial Markets","","k language:Python stars:>=50"
"comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19165","False","False","5/10/2023 12:57:13 PM","5/3/2026 3:05:49 AM","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","evaluation;hacktoberfest;hacktoberfest2025;langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering","automated language:Python stars:>=50"
"MechanicalSoup/MechanicalSoup","https://github.com/MechanicalSoup/MechanicalSoup","MechanicalSoup","Python","4854","False","False","5/26/2014 9:06:11 AM","4/23/2026 8:52:55 AM","A Python library for automating interaction with websites.","beautifulsoup;mechanicalsoup;pypi;python;python-library;requests;web","automated language:Python stars:>=50"
"bmaltais/kohya_ss","https://github.com/bmaltais/kohya_ss","bmaltais","Python","12233","False","False","10/30/2022 3:15:32 PM","5/2/2026 11:23:37 PM","","","k language:Python stars:>=50"
"LionSec/katoolin","https://github.com/LionSec/katoolin","LionSec","Python","5226","False","False","8/21/2015 5:30:19 PM","5/2/2026 2:12:24 PM","Automatically install all Kali linux tools","","k language:Python stars:>=50"
"baichuan-inc/Baichuan-7B","https://github.com/baichuan-inc/Baichuan-7B","baichuan-inc","Python","5664","False","False","6/14/2023 10:57:51 AM","4/28/2026 5:51:28 AM","A large-scale 7B pretraining language model developed by BaiChuan-Inc.","artificial-intelligence;ceval;chatgpt;chinese;gpt-4;huggingface;large-language-models;llama;mmlu;natural-language-processing","topic:huggingface language:Python stars:>=50"
"MediaBrain-SJTU/MING","https://github.com/MediaBrain-SJTU/MING","MediaBrain-SJTU","Python","1122","False","False","4/7/2023 2:09:56 PM","4/25/2026 3:36:11 AM","明医 (MING)：中文医疗问诊大模型","consultation;huggingface;llm;medical;pytorch;transformers","topic:huggingface language:Python stars:>=50"
"THUMNLab/AutoGL","https://github.com/THUMNLab/AutoGL","THUMNLab","Python","1136","False","False","11/30/2020 2:26:22 PM","4/30/2026 6:40:38 PM","An autoML framework & toolkit for machine learning on graphs.","automl;deep-learning;graph-neural-networks;hyper-parameter-optimization;machine-learning;neural-architecture-search;pytorch;pytorch-geometric","topic:automl language:Python stars:>=50"
"SakanaAI/AI-Scientist-v2","https://github.com/SakanaAI/AI-Scientist-v2","SakanaAI","Python","5987","False","False","4/8/2025 6:37:25 AM","5/3/2026 3:51:38 AM","The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search","","automated language:Python stars:>=50"
