"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"pytransitions/transitions","https://github.com/pytransitions/transitions","pytransitions","Python","6501","False","False","10/12/2014 8:59:09 PM","5/2/2026 1:43:58 AM","A lightweight, object-oriented finite state machine implementation in Python with many extensions","hierarchical-state-machine;nested-states;python;state-diagram;state-machine","machine language:Python stars:>=50"
"ludwig-ai/ludwig","https://github.com/ludwig-ai/ludwig","ludwig-ai","Python","11682","False","False","12/27/2018 11:58:12 PM","5/2/2026 9:20:14 AM","Low-code framework for building custom LLMs, neural networks, and other AI models","computer-vision;data-centric;data-science;deep;deep-learning;deeplearning;fine-tuning;learning;llama;llama2;llm;llm-training;machine-learning;machinelearning;mistral;ml;natural-language;natural-language-processing;neural-network;pytorch","topic:data-science language:Python stars:>=50"
"tflearn/tflearn","https://github.com/tflearn/tflearn","tflearn","Python","9589","False","False","3/31/2016 12:05:53 PM","4/24/2026 5:20:50 PM","Deep learning library featuring a higher-level API for TensorFlow.","data-science;deep-learning;machine-learning;neural-network;tensorflow;tflearn","topic:data-science language:Python stars:>=50"
"doccano/doccano","https://github.com/doccano/doccano","doccano","Python","10640","False","False","5/9/2018 6:10:05 AM","5/2/2026 11:35:43 AM","Open source annotation tool for machine learning practitioners.","annotation-tool;data-labeling;dataset;datasets;machine-learning;natural-language-processing;nuxt;nuxtjs;python;text-annotation;vue;vuejs","machine language:Python stars:>=50"
"gunthercox/ChatterBot","https://github.com/gunthercox/ChatterBot","gunthercox","Python","14490","False","False","9/28/2014 2:49:00 PM","4/30/2026 10:12:05 AM","ChatterBot is a machine learning, conversational dialog engine for creating chat bots","bot;chatbot;chatterbot;conversation;language;machine-learning;python","machine language:Python stars:>=50"
"Data-Centric-AI-Community/fg-data-profiling","https://github.com/Data-Centric-AI-Community/fg-data-profiling","Data-Centric-AI-Community","Python","13534","False","False","1/9/2016 11:47:55 PM","5/1/2026 5:34:23 PM","1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. ","big-data-analytics;data-analysis;data-exploration;data-profiling;data-quality;data-science;deep-learning;eda;exploration;exploratory-data-analysis;hacktoberfest;html-report;jupyter;jupyter-notebook;machine-learning;pandas;pandas-dataframe;pandas-profiling;python;statistics","topic:data-science language:Python stars:>=50"
"skypilot-org/skypilot","https://github.com/skypilot-org/skypilot","skypilot-org","Python","9924","False","False","8/11/2021 11:32:15 PM","5/3/2026 3:12:12 AM","Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, Slurm, 20+ clouds, on-prem).","cloud-computing;cloud-management;cost-optimization;deep-learning;distributed-training;gpu;hyperparameter-tuning;job-queue;job-scheduler;llm-serving;llm-training;machine-learning;ml-infrastructure;ml-platform;mlops;multicloud;slurm;spot-instances;tpu","topic:mlops stars:>=100"
"voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","False","False","4/22/2020 1:43:28 PM","5/2/2026 5:17:51 PM","Refine high-quality datasets and visual AI models","active-learning;artificial-intelligence;computer-vision;data-centric-ai;data-cleaning;data-curation;data-quality;data-science;deep-learning;developer-tools;image-classification;machine-learning;object-detection;python;unstructured-data;vector-search;visualization","topic:data-science language:Python stars:>=50"
"FujiwaraChoki/MoneyPrinterV2","https://github.com/FujiwaraChoki/MoneyPrinterV2","FujiwaraChoki","Python","30346","False","False","2/12/2024 11:20:42 AM","5/3/2026 1:44:40 AM","Automate the process of making money online.","automation;cli;json;money;outreach;python;twitter;youtube","p language:Python stars:>=50"
"PDFMathTranslate/PDFMathTranslate","https://github.com/PDFMathTranslate/PDFMathTranslate","PDFMathTranslate","Python","33477","False","False","9/6/2024 6:56:03 AM","5/3/2026 3:27:11 AM","[EMNLP 2025 Demo] PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero","chinese;document;edit;english;japanese;korean;latex;math;mcp;modify;obsidian;openai;pdf;pdf2zh;python;russian;translate;translation;zotero","p language:Python stars:>=50"
"ipython/ipython","https://github.com/ipython/ipython","ipython","Python","16695","False","False","5/10/2010 4:46:06 AM","5/1/2026 8:34:30 PM","Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc.","closember;data-science;hacktoberfest;ipython;jupyter;notebook;python;repl;spec-0","topic:data-science language:Python stars:>=50"
"NVIDIA/warp","https://github.com/NVIDIA/warp","NVIDIA","Python","6584","False","False","3/18/2022 9:56:23 PM","5/2/2026 2:42:50 PM","A Python framework for GPU-accelerated simulation, robotics, and machine learning.","cuda;differentiable-programming;gpu;gpu-acceleration;nvidia;nvidia-warp;python","machine language:Python stars:>=50"
"google/python-fire","https://github.com/google/python-fire","google","Python","28186","False","False","2/21/2017 9:35:07 PM","5/3/2026 4:11:06 AM","Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.","cli;python","p language:Python stars:>=50"
"ujjwalkarn/DataSciencePython","https://github.com/ujjwalkarn/DataSciencePython","ujjwalkarn","Python","5762","False","False","10/6/2015 3:26:08 PM","5/1/2026 6:36:09 PM","common data analysis and machine learning tasks using python","data-science;data-scientists;python;python-tutorial","machine language:Python stars:>=50"
"riiid/krsh","https://github.com/riiid/krsh","riiid","Python","129","False","False","5/28/2021 7:27:46 AM","12/18/2024 11:39:33 AM","A declarative KubeFlow Management Tool","krsh;kubeflow;kubernetes;mlops;pipeline","topic:kubeflow language:Python stars:>=50"
"evidentlyai/evidently","https://github.com/evidentlyai/evidently","evidentlyai","Jupyter Notebook","7443","False","False","11/25/2020 3:20:08 PM","5/3/2026 3:04:34 AM","Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.","data-drift;data-quality;data-science;data-validation;generative-ai;hacktoberfest;html-report;jupyter-notebook;llm;llmops;machine-learning;mlops;model-monitoring;pandas-dataframe","topic:mlops stars:>=100"
"mlflow/mlflow","https://github.com/mlflow/mlflow","mlflow","Python","25689","False","False","6/5/2018 4:05:58 PM","5/3/2026 12:35:41 AM","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","agentops;agents;ai;ai-governance;apache-spark;evaluation;langchain;llm-evaluation;llmops;machine-learning;ml;mlflow;mlops;model-management;observability;open-source;openai;prompt-engineering","topic:mlops stars:>=100"
